"","abundance.sample1","abundance.sample2","abundance.sample3","abundance.sample4","abundance.sample5","counts.sample1","counts.sample2","counts.sample3","counts.sample4","counts.sample5","length.sample1","length.sample2","length.sample3","length.sample4","length.sample5","countsFromAbundance"
"OG0000000",57.700521,528.106307,44.975664,59.094505,858.077379,332.727,2381.94,304.806,429.994,3108.012,389.34402617167,299.28663327444,456.79036744845,451.618269129896,293.186471212735,"no"
"OG0000001",37.754734,45.728448,32.787103,27.314355,22.683479,3057.276,2107.361,2925.007,2572.333,1243.361,5467.49109000495,3057.94615114801,6013.05028183792,5845.10923714117,4436.85070007502,"no"
"OG0000002",33.382085,37.494024,23.609467,39.411054,50.466452,128.583,372,122.705,180.704,434,260.074348988507,658.352240653844,350.306412003414,284.582688632281,696.104801771878,"no"
"OG0000003",74.157317,64.291582,62.745938,54.446617,89.256044,4052.361,3117.659,3253.867,2798.873,3253.228,3689.59950630659,3217.74733094564,3495.3064821762,3190.57358950671,2950.28825409217,"no"
"OG0000004",86.375473,45.537121,106.01259,59.807747,17.11604,1762.804,1148.521,1085.144,698.345,478.958,1377.96587827805,1673.59669966577,689.923805370513,724.717395979303,2265.07248586706,"no"
"OG0000005",15.73202,5151.445548,27.369055,51.639814,9393.166865,45.234,8005.883,58.212,109.505,11885.857,194.135923735541,103.123822641431,143.357793892482,131.615569168704,102.425491181464,"no"
"OG0000006",120.121696,65.744131,87.770463,47.278403,71.40841,952.408,750.364,858.447,546.739,593.343,535.335616927295,757.34190411538,659.230117098596,717.750036684107,672.580012577314,"no"
"OG0000007",0,67.279605,0.44246,1.115753,100.551602,0,311.117,3,8,395.463,375.430561806189,306.845456053718,457.00264479501,445.018258246225,318.348093887495,"no"
"OG0000008",1.608279,2.34477,1.073495,2.386403,5.104656,14.363,17.07,9,22.097,28,603.008631949432,483.066570851299,565.084241252172,574.711809005436,443.996055666631,"no"
"OG0000009",109.174048,80.801798,84.046411,52.997791,66.018651,5303.989,4146.664,4177.975,3225.286,2904.475,3280.25991168722,3405.30068455306,3350.56238742729,3777.1726312655,3561.13544501411,"no"
"OG0000010",438.482041,228.145655,384.332637,454.998052,83.602689,7027.778,3584.989,5582.207,9138.191,867,1082.1594429042,1042.68521426522,978.970823011578,1246.54218091229,839.433859218691,"no"
"OG0000011",0,0.99685,0,0,1.412879,0,25,0,0,29,1662.77744953286,1664.131,1662.77744953286,1662.77744953286,1661.425,"no"
"OG0000012",127.295158,102.470048,87.184279,63.247103,51.329587,1343.091,1897.739,1200.868,908.655,934.885,712.390698554968,1228.90166431762,928.385359485946,891.691430111194,1474.27236535488,"no"
"OG0000013",46.4189,47.685099,51.745384,23.897391,35.857119,1690.541,897.611,1838.192,693.669,657.805,2458.98586603407,1249.05940684798,2394.36545372627,1801.5980468498,1484.94169898301,"no"
"OG0000014",41.665338,30.752339,25.240254,21.995765,26.367884,426,363,377,315,232,690.334635151766,783.26019781536,1006.74326530684,888.848732111295,712.197267623181,"no"
"OG0000015",669.657721,299.039821,421.836698,2325.269688,2717.639295,2659.798,1094.847,1739.29,5389.47,4556.47,268.176450921145,242.941351331042,277.906465614893,143.856420470963,135.713936174795,"no"
"OG0000016",40.609281,41.172965,48.96836,20.187372,49.520391,455.056,529.963,1112.154,378.811,462.586,756.599028727768,854.104885650426,1530.80692047965,1164.66232186329,756.131340119609,"no"
"OG0000017",80.868476,40.947106,61.09576,45.276205,22.216884,4037.967,1966.035,2706.525,2302.099,562.215,3371.38724250511,3185.99689297764,2985.8792221626,3155.80641151329,2048.36317332088,"no"
"OG0000018",104.921876,152.935698,108.146122,32.2812,70.30881,352.981,898.003,429.994,190,238.001,227.148645930807,389.62518756511,267.992542379301,365.308995270529,274.003489634542,"no"
"OG0000019",455.960104,511.888212,721.505984,445.696398,290.179299,855.537,931.627,1526.999,907.239,502.969,126.688341508109,120.765774459465,142.649173275017,126.339729808952,140.30133566849,"no"
"OG0000020",514.145825,10028.957202,875.479408,391.021073,152.283196,3272.492,11219.574,5330.395,3146.806,1132.293,429.751371695985,74.2334220644113,410.378692878363,499.489097398904,601.858941162641,"no"
"OG0000021",1398.276185,1367.724706,935.169247,746.023458,817.79202,2425.508,2279.982,1646.159,1351.827,1096.975,117.120798680691,110.614145364818,118.646022018607,112.466827341986,108.577949663446,"no"
"OG0000023",8437.584681,6891.476742,9724.105344,7201.138756,4246.721512,30051.556,22641.249,37577.341,28243.933,10577.868,240.477085754538,218.004698746365,260.463910410552,243.433445174373,201.61949218815,"no"
"OG0000024",7.701836,4.537262,3.555727,2.509791,3.005112,93,65,46,35,40,815.292910334887,950.598249358754,871.967998198118,865.53901682929,1077.425,"no"
"OG0000025",251.273923,245.414072,286.184411,237.326587,279.290032,10709.445,10943.939,12379.174,10543.933,9114.822,2877.693604356,2959.04647928841,2915.52497257825,2757.4812784126,2641.68074378537,"no"
"OG0000026",11.319956,9.187021,10.527136,6.375224,11.967612,87,82.008,83,57,105.138,518.918685964327,592.325260173347,531.421033505694,554.926746533769,711.112040240944,"no"
"OG0000027",21.596631,12.721146,18.782077,19.996272,9.533083,451.849,271.018,328.971,561.966,315.088,1412.64422895349,1413.6710282462,1180.55074718078,1744.28437972828,2675.38114138175,"no"
"OG0000028",0,17.035881,0,0.379919,18.428229,0,118,0,3,134,509.914186080312,459.615663159363,509.914186080312,490.103203948736,588.584635688487,"no"
"OG0000029",321.057294,700.113143,268.639376,257.948156,308.941553,867.597,1557.001,837.719,554.19,506.008,182.4572014389,147.57015829796,210.183701344947,133.346652958709,132.576964796179,"no"
"OG0000030",12.156699,12.931744,9.247649,6.519357,15.174173,337.685,263.783,244,190,189,1875.51893190298,1353.52726531139,1778.40061280375,1808.86066695596,1008.19443488643,"no"
"OG0000031",39.773285,27.931986,27.446796,22.67464,37.975766,620.61,464.655,637.577,436.164,441.099,1053.54436308495,1103.84136186048,1565.71314113862,1193.89271929455,940.192448281386,"no"
"OG0000032",101.489785,100.927667,84.073806,198.982948,289.40465,397.458,378,308,653.777,489.051,264.419456758146,248.518759943257,246.922592013736,203.924976720372,136.784270358534,"no"
"OG0000033",390.65815,292.104145,429.236026,249.395968,213.194459,8744.961,6935,9737.812,6018.023,4239,1511.42289509287,1575.3833498374,1529.10154861703,1497.68572470691,1609.44117963266,"no"
"OG0000034",100.589475,99.502415,116.969988,73.543259,71.255835,1734.394,1468.82,2673.111,1260.137,759.776,1164.18041366776,979.517922058686,1540.33005350685,1063.48491807071,863.083339267865,"no"
"OG0000035",234.123274,91.55668,162.118347,120.311141,115.46406,1003.017,390,799,454,394.997,289.259959781376,282.651894900951,332.189654031854,234.210712458117,276.907591569385,"no"
"OG0000036",115.553939,223.278805,128.566382,78.478648,33.420024,2261.917,3303.44,2517.919,1703.993,623.11,1321.65122918426,981.739726451053,1320.03514908389,1347.63553974634,1509.19482638097,"no"
"OG0000037",14.579391,19.031661,12.858262,16.152262,31.525955,303.34,607.001,261.243,365.223,733,1404.80252617184,2116.36217451493,1369.41085174342,1403.39837767206,1882.01598988281,"no"
"OG0000038",2809.790057,1942.470398,2401.709816,1835.797791,1245.457911,18666.769,11318.988,16665.899,12036.038,6065.8,448.559562665159,386.66126580665,467.712992883484,406.925590692353,394.227212217962,"no"
"OG0000039",4.171197,25.97373,5.018678,5.373637,54.087065,33,589.66,52,61,790.163,534.168259498652,1506.41480903059,698.368844835632,704.559299811468,1182.5271785797,"no"
"OG0000040",164.715307,182.891501,144.559469,90.849375,90.548575,739.275,815.668,798.404,403.369,325.515,303.037787019454,295.935527596747,372.26064034558,275.572852588903,290.990420048808,"no"
"OG0000041",81.460857,53.502885,52.510565,72.206033,16.675634,1213.991,931,828.827,838.039,195,1006.21633592841,1154.64887957825,1063.86981385913,720.355352480547,946.541759103792,"no"
"OG0000042",88.184818,62.713823,80.54264,30.724063,138.200691,162,114,166,60,202,124.036,120.62,138.916,121.207,118.312,"no"
