OG,Change
OG0000003,+10*
OG0000264,+10*
OG0000012,+12*
OG0000144,+20*
OG0000239,+4*
OG0000304,+4*
OG0000307,+4*
OG0000313,+4*
OG0000340,+4*
OG0000341,+4*
OG0000348,+4*
OG0000097,+5*
OG0000170,+5*
OG0000318,+5*
OG0000358,+5*
OG0000430,+5*
OG0000478,+5*
OG0000706,+5*
OG0000815,+5*
OG0000000,+52*
OG0000080,+6*
OG0000200,+6*
OG0000202,+6*
OG0000429,+6*
OG0000284,+7*
OG0000375,+7*
OG0000775,+7*
OG0000825,+7*
OG0001206,+7*
OG0000006,+8*
OG0000103,+8*
OG0000776,+8*
OG0000125,+9*
OG0000687,+9*
