OG,Cnat_1,Cnat_2,Cnat_3,Cnat_4,Cnat_5
OG0000000,332.727,2381.94,304.806,429.994,3108.012
OG0000001,3057.276,2107.361,2925.007,2572.333,1243.361
OG0000002,128.583,372,122.705,180.704,434
OG0000003,4052.361,3117.659,3253.867,2798.873,3253.228
OG0000004,1762.804,1148.521,1085.144,698.345,478.958
OG0000005,45.234,8005.883,58.212,109.505,11885.857
OG0000006,952.408,750.364,858.447,546.739,593.343
OG0000007,0,311.117,3,8,395.463
OG0000008,14.363,17.07,9,22.097,28
OG0000009,5303.989,4146.664,4177.975,3225.286,2904.475
OG0000010,7027.778,3584.989,5582.207,9138.191,867
OG0000011,0,25,0,0,29
OG0000012,1343.091,1897.739,1200.868,908.655,934.885
OG0000013,1690.541,897.611,1838.192,693.669,657.805
OG0000014,426,363,377,315,232
OG0000015,2659.798,1094.847,1739.29,5389.47,4556.47
OG0000016,455.056,529.963,1112.154,378.811,462.586
OG0000017,4037.967,1966.035,2706.525,2302.099,562.215
OG0000018,352.981,898.003,429.994,190,238.001
OG0000019,855.537,931.627,1526.999,907.239,502.969
OG0000020,3272.492,11219.574,5330.395,3146.806,1132.293
OG0000021,2425.508,2279.982,1646.159,1351.827,1096.975
OG0000023,30051.556,22641.249,37577.341,28243.933,10577.868
OG0000024,93,65,46,35,40
OG0000025,10709.445,10943.939,12379.174,10543.933,9114.822
OG0000026,87,82.008,83,57,105.138
OG0000027,451.849,271.018,328.971,561.966,315.088
OG0000028,0,118,0,3,134
OG0000029,867.597,1557.001,837.719,554.19,506.008
OG0000030,337.685,263.783,244,190,189
OG0000031,620.61,464.655,637.577,436.164,441.099
OG0000032,397.458,378,308,653.777,489.051
OG0000033,8744.961,6935,9737.812,6018.023,4239
OG0000034,1734.394,1468.82,2673.111,1260.137,759.776
OG0000035,1003.017,390,799,454,394.997
OG0000036,2261.917,3303.44,2517.919,1703.993,623.11
OG0000037,303.34,607.001,261.243,365.223,733
OG0000038,18666.769,11318.988,16665.899,12036.038,6065.8
OG0000039,33,589.66,52,61,790.163
OG0000040,739.275,815.668,798.404,403.369,325.515
OG0000041,1213.991,931,828.827,838.039,195
OG0000042,162,114,166,60,202
OG0000043,224.34,188.533,285.136,182.074,1333.781
OG0000044,5002.142,4926.043,4401.554,3692.946,3145.031
OG0000045,1829.682,564.731,1051.483,897.799,234.109
OG0000046,778.907,499.065,661.006,925,633.712
OG0000047,6023.344,4760.671,6404.774,4885.022,1705.564
OG0000048,3,521.044,6,7,720.15
OG0000049,278.138,349,276.608,292.198,740.252
OG0000050,6551.772,7261.683,7752.251,4905.862,6400.308
OG0000051,6955.191,5327.464,6956.096,4824.391,2233.031
OG0000052,394,675.518,615.819,475.013,481.229
OG0000053,356.056,413.87,349,209,77.428
OG0000054,372.142,94,359,418.998,79.001
OG0000055,155.868,1029.384,148,190.436,1309.614
OG0000056,291.539,508,359,230,102
OG0000057,2462.141,2499.269,1486.921,1431.315,1211.961
OG0000058,134,17,147,150,0
OG0000059,106.157,283.642,120,133.484,550.165
OG0000060,489.059,77.016,415.346,573.034,16.002
OG0000061,3270.899,2204.836,3476.914,2709.595,1599.097
OG0000062,0,288.614,3,29.028,2
OG0000063,753.737,256.553,394.493,751.58,175.21
OG0000064,157,121,141,147,17
OG0000065,454.932,606,451.033,452.979,544
OG0000066,259,62,162,130,130
OG0000067,0,48,164,5,25
OG0000068,90.379,62.957,131.571,76.152,5
OG0000069,594.037,132.294,430,181,17.391
OG0000070,890.557,802.475,869.51,917.19,440.706
OG0000071,17060.869,13636.344,20161.061,16547.069,6292.371
OG0000072,1636,1228,1970,1398,619
OG0000073,20774.471,13922.595,21251.596,17246.919,3938.243
OG0000074,269,43,254.778,294,0
OG0000075,1073.286,793.756,1114.499,538.206,74.271
OG0000076,471,335,363,337,85
OG0000077,115.968,79.951,60,157.388,61.22
