OG,Mcav_1,Mcav_2,Mcav_3,Mcav_4,Mcav_5
OG0000000,1387.03,2567.187,2443.672,2748.646,2509.916
OG0000001,6573.291,5482.39,5932.179,9692.182,8215.563
OG0000002,404.394,802.842,576.998,773.412,624.981
OG0000003,2820.371,1585.651,2465.056,3464.1,2766.799
OG0000004,120.291,81,60.994,187.987,83.529
OG0000005,34049.426,67367.717,46325.072,64538.842,59706.939
OG0000006,7986.07,3404.858,3944.078,6171.213,5179.239
OG0000007,184.955,274.319,294.776,337.039,320.984
OG0000008,57.278,64.666,126.359,136.03,98.021
OG0000009,18183.93,21729.251,26828.473,28108.604,31314.695
OG0000010,5279.406,3976.923,4708.941,6336.738,9216.667
OG0000011,15,8,13,14,15
OG0000012,2267.036,1203.972,1849.922,2794.656,2117.669
OG0000013,835.701,419.182,300.724,805.345,474.87
OG0000014,862.483,611.954,683.179,1095.213,613
OG0000016,725.853,1430.689,442.783,1555.056,1087.5
OG0000017,1610.395,1496.07,1690.863,1925.683,2642.385
OG0000018,1310.62,1010.422,1322.385,1584.144,1447.169
OG0000019,1397.7,1848.746,1850.932,2151.925,2642.315
OG0000020,74.279,89.347,295.161,336.817,125.689
OG0000021,2807.475,1535.91,1416.112,2062.309,1914.783
OG0000022,272.119,372.404,449.394,460.63,464.496
OG0000023,58703.727,49420.538,47435.438,51394.544,66616.892
OG0000024,5179.23,3000.699,3077.273,3894.091,3327.385
OG0000025,19813.687,18948.694,25632.569,28499.825,29287.797
OG0000026,1073.272,693.242,608.082,974.77,749.181
OG0000027,1275.094,532.158,596.852,753.124,718.95
OG0000028,412.025,615,671.008,898,707.806
OG0000029,3624.791,1376.739,2161.812,3184.016,4513.806
OG0000030,2153.329,1066.483,1051.278,1847.548,1418.478
OG0000031,1072.466,798.058,855.431,1130.584,1159.839
OG0000032,814.005,365,682.015,494.598,696.369
OG0000033,8066.737,5233.987,6785.273,7954.218,8428.888
OG0000034,3656.22,4027.321,3834.099,4675.112,4602.248
OG0000035,440.378,479.304,1319.774,571.92,940.667
OG0000036,1423.516,2857.34,2754.841,4828.661,3950.069
OG0000037,1368.914,1960.418,2459.29,3069.155,2773.886
OG0000038,6007.244,7685.295,8589.653,10498.362,10416.09
OG0000039,5776.106,9433.958,10760.063,14286.558,11731.564
OG0000040,63.2,127.51,129.994,85.326,333.18
OG0000041,478.559,587.576,771.483,1221.094,921.226
OG0000042,2475.44,1855.988,2073.012,3251.776,2049.264
OG0000043,203.827,180.324,117,144,182.73
OG0000044,15400.263,12747.026,15469.11,16288.99,21309.875
OG0000045,8484.499,3090.719,5428.262,2396.276,4070.509
OG0000046,849.022,975.533,1184.635,1836.001,1499.675
OG0000047,12191.817,8004.944,9003.614,9993.862,12581.372
OG0000049,7094.801,9514.092,11836.906,13889.774,13303.282
OG0000050,14726.007,10034.025,13941.869,15343.072,15198.052
OG0000051,8415.578,6978.729,8029.39,8885.354,9999.136
OG0000052,1200.834,1050.727,943.723,1543.625,1298.963
OG0000053,222,388.309,363,465,345.11
OG0000054,1409.942,2693.238,2625.516,3668.489,3096.585
OG0000055,1991.001,2848.985,3122,3987.709,3861.018
OG0000056,8248.02,6482.636,8481.007,8659.724,9906.696
OG0000057,610.732,617.539,377.819,1192.671,804.107
OG0000058,1762.518,2529.764,3682.369,4568.559,3875.883
OG0000059,4480.119,7623.758,7609.939,10165.625,8454.337
OG0000060,1280.109,2329.651,2450.133,3300.047,2530.686
OG0000061,11591.426,10569.853,13880.722,13101.206,16969.684
OG0000062,2828.404,3036.472,4404.311,3949.034,5992.587
OG0000063,17,21,19.004,21,27
OG0000064,775.054,180.956,762.619,1234.426,886.371
OG0000065,9284.143,10877.75,10324.823,13011.648,8562.857
OG0000066,6106.561,4775.609,4063.965,3409.98,4829.805
OG0000067,4302.132,3097.083,3352.277,7756.812,5032.876
OG0000068,2257.212,1591.661,1706.935,3530.142,1276.314
OG0000069,736.091,1203.48,1325.581,2381.599,2206.514
OG0000070,1499.715,1154.724,1263.508,1715.967,1673.93
OG0000071,24782.458,21412.033,22958.689,27674.243,33718.36
OG0000072,56845.413,52501.815,66075.714,70388.339,96528.278
OG0000073,26226.609,20574.074,21990.844,28636.489,34741.565
OG0000074,1600.196,2686.101,3051.052,4172.527,3375.547
OG0000075,2631.419,3077.978,5463.693,6093.387,7197.745
OG0000076,2275.493,1954.485,2559.196,4007.057,3250.691
OG0000077,354.957,357.235,543.8,578.222,481.35
OG0000078,1778.002,1779.499,3724.011,4076.466,3433.902
OG0000079,4427.811,3327.492,4640.31,5533.838,5545.848
OG0000080,965.391,305.378,445.074,815.301,506.29
OG0000081,38,78.464,2,1,5
OG0000083,470.997,134.775,294.297,483.171,355.404
OG0000084,38,51,74,88,73
OG0000085,8358.794,4095.506,2627.097,5524.438,4602.651
OG0000086,2428.07,1514.921,1431.001,2433.03,2507.403
OG0000087,1094.564,604.082,307.545,876.019,429.938
OG0000088,431.532,516.481,523.312,659.693,652.365
OG0000089,262.136,391.115,247.392,349.944,394.26
OG0000090,279.404,194.252,220.82,182.413,161.373
OG0000091,2512.79,2216.823,2679.003,3012.49,4290.711
OG0000092,2300.306,1389.84,1165.348,1617.386,825.667
OG0000093,523.778,752.005,619.105,765.839,682.87
OG0000094,283.355,237.267,171.508,585.612,258.569
OG0000095,1019.014,424.96,461.508,1409.445,1154
OG0000096,5802.896,7876.025,7935.941,11505.575,10239.008
OG0000097,1973.412,1230.712,1614.329,1695.869,2828.946
OG0000098,70,52,106,78,161
OG0000099,1570.838,1114.61,1034.223,3046.391,2173.827
OG0000100,7594.044,8689.935,8107.031,9666.903,9771.209
OG0000101,15505.262,13220.386,13770.81,15167.856,19549.658
OG0000102,1314.454,611.183,969.358,1278.218,1478.715
OG0000103,172.505,166.201,206.9,376.209,414.275
OG0000104,322.653,309.997,490.692,776.049,339.64
OG0000105,40,39,61,71,53.999
OG0000106,389,336.998,831.206,609.458,717.339
OG0000107,2004.561,1477.145,1919.59,2164.375,3548.149
OG0000108,3473.643,2262.088,2905.699,3741.946,3012.348
OG0000109,25925.248,17869.295,17022.566,22385.873,28202.248
OG0000110,58.26,91.217,137.254,234.427,247.539
OG0000111,6701.609,7650.473,10605.118,12739.232,12989.509
OG0000112,971,854.31,1248.514,1288.341,1881.785
OG0000113,177,138,581.545,642.407,432
OG0000114,2732.694,2422.607,2568.294,2600.29,3165.148
OG0000115,2793.395,4275.515,5055.96,6252.215,5540.207
OG0000117,1378.306,606.007,871.317,1513.873,876.232
OG0000118,30.613,8.885,19.351,41.314,8.507
OG0000119,3419.766,3725.19,4501.057,5631.029,5177.753
OG0000121,552.007,606,1010.141,1268.05,1177.909
OG0000122,993.381,1332.001,1982.101,2337.44,2177.978
OG0000123,175.36,263.776,284.828,179.78,182.897
OG0000124,1846.372,2904.075,3353.559,4714.786,3661.617
OG0000125,526,471,379,827,475
OG0000126,1449.682,880.998,658.89,1293.968,827.865
OG0000127,301.553,255.027,246.491,248.842,335.771
OG0000128,370.147,574.897,586.604,927.227,1031.729
OG0000129,819.172,607.001,761.999,1098.553,876.062
OG0000130,1925.084,2734.088,3708.003,4800.989,4241.072
OG0000131,49.116,111,126,146,92
OG0000132,186,116,116,178,187.173
OG0000133,5296.163,7850.076,8602.862,11482.034,9474.971
OG0000134,908.567,466.931,494.001,836.701,506.468
OG0000135,830.293,404.005,558.075,1132.767,908.56
OG0000136,791.241,745,664,883.392,1419.749
OG0000137,1034.87,792.173,904.272,1414.377,1051.236
OG0000138,814.992,1043,821,418,2415.914
OG0000139,3579.559,4945.421,5350.066,8272.684,6647.077
OG0000140,10445.614,11109.87,13096.795,16800.131,16915.652
OG0000141,2319.386,1100.473,1282.97,2070.621,1319.749
OG0000142,3516.015,2692.004,3189.879,3106.186,2669.632
OG0000143,61,104,206,259,91
OG0000144,1008.914,765,865.198,1228.841,1296
OG0000145,19059.206,13304.06,11511.686,13215.224,19476.027
OG0000146,4074.152,3486.358,3101.358,4686.656,4549.532
OG0000147,107.587,138.939,213.039,358,323
OG0000148,1387.026,596.035,1699.154,1165.158,1325.566
OG0000149,45.327,93.058,107.896,300.185,391.241
OG0000150,3228.697,2133.924,1644.145,2480.478,2165.384
OG0000151,84,82,158,189,203
OG0000152,21.227,51.443,32.762,67.479,105.658
OG0000153,83,103,189.068,283,246
OG0000154,211,454.828,112,240,165
OG0000155,20.992,24.026,27,24.34,18.404
OG0000157,3832.999,3370,5268,5546.962,6094.032
OG0000158,374,357.254,13,114.463,751.623
OG0000159,151,140,228.037,298.009,215
OG0000160,304.078,686.899,473,762.63,518.161
OG0000161,237.526,234.221,341.223,485.42,447.088
OG0000162,907.992,660.014,791.127,1392.524,1337.153
OG0000163,15290.94,24576.83,24448.882,26501.93,29018.103
OG0000164,841.891,589,740,1057.816,644.999
OG0000165,3225.178,4460.833,5787.074,7570.368,6041.761
OG0000166,19469.311,14077.659,13785.84,15100.473,19276.957
