OG,Ofav_1,Ofav_2,Ofav_3,Ofav_4
OG0000000,1547.756,1604.886,3371.913,1501.152
OG0000001,780.94,728.862,588.623,1573.004
OG0000002,732.148,605.126,1357.348,498.489
OG0000003,1094.369,1386.98,732.19,1657.528
OG0000004,72.414,80.044,101.451,73.037
OG0000005,17688.808,17388.099,31559.832,16961.288
OG0000006,874.121,1171.532,589.68,1607.659
OG0000007,283.24,296.59,619.186,266.153
OG0000008,159.046,167.422,394.078,168.125
OG0000009,17520.526,15384.203,8609.661,18455.304
OG0000010,310,270.337,93.032,288
OG0000011,351.741,347.571,779.409,355.595
OG0000012,447.631,392.646,168.257,410.937
OG0000013,321.938,255.38,147.05,245.547
OG0000014,7.694,10,1,20
OG0000016,1864.949,1291.655,800.45,1991.561
OG0000017,595,548.691,282.065,719
OG0000018,188,188,68,200
OG0000019,452,368,218,515
OG0000021,247,191,47,153
OG0000022,6,5,14,4
OG0000023,46281.664,51937.255,26674.46,68728.485
OG0000024,971.223,1454.33,598.389,2236.163
OG0000025,14976.964,13257.113,16634.066,15186.487
OG0000026,706.982,508.082,286,703
OG0000027,309,659.392,401.825,743
OG0000028,723.78,671.097,1212.333,609.011
OG0000029,740.14,736.684,457.665,825.071
OG0000030,226.169,391.444,110.471,287.401
OG0000031,337.157,309.239,142.547,306.205
OG0000032,0,2,0,1
OG0000033,2442.435,2371.469,1006.554,3021.728
OG0000034,536,572.308,417.009,688.383
OG0000035,62,96,19,104.272
OG0000036,1508.989,1433.934,817.883,1306.331
OG0000037,1736.352,1379.039,2687.791,984.787
OG0000038,1779.298,1758.116,2428.093,1998.767
OG0000039,1428.473,1177.284,2027.575,795.012
OG0000040,129.179,178,70,131.272
OG0000041,132,257,123,1465.272
OG0000042,34,96,25,77
OG0000043,613.971,1198.584,354.601,914.944
OG0000044,6530.617,3060.567,1582.107,10391.785
OG0000045,153,104,112,350
OG0000046,213,209,397,203.915
OG0000047,1181.733,1286.905,2454.064,1548.064
OG0000049,3142.657,3021.374,5486.016,2442.625
OG0000050,14190.851,9448.004,7365.264,11899.375
OG0000051,2166.014,1700.672,647.736,2123.176
OG0000052,524.53,596.991,142.008,317.335
OG0000053,842.006,1336.973,1109.844,1188.01
OG0000054,1679.789,1593.691,2801.854,1025.18
OG0000055,2021.843,1813.259,3313.993,1472.019
OG0000056,4528.437,5991.652,4184.235,7013.674
OG0000057,36,14,9,45
OG0000058,2322.903,1903.852,3861.362,1389.438
OG0000059,5555.292,4874.677,9219.418,3062.004
OG0000060,1911.066,1748.851,2866.385,1150.477
OG0000061,7402.073,6256.735,3177.768,8792.736
OG0000062,399.501,626.227,202.278,176
OG0000064,621.783,376.571,506.816,554.02
OG0000066,237.033,350,164,574.976
OG0000067,76,72,17,49
OG0000068,14,47,14,37
OG0000070,8,7,3,33
OG0000071,2982.309,3335.102,6096.233,3339.154
OG0000072,38226.334,31162.425,18266.886,69347.907
OG0000073,22519.646,19068.995,16806.728,31923.309
OG0000074,2178.857,1852.779,3544.359,1209.281
OG0000075,1155.614,2206.494,1312.197,2637.496
OG0000076,129,165,42,92
OG0000077,425.987,383.885,288.77,518.477
OG0000078,2537.028,2369.522,962.682,2337.068
OG0000079,3981.69,4107.965,4258.275,3660.306
OG0000080,92,133.972,117,227
OG0000081,108,41,182.838,272.001
OG0000082,23,15,23,18
OG0000083,26,30,26,50
OG0000084,26,32,67.078,20
OG0000086,314.07,174.961,166.328,396.548
OG0000087,53.002,46,29,88
OG0000088,25,15,15,29
OG0000089,44,54,23,45.147
OG0000091,1369.162,1779.564,643,1417.164
OG0000092,0,5,1,26
OG0000093,807.807,880.35,371.12,813.552
OG0000094,16,43.19,9,33
OG0000096,10907.923,14334.911,20361.576,9969.104
OG0000097,193.019,229.266,86.031,203.003
OG0000099,5,1,3,4
OG0000100,1692.018,1611.587,2859.553,1350.845
OG0000101,13801.21,16715.381,10116.684,20194.333
OG0000102,60.011,40,4,27.719
OG0000103,7,0,10,33.103
OG0000104,888.234,1870.731,1265.539,1899.157
OG0000105,167.693,200.256,320.37,171.553
OG0000107,952.078,688,279,907.445
OG0000108,1206.005,904.514,1016.633,2276.06
OG0000109,25923.789,27127.325,15624.575,35278.192
OG0000111,4495.693,5062.302,9338.158,5580.481
OG0000112,900.332,1206.603,501.965,922
OG0000113,12,4,10,90.306
OG0000115,2379.249,1700.92,3286.866,1175.296
OG0000117,34,108,52,71
OG0000118,1787.362,814.183,373.107,735
OG0000119,2029.667,1834.092,3143.097,1409.426
OG0000121,661.112,615.788,1121,503.206
OG0000122,1154.556,1074.243,2072.848,815.057
OG0000123,78.308,20,32,74
OG0000124,2419.615,2061.604,3894.319,1367.058
OG0000125,66,34,27,84
OG0000126,1143.412,1347.383,727.335,1559.807
OG0000127,1385.234,905.864,404.655,1447.739
OG0000128,936.344,1575.634,1053.398,6394.163
OG0000129,299.017,316,100.919,135
OG0000130,2720.146,2721.433,4682.694,1862.997
OG0000131,84,54,171,71.9
OG0000132,585.002,603.372,194,746.003
OG0000133,7338.821,7980.334,13635.131,6026.603
OG0000134,44,48,13,54
OG0000136,313,376.718,298.415,299.033
OG0000137,494.996,716.898,718.833,1033.826
OG0000138,684,598,256.026,517.613
OG0000139,4717.46,8122.702,3927.64,8620.862
OG0000140,3154.229,3549.877,6009.361,2999.092
OG0000143,1,3,0,15
OG0000144,122,109.061,244,98
OG0000145,16794.25,18585.705,13457.483,23185.451
OG0000146,2852.856,2993.916,1014.839,4039.04
OG0000149,0,3,0,0
OG0000152,1,3,0,1
OG0000153,2745.249,2704.812,5458.02,1996.89
OG0000154,4,1,1,1
