OG,Past_1,Past_2,Past_3,Past_4
OG0000000,30,82.529,56,150.015
OG0000001,1860.814,3639.623,1811.574,5667.587
OG0000002,120,328.355,229.352,295.034
OG0000003,1641.008,2268.328,1440.163,6210.182
OG0000004,1858.971,3334.798,2838.523,9293.684
OG0000005,4685.342,13467.663,9006.4,14730.584
OG0000006,66,110.457,73.602,113
OG0000009,3049.019,10875.265,8277.35,16719.229
OG0000010,884.127,1439.002,1132.145,3645.46
OG0000012,44.019,34,27,52
OG0000013,503.993,876.574,591.228,2921.34
OG0000014,520,1791.434,814.01,1822.323
OG0000016,1343.187,1409.557,1198.018,13176.941
OG0000017,468,602.302,720.639,1680.011
OG0000018,582.001,836.413,643,1896.175
OG0000019,456,1666.486,509.143,1935.866
OG0000021,1336,3675.906,1388.916,8428.034
OG0000022,11,54.672,12,49.753
OG0000023,17656.093,51316.669,23641.468,85958.292
OG0000024,801.577,2163.736,1768.856,6259.274
OG0000025,4224.868,12176.046,7286.122,21101.239
OG0000026,1069.987,1370.004,1282.984,6138.428
OG0000027,1745.011,2556.047,2382.107,10684.698
OG0000029,1003.02,1657.498,1483.822,5425.907
OG0000030,27,81.018,20,258.116
OG0000031,0,1,1,10
OG0000032,458,946.707,641,1405.401
OG0000033,2146.732,5406.084,4095.315,15055.835
OG0000034,1579,4935.481,3157.806,9259.752
OG0000035,716,2760.102,697,700
OG0000036,969,2694.204,2320.183,8098.751
OG0000037,63.102,107.707,82.197,360.231
OG0000038,4043.11,9787.773,4642.769,19459.408
OG0000039,42.881,111.175,59,313.877
OG0000040,277.002,374.879,346.744,1359.274
OG0000041,107,474.522,440,1068.997
OG0000042,958.41,1216.404,731.758,8189.413
OG0000043,355,579.111,542.014,1636.149
OG0000044,741,2780.338,2152.218,3766.033
OG0000045,595,1849.154,1052.318,1939.114
OG0000046,230.054,414.902,270.034,740.725
OG0000047,3428.15,8655.692,3856.925,9390.437
OG0000049,1042.944,2478.814,1774.241,3954.905
OG0000050,1361.085,2731.115,3477.55,5792.928
OG0000051,5422.044,14595.127,9604.377,28430.357
OG0000052,285,429.651,386,1273.645
OG0000053,986.786,2698.38,1372.684,3214.219
OG0000054,19,33.3,16,119
OG0000055,12.997,42.703,29,61.041
OG0000056,1414.494,4859.661,3792.149,20250.324
OG0000057,561,818.044,716.006,2653.605
OG0000058,7,7.01,2,15.006
OG0000059,36.946,68.231,37.065,205.317
OG0000060,21,20.386,14,63
OG0000061,2779.556,7411.446,4442.359,9530.238
OG0000062,137.998,169.694,228.014,903.01
OG0000063,480,2408.369,988.175,3440.8
OG0000064,183,315.571,192,574.365
OG0000065,3283.487,5350.715,4222.941,9545.385
OG0000066,815,3936.621,1030,1802.03
OG0000067,5932.015,8830.773,6562.792,28445.285
OG0000068,41,94.257,53,109.399
OG0000069,1869.575,2718.733,1639.038,6265.813
OG0000070,288.002,573.983,627.011,2460.709
OG0000071,5289.399,16351,9789.35,30674.208
OG0000072,962.5,2732.137,1661.309,3604.131
OG0000073,710.893,1433.198,1325.531,3915.789
OG0000074,17,57.852,29,141.075
OG0000075,93,399.21,176,955.782
OG0000076,605.005,1240.227,880.787,3392.551
OG0000077,313,561.327,359.503,1855.945
OG0000078,379,764.082,581,2102.112
OG0000079,543,1248.331,1012.149,3679.965
OG0000080,28,57.47,70,320
OG0000081,5,23.623,28.696,46
OG0000083,84,165.354,106,787.577
OG0000086,376.398,267.164,483,1112
OG0000087,55,28.032,76,731.749
OG0000088,274,790.169,2593.97,6118.907
OG0000089,127,447.871,211.106,1599.879
OG0000090,36,69.782,34.007,125
OG0000091,479,981.093,898,3894.822
OG0000092,451.011,1037.711,613.005,2140.349
OG0000093,110.005,358.9,237.999,1066.624
OG0000094,116,184.116,160,424.092
OG0000095,680,611.933,571,3627.643
OG0000096,118.928,212.737,104.886,432.209
OG0000097,192,150.238,218.966,620.938
OG0000099,842.253,826.462,849.387,3595.406
OG0000100,7905.997,25118.667,11639.691,39054.82
OG0000101,5273.441,11885.487,5070.53,14919.757
OG0000102,467.088,1060.318,948.008,211.001
OG0000103,112,251.767,204,758.097
OG0000104,703.33,1248.338,994.673,3812.418
OG0000106,36,61.7,73.867,249.179
OG0000107,120,498.373,300,3330.913
OG0000108,234,1383.47,278,505
OG0000109,9718.835,23606.099,12970.357,40001.827
OG0000110,771,1428.136,1151.989,1561.538
OG0000111,589,1465.203,952.386,1247.523
OG0000112,328.552,939.768,446.097,1822.75
OG0000113,383,1710.153,797.001,808.744
OG0000114,65,87.466,75,396.943
OG0000115,2,5.977,5,13
OG0000116,311,622.423,557.992,1684.076
OG0000117,59,387.625,164,414.032
OG0000118,910,1584.477,1684.114,7019.842
OG0000119,42.001,101.669,41.299,146.783
OG0000122,42,117.04,70.791,334.81
OG0000123,77,56.891,284.989,541.019
OG0000124,8,17.696,5,33
OG0000125,71,88.371,90,564.058
OG0000126,193,405.139,423,2988
OG0000127,37,131.555,71,85
OG0000128,107,961.09,635.616,1640.559
OG0000129,984.097,2514.054,1315.888,7207.903
OG0000130,5,1.001,3,14.467
OG0000132,450.721,966.853,719.614,2204.926
OG0000133,6,23.207,10.472,63.41
OG0000134,108,130.96,152,249
OG0000135,50,72.111,205.63,184
OG0000136,203,609.315,380,1732.674
OG0000137,153,876.304,359.999,782.924
OG0000138,130,2467.746,157.774,1033.14
OG0000139,145,509.635,269,1415.002
OG0000140,1477.147,3801.648,2143.044,4452.364
OG0000142,898.063,1186.465,1598.011,3443.438
OG0000143,82,348.879,175.531,1552.399
OG0000144,365.002,1517.844,974.153,2715.217
OG0000145,5375.924,14076.806,5949.629,21395.675
OG0000146,2991.173,7473.24,6081.877,12464.714
OG0000147,218,440.459,210,417.998
OG0000148,1116.001,1435.982,1522.529,6479.227
OG0000149,98,75.752,99,370
OG0000150,7,8.005,0,6
OG0000152,12,38.222,22.523,98.043
OG0000153,132.356,150.327,115.036,688.053
OG0000154,673.114,973.928,1007.588,2616.865
OG0000155,1062.703,2754.511,1943.481,7784.451
OG0000156,1.939,5.004,6,37.289
OG0000157,133.022,278.173,317.689,438.474
