OG,Cnat_Orthofinder_input,Mcav_coral_only_denovo,Ofav_coral_only_denovo,Past_longest_proteome,Ssid_longest_proteome,Total
OG0007747,1,1,1,1,1,5
OG0007748,1,1,1,1,1,5
OG0007785,1,1,1,1,1,5
OG0007801,1,1,1,1,1,5
OG0007824,1,1,1,1,1,5
OG0007866,1,1,1,1,1,5
OG0007900,1,1,1,1,1,5
OG0007925,1,1,1,1,1,5
OG0007941,1,1,1,1,1,5
OG0007953,1,1,1,1,1,5
OG0007980,1,1,1,1,1,5
OG0008036,1,1,1,1,1,5
OG0008045,1,1,1,1,1,5
OG0008047,1,1,1,1,1,5
OG0008078,1,1,1,1,1,5
OG0008089,1,1,1,1,1,5
OG0008106,1,1,1,1,1,5
OG0008120,1,1,1,1,1,5
OG0008123,1,1,1,1,1,5
OG0008137,1,1,1,1,1,5
OG0008146,1,1,1,1,1,5
OG0008150,1,1,1,1,1,5
OG0008151,1,1,1,1,1,5
OG0008155,1,1,1,1,1,5
OG0008163,1,1,1,1,1,5
OG0008169,1,1,1,1,1,5
OG0008214,1,1,1,1,1,5
OG0008233,1,1,1,1,1,5
OG0008250,1,1,1,1,1,5
OG0008251,1,1,1,1,1,5
OG0008266,1,1,1,1,1,5
OG0008286,1,1,1,1,1,5
OG0008302,1,1,1,1,1,5
OG0008313,1,1,1,1,1,5
OG0008324,1,1,1,1,1,5
OG0008328,1,1,1,1,1,5
OG0008330,1,1,1,1,1,5
OG0008365,1,1,1,1,1,5
OG0008369,1,1,1,1,1,5
OG0008371,1,1,1,1,1,5
OG0008376,1,1,1,1,1,5
OG0008397,1,1,1,1,1,5
OG0008424,1,1,1,1,1,5
OG0008428,1,1,1,1,1,5
OG0008440,1,1,1,1,1,5
OG0008443,1,1,1,1,1,5
OG0008447,1,1,1,1,1,5
OG0008451,1,1,1,1,1,5
OG0008453,1,1,1,1,1,5
OG0008463,1,1,1,1,1,5
OG0008500,1,1,1,1,1,5
OG0008512,1,1,1,1,1,5
OG0008521,1,1,1,1,1,5
OG0008540,1,1,1,1,1,5
OG0008562,1,1,1,1,1,5
OG0008565,1,1,1,1,1,5
OG0008566,1,1,1,1,1,5
OG0008576,1,1,1,1,1,5
OG0008582,1,1,1,1,1,5
OG0008587,1,1,1,1,1,5
OG0008609,1,1,1,1,1,5
OG0008626,1,1,1,1,1,5
OG0008628,1,1,1,1,1,5
OG0008632,1,1,1,1,1,5
OG0008667,1,1,1,1,1,5
OG0008676,1,1,1,1,1,5
OG0008691,1,1,1,1,1,5
OG0008710,1,1,1,1,1,5
OG0008724,1,1,1,1,1,5
OG0008729,1,1,1,1,1,5
OG0008735,1,1,1,1,1,5
OG0008755,1,1,1,1,1,5
OG0008759,1,1,1,1,1,5
OG0008760,1,1,1,1,1,5
OG0008762,1,1,1,1,1,5
OG0008770,1,1,1,1,1,5
OG0008772,1,1,1,1,1,5
OG0008783,1,1,1,1,1,5
OG0008792,1,1,1,1,1,5
OG0008794,1,1,1,1,1,5
OG0008796,1,1,1,1,1,5
OG0008798,1,1,1,1,1,5
OG0008800,1,1,1,1,1,5
OG0008809,1,1,1,1,1,5
OG0008814,1,1,1,1,1,5
OG0008817,1,1,1,1,1,5
OG0008818,1,1,1,1,1,5
OG0008824,1,1,1,1,1,5
OG0008828,1,1,1,1,1,5
OG0008834,1,1,1,1,1,5
OG0008836,1,1,1,1,1,5
OG0008857,1,1,1,1,1,5
OG0008859,1,1,1,1,1,5
OG0008861,1,1,1,1,1,5
