OG,Ssid_1,Ssid_2,Ssid_3,Ssid_4
OG0000000,90,109,285,257
OG0000001,1946,3737.802,1878,1510
OG0000002,25,20,82,78
OG0000003,3589,3847.99,2435.01,2637.006
OG0000004,699.051,923.393,785.165,890.196
OG0000006,110,208.187,130,188.12
OG0000007,21.689,28.046,66.407,34.65
OG0000008,2,3,18,4
OG0000009,13361.34,14810.627,7689.58,6837.781
OG0000010,1175.004,2001,1092.303,1471
OG0000011,2,6,12,5
OG0000012,378.302,492,329.121,352
OG0000013,3440.6,4068.191,3579.331,3161.612
OG0000014,61,91,60,92
OG0000016,2929,5545.94,2464.387,2189.388
OG0000017,3115.267,3884.649,2273.086,1763.345
OG0000018,821,579,445,538
OG0000019,3429,5586.112,2861.992,2967.011
OG0000021,847,893.016,475.975,856.287
OG0000023,93625.837,113636.049,71039.996,75749.33
OG0000024,1127.124,1703.003,960,1082.017
OG0000025,5589.109,9139.291,4190.945,4697.881
OG0000026,413.998,389,210,294.447
OG0000027,240.046,322.591,325.074,220.559
OG0000029,1,3,3,10
OG0000030,391,436,87,138
OG0000032,5,10,13,7
OG0000033,2207.002,2546,1432,1775
OG0000034,6435.408,7345.875,4702,5408.15
OG0000035,3830.412,6454,2471.997,2940.237
OG0000036,2323.038,2617.873,1979.001,2216.261
OG0000037,4,0,0,0
OG0000038,132.528,111,82,97.148
OG0000039,208.892,257,669.635,358.676
OG0000040,814.41,1437.795,584,748.009
OG0000041,648,1032,459,449
OG0000043,19,10,12,40.988
OG0000044,7192.291,10305.287,4931.999,7626.077
OG0000045,480,985.787,372,372
OG0000046,21.302,10,38.683,33.849
OG0000047,8400.881,13063.118,6890.016,8406.078
OG0000050,16793.338,22869.58,11711.073,17597.958
OG0000051,453.995,715.847,261,278
OG0000052,386,395,243,391
OG0000053,513.575,646.435,622.168,627
OG0000054,1,0,0,0
OG0000055,2,0,1,0
OG0000056,2915.618,3381.151,2395.732,5262.354
OG0000058,0,0,0,0
OG0000059,41.286,1,0,0
OG0000061,9900.193,11719.094,6119.067,8603.261
OG0000062,2329.102,2743.9,2008.808,2235.981
OG0000063,208.063,349,137.051,248
OG0000064,1397,1238,537,829
OG0000065,9690.443,8954.045,5751.357,10934.972
OG0000066,3715.943,3151,1605,468
OG0000067,632.005,314,403,518
OG0000069,113,77,76,60
OG0000070,276,238,90,47
OG0000071,23580.517,37484.925,18883.563,20581.43
OG0000072,872,942,541,697
OG0000073,36,15,12,13
OG0000074,0,0,0,0
OG0000075,983.062,1141.945,784,1010
OG0000076,38,40,31,19
OG0000077,534.999,509,362,471
OG0000078,1993.001,2066.949,1312,1583.134
OG0000079,1254,2226.014,998,1226.206
OG0000080,133,169,154,110
OG0000081,24,12,2,46
OG0000082,9,1,21,18
OG0000083,306,635,604,420
OG0000086,619,768,434,548
OG0000087,1067.003,1218,1267,959
OG0000088,543,602,369,472
OG0000089,125,193,169,119
OG0000090,508,945,415,764
OG0000091,2383.22,2108,1490.187,1519.024
OG0000093,2469.34,2745.191,1391,1433
OG0000094,215.914,296,202,208
OG0000096,11,6,5,8
OG0000097,813.479,2693.293,702.981,664.984
OG0000099,461,418,669,567
OG0000100,89458.94,95568.958,56104.845,66091.042
OG0000101,17080.484,23145.491,13664.198,13555.165
OG0000102,685,1059.651,712,717
OG0000103,679.643,954,590,426
OG0000104,2476.45,2521.698,1598.843,2332.575
OG0000107,1069.511,1310,992,1102
OG0000108,1396,538.047,318,876
OG0000109,42485.79,56615.373,31750.124,38807.023
OG0000110,55,19,6,14
OG0000112,237,304,165,223
OG0000113,244,267,451,77
OG0000115,0,0,0,0
