,X,Rapid,OG,theta,sigma2,alpha,beta,results,Single,Class,Expression_divergence,log_pvalue
6,6,TRUE,OG0001065,10.02020842,405.5113885,67.51462321,0.005335696,9.03E-07,FALSE,Rapid,2.272808922,6.04431225
7,7,TRUE,OG0000118,11.38228084,100.2184813,62.1545518,0.005635243,1.34E-06,FALSE,Rapid,2.249087352,5.872895202
10,10,TRUE,OG0000470,11.08576948,13.64875997,5.838390286,0.006226422,2.86E-06,FALSE,Rapid,2.205761448,5.543633967
12,12,TRUE,OG0000521,9.015256159,587.8910359,72.83800007,0.006715148,4.79E-06,FALSE,Rapid,2.172944411,5.319664487
13,13,TRUE,OG0000589,12.36839288,161.7284509,56.15491077,0.006750924,4.95E-06,FALSE,Rapid,2.170636781,5.305394801
16,16,TRUE,OG0000088,12.15360012,95.94346917,32.78398406,0.00760182,1.15E-05,FALSE,Rapid,2.119082418,4.93930216
29,29,TRUE,OG0000323,9.951698611,126.6882556,13.93611976,0.009866303,6.52E-05,FALSE,Rapid,2.005845551,4.185752404
31,31,TRUE,OG0000740,9.145525345,502.995802,65.49810293,0.010361468,9.06E-05,FALSE,Rapid,1.98457871,4.042871802
42,42,TRUE,OG0000129,10.3097449,681.9045994,73.09873758,0.012045631,0.000231213,FALSE,Rapid,1.919170445,3.635987751
44,44,TRUE,OG0000095,10.42062918,33.57685232,4.593058455,0.012048299,0.000245557,FALSE,Rapid,1.919074263,3.609847681
74,74,TRUE,OG0000038,7.634087599,80.71864003,10.79202827,0.016144166,0.001292364,FALSE,Rapid,1.791984386,2.888615148
97,97,TRUE,OG0000062,12.02522679,68.33031175,11.42747839,0.019127161,0.003273226,FALSE,Rapid,1.718349487,2.485024008
112,112,TRUE,OG0000015,9.834015482,36.52344492,6.090370233,0.020376316,0.004635221,FALSE,Rapid,1.690874333,2.333929555
132,132,TRUE,OG0000054,7.391178742,40.6745353,9.420881298,0.022107685,0.006778822,FALSE,Rapid,1.655456732,2.16884577
154,154,TRUE,OG0000077,9.231481165,45.3010613,10.64861336,0.023958033,0.009957777,FALSE,Rapid,1.620548841,2.001837604
175,175,TRUE,OG0000385,10.4174427,8.65095891,6.549674213,0.025710937,0.013839445,FALSE,Rapid,1.589882096,1.858881326
186,186,TRUE,OG0001056,8.440460892,22.48666374,8.906398985,0.026406235,0.015264704,FALSE,Rapid,1.578293516,1.816311613
262,262,TRUE,OG0000775,7.686840113,47.08687633,999,12.93267911,0.023108517,FALSE,Rapid,-1.111688502,1.636227925
263,263,TRUE,OG0001117,6.517803038,27.04896457,71.83452711,2.3553432,0.023122505,FALSE,Rapid,-0.372054198,1.635965118
264,264,TRUE,OG0000083,8.474944994,349.9582301,67.91984313,0.028922567,0.023147521,FALSE,Rapid,1.538763164,1.635495513
291,291,TRUE,OG0000751,7.486947136,2.251388028,57.75097281,99,0.023855699,FALSE,Rapid,-1.995635195,1.622407854
317,317,TRUE,OG0000661,6.299669651,0.349920166,8.767577894,99,0.024423826,FALSE,Rapid,-1.995635195,1.612186303
322,322,TRUE,OG0000630,6.845916404,0.106352099,11.41448752,99,0.024509903,FALSE,Rapid,-1.995635195,1.610658408
334,334,TRUE,OG0001269,6.87872024,0.072894602,10.36144224,99,0.024860419,FALSE,Rapid,-1.995635195,1.604491556
369,369,TRUE,OG0001132,6.740526215,16.3387226,79.10069225,4.118625739,0.026612436,FALSE,Rapid,-0.614752329,1.57491537
378,378,TRUE,OG0000081,6.538100124,654.1844241,69.01020499,0.030069086,0.027085296,FALSE,Rapid,1.521879773,1.567266414
431,431,TRUE,OG0000956,5.878002987,36.99295945,63.73166919,2.761903278,0.029859044,FALSE,Rapid,-0.441208465,1.524924101
460,460,TRUE,OG0000298,7.412003017,26.27799739,63.90198932,2.716226062,0.031300315,FALSE,Rapid,-0.433965912,1.504451292
497,497,TRUE,OG0000581,8.675018699,24.26352647,10.74985219,0.031702704,0.033131093,FALSE,Rapid,1.498903694,1.479764236
519,519,TRUE,OG0000667,8.864200817,168.5725799,64.05110261,0.03198473,0.034357919,FALSE,Rapid,1.495057311,1.463973149
570,570,TRUE,OG0000511,6.790267817,139.1345606,63.93945534,1.899816029,0.036727031,FALSE,Rapid,-0.278711548,1.435014178
597,597,TRUE,OG0000494,5.009449207,90.79945292,63.25385206,1.760174204,0.037996496,FALSE,Rapid,-0.245555652,1.420256452
617,617,TRUE,OG0000435,7.31290596,41.37621653,10.92559053,0.033042159,0.039231567,FALSE,Rapid,1.480931583,1.406364345
675,675,TRUE,OG0000214,7.612164629,67.1914112,73.65352581,1.295839322,0.041733369,FALSE,Rapid,-0.112551154,1.379516555
697,697,TRUE,OG0000566,7.925626785,34.14081108,59.11109859,2.073346124,0.043059186,FALSE,Rapid,-0.316671809,1.365934184
707,707,TRUE,OG0001115,5.014783105,74.72099887,59.44213048,0.954202174,0.043208565,FALSE,Rapid,0.020359598,1.364430157
723,723,TRUE,OG0000432,6.4875522,9.737745646,22.64662072,1.984935776,0.044207903,FALSE,Rapid,-0.297746459,1.354500085
730,730,TRUE,OG0000614,9.504999999,12.37975865,6.387971122,0.033979384,0.044581317,FALSE,Rapid,1.468784499,1.350847106
745,745,TRUE,OG0000351,4.558746244,0.486888908,5.543782092,10.34836353,0.045543103,FALSE,Rapid,-1.014871677,1.341577383
807,807,TRUE,OG0001382,5.262941805,66.21594148,63.85298807,1.56363051,0.048708089,FALSE,Rapid,-0.194134136,1.312398909
850,850,TRUE,OG0000110,6.612462816,39.63013346,9.034555869,0.035315912,0.051046946,FALSE,Rapid,1.452029574,1.292030235
855,855,TRUE,OG0001178,6.426561979,91.55557959,51.61163802,1.024960476,0.051228921,FALSE,Rapid,-0.010707119,1.290484791
865,865,TRUE,OG0000106,9.121656958,1.179531756,12.85976983,3.013224019,0.051528123,FALSE,Rapid,-0.479031421,1.287955677
975,975,TRUE,OG0000913,8.867540116,65.94262604,104.8720741,0.03669674,0.058553696,FALSE,Rapid,1.435372515,1.232445686
978,978,TRUE,OG0000945,3.106034975,106.4277034,60.37150991,0.720511791,0.058687648,FALSE,Rapid,0.142358908,1.231453295
994,994,TRUE,OG0000319,5.640374132,43.72322004,60.36344755,2.504491604,0.059642838,FALSE,Rapid,-0.39871958,1.2244417
1000,1000,TRUE,OG0000159,5.888914938,211.2258094,60.11975116,1.054825534,0.059848489,FALSE,Rapid,-0.023180634,1.22294681
1004,1004,TRUE,OG0001357,4.723652154,10.45327477,13.35818719,1.461523039,0.060271732,FALSE,Rapid,-0.164805666,1.219886328
1054,1054,TRUE,OG0000322,4.431650246,19.83580223,15.33751432,1.235824572,0.063223351,FALSE,Rapid,-0.091956826,1.199122489
1065,1065,TRUE,OG0000177,7.232037955,120.8729451,64.11236023,0.64481013,0.064039558,FALSE,Rapid,0.190568148,1.193551674
1079,1079,TRUE,OG0001358,7.369268805,101.7540341,101.1583347,0.739179807,0.065039697,FALSE,Rapid,0.131249906,1.186821491
1100,1100,TRUE,OG0000154,5.620728455,68.76821583,40.26590582,1.179661737,0.066036581,FALSE,Rapid,-0.071757493,1.18021542
1128,1128,TRUE,OG0000831,10.91156619,16.41951706,50.94659929,0.742861668,0.067393484,FALSE,Rapid,0.129092051,1.171382092
1135,1135,TRUE,OG0000657,12.56910106,2.454650216,51.23663626,2.18176066,0.067840286,FALSE,Rapid,-0.338807107,1.16851233
1189,1189,TRUE,OG0000571,9.057127609,92.89373243,16.29918057,0.038740123,0.071334998,FALSE,Rapid,1.411839005,1.146697347
1197,1197,TRUE,OG0000550,6.857924715,201.8466152,72.18289677,0.038810713,0.071988843,FALSE,Rapid,1.411048379,1.142734806
1200,1200,TRUE,OG0000381,8.54541467,35.02773077,17.4211755,0.869169105,0.072083866,FALSE,Rapid,0.060895719,1.142161929
1235,1235,TRUE,OG0000925,5.356584718,462.6903932,520.661994,1.026381436,0.07415738,FALSE,Rapid,-0.011308788,1.129845622
1281,1281,TRUE,OG0000288,6.777019877,280.5339936,509.9494151,0.700939639,0.077420195,FALSE,Rapid,0.154319379,1.111145739
1285,1285,TRUE,OG0000007,10.21381995,22.73926768,49.86119349,1.256201878,0.077822106,FALSE,Rapid,-0.099059438,1.108897021
1287,1287,TRUE,OG0001008,10.17679608,774.5013936,799.9457402,0.749026378,0.077887008,FALSE,Rapid,0.125502888,1.108534979
1292,1292,TRUE,OG0000800,9.311476238,6.815688561,10.25582834,1.116019579,0.078368295,FALSE,Rapid,-0.047671814,1.105859602
1318,1318,TRUE,OG0000321,6.271739955,171.5305327,67.46712848,0.649308303,0.080417066,FALSE,Rapid,0.187549044,1.094651776
1346,1346,TRUE,OG0000672,8.27035849,48.69411553,15.40966826,0.040443786,0.082223839,FALSE,Rapid,1.393148196,1.08500225
1372,1372,TRUE,OG0000527,13.15462203,11.00267702,92.33047218,1.080840807,0.083745505,FALSE,Rapid,-0.033761733,1.077038494
1385,1385,TRUE,OG0000181,7.842676633,37.17810363,7.872274421,0.040698483,0.084517167,FALSE,Rapid,1.390421778,1.073055069
1420,1420,TRUE,OG0000656,5.990972556,10.69489097,5.658994909,2.0920951,0.087213359,FALSE,Rapid,-0.320581422,1.059416986
1449,1449,TRUE,OG0001131,8.697657494,118.4100261,725.2908177,0.623518512,0.089391618,FALSE,Rapid,0.205150648,1.048703202
1466,1466,TRUE,OG0000638,11.61227843,7.069269901,78.67427151,1.766264507,0.090554774,FALSE,Rapid,-0.247055742,1.043088649
1478,1478,TRUE,OG0000137,7.187765743,766.5227837,725.9041295,0.600547984,0.091941451,FALSE,Rapid,0.221452287,1.036488647
1481,1481,TRUE,OG0000309,9.921280537,50.97622211,59.63217098,0.563029813,0.092058313,FALSE,Rapid,0.249468608,1.035936988
1484,1484,TRUE,OG0000910,7.844230583,139.8198667,180.1691853,0.569667627,0.092350325,FALSE,Rapid,0.24437846,1.034561572
