OG,theta,sigma2,alpha,beta,results
OG0010618,9.492680689,366.7485017,65.52752577,0.004171351,1.42E-07
OG0010409,7.871040485,169.2349341,15.73535942,0.0045965,2.97E-07
OG0007278,8.793744576,62.23110352,10.91666484,0.004825265,4.12E-07
OG0002639,5.873836143,239.9030593,15.62539226,0.004825665,4.14E-07
OG0005627,7.139836215,465.5298594,59.93495666,0.00531577,8.70E-07
OG0001065,10.02020842,405.5113885,67.51462321,0.005335696,9.03E-07
OG0000118,11.38228084,100.2184813,62.1545518,0.005635243,1.34E-06
OG0005090,8.282180251,66.99605875,10.58597877,0.006050003,2.26E-06
OG0006379,7.237708336,37.90222556,7.645135365,0.006156865,2.58E-06
OG0000470,11.08576948,13.64875997,5.838390286,0.006226422,2.86E-06
OG0011158,7.230222266,73.03423542,13.15483889,0.006670689,4.43E-06
OG0000521,9.015256159,587.8910359,72.83800007,0.006715148,4.79E-06
OG0000589,12.36839288,161.7284509,56.15491077,0.006750924,4.95E-06
OG0003807,6.860092804,138.1442388,10.83179129,0.006845113,5.40E-06
OG0004532,8.074719505,387.3769101,72.30959872,0.006856527,5.56E-06
OG0000088,12.15360012,95.94346917,32.78398406,0.00760182,1.15E-05
OG0003323,6.158396244,485.0851399,62.1965183,0.008034953,1.68E-05
OG0004639,7.759427709,410.9254138,70.47106392,0.008087515,1.68E-05
OG0004702,6.713778913,231.0103162,10.25877496,0.008351956,2.19E-05
OG0009450,8.633687222,302.2104285,56.40015814,0.00846095,2.38E-05
OG0007243,7.52802258,693.9925725,131.3162267,0.00846618,2.39E-05
OG0004681,10.61566497,714.7391051,113.1336979,0.008494163,2.44E-05
OG0010635,8.307050372,555.1018242,72.51506259,0.008861579,3.22E-05
OG0009324,6.636904151,338.3078342,78.88349852,0.00891411,3.38E-05
OG0003923,9.202203243,897.864937,67.65324793,0.009129426,3.89E-05
OG0001926,11.7029052,190.0412648,77.78643047,0.009159188,4.06E-05
OG0010456,10.12525288,111.3974317,15.97651689,0.009175749,4.11E-05
OG0002543,9.838279512,155.1090974,10.25514887,0.009246366,4.25E-05
OG0000323,9.951698611,126.6882556,13.93611976,0.009866303,6.52E-05
OG0010073,6.579474963,249.0882945,48.89734305,0.010303259,8.72E-05
OG0000740,9.145525345,502.995802,65.49810293,0.010361468,9.06E-05
OG0006188,7.923671157,462.2549629,73.40396367,0.010444127,9.57E-05
OG0003419,9.192778509,37.45522385,12.48626674,0.010790505,0.000114206
OG0005808,9.960628821,910.1562734,69.89394847,0.010811493,0.000117626
OG0002049,5.186389565,392.4805013,104.7219821,0.011023394,0.000131248
OG0005135,10.68145119,88.48917026,13.57046293,0.011203296,0.000144349
OG0007040,8.22988083,390.3340352,72.6429314,0.011153114,0.000145446
OG0008909,8.603589423,321.3950552,60.34173068,0.011527236,0.000177406
OG0003214,10.1035677,96.17179268,16.77271895,0.011690343,0.000195321
OG0001858,9.475346324,215.5934291,68.23778911,0.01196766,0.000225282
OG0009881,7.406469458,22.07974576,8.140654356,0.011982898,0.000228388
OG0000129,10.3097449,681.9045994,73.09873758,0.012045631,0.000231213
OG0011113,7.126609206,93.6604137,11.23814779,0.012082887,0.000234585
OG0000095,10.42062918,33.57685232,4.593058455,0.012048299,0.000245557
OG0001787,10.772944,88.51496026,15.2207227,0.012252049,0.000261223
OG0006790,7.731342091,715.4475858,144.7423427,0.012284945,0.000264772
OG0001574,10.24394615,519.1472129,90.30869933,0.012380923,0.000278493
OG0007259,9.056223526,42.92972287,8.406665369,0.012521567,0.00029021
OG0002851,8.182509208,66.07841462,11.51336828,0.012649606,0.000308083
OG0011145,6.630178709,53.86156907,12.27257548,0.012664215,0.000308715
OG0001781,11.28918041,69.94131967,10.94293112,0.012818182,0.000333091
OG0001052,10.33757847,405.1882877,60.85697443,0.012802069,0.000339781
OG0003635,8.551594306,50.90667877,6.187761015,0.012752298,0.00034053
OG0001537,10.18533228,67.33093171,10.57042871,0.013157163,0.000390508
OG0010085,7.546565139,40.13426587,10.02899719,0.013350599,0.000426039
OG0006285,9.119889418,961.6955313,169.085447,0.013475112,0.000463013
OG0010961,6.487493407,248.4298197,56.71981263,0.013550137,0.000478938
OG0003345,7.309171771,47.80011459,16.97729338,0.014074509,0.000601044
OG0004749,8.488824538,33.07174355,7.420497142,0.014239523,0.000625954
OG0002239,7.748964851,401.6137538,76.89225612,0.014276216,0.000651043
OG0010331,8.194962706,214.0640961,62.63867934,0.01444855,0.000685544
OG0001979,9.437251385,759.5656843,62.11921548,0.014440493,0.000692085
OG0010921,5.895728667,101.848667,12.31103044,0.014497385,0.000694407
OG0010615,8.300989642,64.0468246,27.2761284,0.014548044,0.000727796
OG0005598,8.746514734,31.04145246,12.59079145,0.014801176,0.000781705
OG0004881,8.182511514,315.2678802,73.81283674,0.015059416,0.000861481
OG0007967,7.38368152,622.5450736,76.42438959,0.015043024,0.000877054
OG0000924,9.453140038,40.93559838,8.943704362,0.015064119,0.000889261
OG0001548,10.24618891,113.6475507,34.83686468,0.015081607,0.000897235
OG0003058,9.247567359,99.01452705,17.59747244,0.015117188,0.000905388
OG0010644,9.047365528,210.6992441,69.10904428,0.015394067,0.001006864
OG0008017,9.902928916,35.14886781,11.0306697,0.015683973,0.001089697
OG0003624,8.238720807,40.27110661,10.28996278,0.01577973,0.001122475
OG0000038,7.634087599,80.71864003,10.79202827,0.016144166,0.001292364
OG0007389,7.460662698,84.95055369,17.94643244,0.016455737,0.001419915
OG0008056,8.000057321,142.7517253,51.00488825,0.016509501,0.001449211
OG0006665,8.716926298,353.0753242,61.69464546,0.016692872,0.001586377
OG0005035,10.77685976,63.98592815,67.36745702,0.01683337,0.001610168
OG0007202,9.525391895,22.03997096,11.05966748,0.016845223,0.001647523
OG0004226,8.708317011,471.9624557,83.75482472,0.016934365,0.001715438
OG0007071,8.835307966,719.8833757,72.46825531,0.017453407,0.00196583
OG0002095,6.958570895,39.57564579,5.620581639,0.017738368,0.002194926
OG0005450,9.040486226,718.2179629,129.4657511,0.01787381,0.002293211
OG0001530,11.72983457,65.85944923,10.76130142,0.017996008,0.002317849
OG0010604,7.416147674,330.2929035,140.0490976,0.018083952,0.002399132
OG0010658,7.61331995,186.9877437,51.41267204,0.018162697,0.002486064
OG0006568,8.936728824,13.91421322,10.56718203,0.018280517,0.002519766
OG0004248,7.90424093,38.47806137,6.320018773,0.01819136,0.002550929
OG0005463,8.75928839,385.3893361,68.24468573,0.018252892,0.002571469
OG0002867,8.136642768,287.1319866,76.79769173,0.018515835,0.00276103
OG0001388,8.091379867,56.5374677,11.14587441,0.01859931,0.002764074
OG0007245,8.629682267,420.4376804,76.23994895,0.018815746,0.003004713
OG0006794,7.153095916,505.7617195,109.6040381,0.018890267,0.00307358
OG0008485,6.139967432,95.19819598,10.94070637,0.01905033,0.003217815
OG0000423,9.486372036,128.6462552,61.27274433,0.019165575,0.003229546
OG0003978,8.911117016,30.75256968,11.17471822,0.019175361,0.003246134
OG0000062,12.02522679,68.33031175,11.42747839,0.019127161,0.003273226
OG0001969,6.758914117,14.84133117,6.328296656,0.019254574,0.003421574
OG0005346,6.929559356,520.4741433,67.12806772,0.019375227,0.003457309
OG0007141,6.066033367,302.3176114,53.93858893,0.019402883,0.003531207
OG0001794,7.600561797,271.9076748,51.80318229,0.019482569,0.003612351
OG0004611,10.30033692,62.23598592,8.901694025,0.01970769,0.003736155
OG0009686,6.518161154,79.40984637,20.70450452,0.01966397,0.003790305
OG0003361,7.701416471,42.86109973,21.45506063,0.019753554,0.003815725
OG0010465,8.695568231,152.0111675,63.17309079,0.019773497,0.003816183
OG0003989,7.582742588,340.5917291,53.4866978,0.019979717,0.004114133
OG0004352,7.987493088,326.1373061,55.45290015,0.020061379,0.004181204
OG0004130,15.79482118,67.42268724,10.77357469,0.020170847,0.004207925
OG0001213,11.07291653,64.90399055,11.20775578,0.020123075,0.004262382
OG0010917,7.832895457,153.8104274,71.60996263,0.020179936,0.004263673
OG0003304,5.233711538,13.72754317,3.488759641,0.019539279,0.004318661
OG0000015,9.834015482,36.52344492,6.090370233,0.020376316,0.004635221
OG0002538,6.561718914,73.30805851,7.041037066,0.020478157,0.004668727
OG0010275,7.55211615,463.601886,70.2736259,0.020559527,0.004749163
OG0002618,8.995762035,273.6001389,68.29450895,0.020739099,0.00486687
OG0007130,8.852389044,152.6786901,63.25227224,0.020801905,0.004897084
OG0002566,6.561947879,363.8076633,81.14065617,0.020703309,0.004912451
OG0000748,6.57975309,628.6088735,70.19376948,0.020765416,0.004927084
OG0005602,9.076608114,22.05467929,10.93325778,0.020816198,0.004939856
OG0003047,9.863607714,8.037624062,5.463644696,0.020972721,0.005279676
OG0009739,9.778207946,72.50818821,76.38860047,0.0212814,0.005493017
OG0007825,8.667284202,69.2590599,11.57222764,0.021450135,0.00574551
OG0001639,6.788325023,60.91440618,12.6700956,0.021450874,0.005884031
OG0009619,10.26575061,69.42186296,51.86933464,0.021557415,0.006016671
OG0004233,6.296880934,267.9413523,64.77608176,0.021559675,0.00601732
OG0005585,8.648575398,24.03871128,9.658677827,0.021733407,0.006099211
OG0007785,5.91970244,601.210296,72.10066906,0.021754879,0.00611886
OG0001819,8.459956594,290.5794557,108.3460066,0.021716582,0.006228145
OG0003974,8.261996835,230.2240738,54.93133791,0.021714425,0.006258266
OG0007142,8.217059465,284.9034676,50.9836728,0.021794356,0.00634851
OG0006546,6.292369532,274.085976,71.12148508,0.021941645,0.006575552
OG0000054,7.391178742,40.6745353,9.420881298,0.022107685,0.006778822
OG0002646,8.987686474,29.08805932,11.24934219,0.02214259,0.00680066
OG0003889,8.303203513,217.3153737,67.99773478,0.022242537,0.00687106
OG0003184,6.586968312,200.1216147,62.33495512,0.022350413,0.007185944
OG0010545,8.804600202,19.12863697,10.76173316,0.022462699,0.007221622
OG0005522,8.798970376,239.63203,84.59338758,0.022503965,0.007284507
OG0009608,7.395182223,27.75080973,11.6907387,0.022569759,0.00737221
OG0003314,9.995823882,16.83498314,18.14592379,0.022620261,0.007616646
OG0006582,7.031950938,349.6971876,77.45545841,0.022785687,0.00787558
OG0010738,8.242010751,159.5976659,80.07885088,0.022912466,0.00794646
OG0010235,7.694708557,165.2973438,60.37347209,0.022958295,0.007995171
OG0008931,8.731757857,12.17295125,3.769890167,0.022401871,0.008086758
OG0010560,6.370333417,36.47452461,9.181641206,0.023079194,0.008274629
OG0005611,8.468619048,20.93785995,9.892133646,0.023341503,0.008631103
OG0009095,5.963384375,101.531397,62.44082111,0.023238082,0.008673491
OG0010403,9.072731006,5.486132375,9.721649674,0.023459499,0.009041315
OG0010364,8.27692186,35.15285509,11.74132824,0.023581243,0.009091639
OG0001806,8.606543347,9.645476182,10.43197904,0.023800377,0.009515333
OG0001037,12.02967674,56.16863054,11.1248083,0.023823397,0.009529935
OG0002296,8.151452203,41.01257063,9.985969772,0.023739583,0.009562617
OG0002663,7.534194591,254.1971776,55.97706231,0.023819365,0.009699599
OG0004019,8.357505329,347.1523753,61.89638648,0.02383681,0.009732229
OG0000077,9.231481165,45.3010613,10.64861336,0.023958033,0.009957777
OG0002219,5.10580063,412.0560379,77.50077619,0.02399843,0.010060803
OG0011007,10.33275635,159.3833924,71.84983012,0.024087183,0.01016915
OG0011022,8.780763726,49.09718907,7.83365793,0.024376677,0.010814042
OG0010119,8.023256145,179.2312979,72.75925798,0.024530629,0.010894706
OG0001970,11.99678556,455.7618577,77.76459489,0.024519623,0.011140701
OG0001128,7.540557688,45.63846191,13.78777401,0.024540501,0.011164023
OG0005594,9.094448755,44.9440417,15.03852412,0.024654012,0.011177336
OG0010808,10.78731782,118.028657,75.59385111,0.024559129,0.011185659
OG0005070,7.12659719,49.88927943,10.01021979,0.024667975,0.011398237
OG0009815,8.986299252,20.31688895,8.670550548,0.024811125,0.011736016
OG0008201,7.641404077,64.93481842,13.42557828,0.025011518,0.012112787
OG0007284,7.999268616,37.71608167,12.89754171,0.025160009,0.012512541
OG0008906,9.720752221,152.7537825,74.68361941,0.025263981,0.012798182
OG0002091,8.099998939,211.8699689,55.58087305,0.0253737,0.01294938
OG0002977,8.884477723,163.391181,70.6896325,0.025457473,0.012963975
OG0005003,8.706177823,23.58733097,11.87888802,0.025508496,0.013086987
OG0003548,7.61784475,50.27273298,9.610047766,0.025402491,0.013093548
OG0010954,7.905739722,339.30644,61.16408558,0.025480233,0.013227265
OG0006001,6.934372328,75.61111483,9.893425619,0.025524306,0.013435078
OG0002968,7.877311588,162.8312666,58.57908144,0.025652117,0.013629921
