,OG,theta,sigma2,alpha,beta,results,log_10_pvalue,Color,log_beta,Inverted_log_beta,Single_copy,Rapid_Ogs,Immunity,Ortho_size_class,Beta_theta
412,OG0000527,13.13886068,1.594688274,10.6068127,0.739853052,0.106413999,0.973001236,Blue,-0.13085453,0.13085453,FALSE,TRUE,TRUE,Immune,-12.39900763
548,OG0000046,10.36699742,32.07952071,62.68393121,0.521492476,0.178558168,0.748220279,Blue,-0.282751953,0.282751953,FALSE,TRUE,TRUE,Immune,-9.845504944
655,OG0000390,12.2622003,3.605560279,10.59924526,0.425588683,0.198226704,0.70283784,Blue,-0.371009929,0.371009929,FALSE,TRUE,TRUE,Immune,-11.83661162
688,OG0000388,8.559172457,196.5455027,334.4286262,0.397490403,0.188779565,0.724045019,Blue,-0.400673352,0.400673352,FALSE,TRUE,TRUE,Immune,-8.161682054
754,OG0000125,7.056581855,67.77167465,67.17206439,0.358306296,0.232510145,0.633558093,Blue,-0.445745561,0.445745561,FALSE,TRUE,TRUE,Immune,-6.698275559
880,OG0000736,8.618137697,28.80395394,57.07744776,0.284096688,0.340578482,0.467782795,Blue,-0.546533829,0.546533829,FALSE,TRUE,TRUE,Immune,-8.334041009
923,OG0000253,7.801198901,140.2004742,71.55032664,0.264213817,0.388318966,0.410811397,Blue,-0.578044475,0.578044475,FALSE,TRUE,TRUE,Immune,-7.536985084
967,OG0000752,13.38209336,8.640955875,48.07499173,0.246928177,0.438843741,0.357690091,Blue,-0.60742935,0.60742935,FALSE,TRUE,TRUE,Immune,-13.13516518
973,OG0000053,12.56896971,2.496467637,8.583897065,0.244622971,0.440798945,0.355759454,Blue,-0.611502764,0.611502764,FALSE,TRUE,TRUE,Immune,-12.32434674
1073,OG0000123,9.921845895,321.0278952,132.5708053,0.205243841,0.574765779,0.240509097,Blue,-0.687729866,0.687729866,FALSE,TRUE,TRUE,Immune,-9.716602054
1076,OG0000174,7.862930337,111.5787429,69.50770628,0.203511612,0.577192178,0.238679563,Blue,-0.691410806,0.691410806,FALSE,TRUE,TRUE,Immune,-7.659418725
1089,OG0000041,7.194649552,16.17490163,11.16202427,0.198923168,0.596251686,0.22457038,Blue,-0.701314633,0.701314633,FALSE,TRUE,TRUE,Immune,-6.995726384
1142,OG0000070,15.38340891,13.34487782,67.64129054,0.179797983,0.686237533,0.163525532,Blue,-0.745215185,0.745215185,FALSE,TRUE,TRUE,Immune,-15.20361093
1234,OG0000151,8.797063452,164.4332275,118.7003967,0.157839296,0.813884074,0.08943745,Blue,-0.801784865,0.801784865,FALSE,TRUE,TRUE,Immune,-8.639224156
1262,OG0000012,9.431217347,14.7533152,5.206163603,0.152064584,0.852435776,0.069338332,Blue,-0.817971922,0.817971922,FALSE,TRUE,TRUE,Immune,-9.279152763
1291,OG0000087,9.860431316,33.2283109,66.83351285,0.14547729,0.895402206,0.04798184,Blue,-0.837204798,0.837204798,FALSE,TRUE,TRUE,Immune,-9.714954026
1330,OG0000794,10.26839373,3.636753018,4.683675001,0.136210368,0.96553677,0.015231183,Blue,-0.865789834,0.865789834,FALSE,TRUE,TRUE,Immune,-10.13218336
1395,OG0000311,10.31405445,3.409968391,4.594049812,0.118607337,0.889169521,0.051015432,Blue,-0.925888445,0.925888445,FALSE,TRUE,TRUE,Immune,-10.19544711
1440,OG0000155,6.332713694,160.1363272,66.10771404,0.109550214,0.80151098,0.096090524,Blue,-0.96038677,0.96038677,FALSE,TRUE,TRUE,Immune,-6.22316348
1473,OG0000512,7.548988009,80.99968412,42.31096725,0.103091686,0.737116704,0.132463747,Blue,-0.986776358,0.986776358,FALSE,TRUE,TRUE,Immune,-7.445896323
1480,OG0000510,15.10338544,6.596035509,16.22902473,0.102637946,0.732727999,0.135057213,Blue,-0.988692048,0.988692048,FALSE,TRUE,TRUE,Immune,-15.00074749
1510,OG0000014,7.345960555,38.48834745,22.47879485,0.096263158,0.666774445,0.176021053,Blue,-1.016539895,1.016539895,FALSE,TRUE,TRUE,Immune,-7.249697397
1567,OG0001112,5.736128952,29.02790007,5.932328998,0.084103575,0.535742576,0.271043838,Blue,-1.075185543,1.075185543,FALSE,TRUE,TRUE,Immune,-5.652025377
1605,OG0000262,8.94420719,46.83245484,11.74249669,0.075655437,0.434654964,0.361855356,Blue,-1.121159856,1.121159856,FALSE,TRUE,TRUE,Immune,-8.868551753
1630,OG0000204,7.071802762,416.3547502,63.56506741,0.072479736,0.399804595,0.398152219,Blue,-1.139783397,1.139783397,FALSE,TRUE,TRUE,Immune,-6.999323026
1794,OG0000672,8.311830953,47.58562501,15.29977026,0.041252686,0.08770301,1.056985501,Blue,-1.384547769,1.384547769,FALSE,TRUE,TRUE,Immune,-8.270578267
1797,OG0000020,6.675862199,861.6290222,130.892625,0.040496277,0.08340386,1.078813849,Blue,-1.392584902,1.392584902,FALSE,TRUE,TRUE,Immune,-6.635365922
1831,OG0000581,8.665044442,24.48290061,10.81686526,0.033936382,0.043981118,1.356733735,Blue,-1.46933446,1.46933446,FALSE,TRUE,TRUE,Immune,-8.63110806
1888,OG0000083,8.480538204,355.249476,64.09324626,0.022288249,0.007645119,2.11661575,Blue,-1.651924049,1.651924049,FALSE,TRUE,TRUE,Immune,-8.458249955
1900,OG0000062,11.9994606,66.97778816,11.09174383,0.01912947,0.00354888,2.449908685,Blue,-1.718297062,1.718297062,FALSE,TRUE,TRUE,Immune,-11.98033113
1918,OG0000129,10.32740537,618.9616231,65.98091044,0.012198954,0.000296673,3.527721977,Blue,-1.913677406,1.913677406,FALSE,TRUE,TRUE,Immune,-10.31520642
1920,OG0000095,10.35990165,34.42147365,4.658510226,0.011458808,0.000216816,3.663908672,Blue,-1.940860557,1.940860557,FALSE,TRUE,TRUE,Immune,-10.34844284
1921,OG0000740,9.108638823,543.1144261,68.49868172,0.010847513,0.000150083,3.823668498,Blue,-1.964669821,1.964669821,FALSE,TRUE,TRUE,Immune,-9.09779131
1930,OG0000589,12.42985183,151.8103505,54.22612728,0.007170292,1.09E-05,4.962573502,Blue,-2.144463158,2.144463158,FALSE,TRUE,TRUE,Immune,-12.42268154
1934,OG0000118,11.38321814,100.8937296,61.739024,0.005701482,2.21E-06,5.655607726,Blue,-2.244012242,2.244012242,FALSE,TRUE,TRUE,Immune,-11.37751666
1,OG0010795,8.796925144,1.99955846,994.2016131,54.86522087,0.023925972,1.62113041,Grey,1.739297132,-1.739297132,TRUE,FALSE,FALSE,Single,46.06829573
2,OG0009850,6.490441418,0.015149843,7.766672028,53.55403656,0.035575611,1.448847632,Grey,1.728792211,-1.728792211,TRUE,FALSE,FALSE,Single,47.06359514
3,OG0008284,4.441860561,0.074837943,6.205328327,50.70599381,0.035206504,1.453377098,Grey,1.705059299,-1.705059299,TRUE,FALSE,FALSE,Single,46.26413325
4,OG0010007,7.916565828,0.052841728,9.363183739,41.82970216,0.032012566,1.494679513,Grey,1.621484772,-1.621484772,TRUE,FALSE,FALSE,Single,33.91313633
5,OG0009272,5.591465143,35.35014249,999,39.41795474,0.024503265,1.610776043,Grey,1.595694087,-1.595694087,TRUE,FALSE,FALSE,Single,33.8264896
6,OG0009344,6.079636551,25.34908031,999,36.30223877,0.024542676,1.610078086,Grey,1.559933409,-1.559933409,TRUE,FALSE,FALSE,Single,30.22260222
7,OG0009386,7.79434428,8.402146211,999,30.57770997,0.031477958,1.501993448,Grey,1.485404957,-1.485404957,TRUE,FALSE,FALSE,Single,22.78336569
8,OG0009757,8.49580104,1.87141998,999,20.46642521,0.026580585,1.575435465,Grey,1.311041993,-1.311041993,TRUE,FALSE,FALSE,Single,11.97062417
9,OG0010205,9.21567894,43.09592598,995.1978312,19.67810875,0.026258721,1.580726431,Grey,1.293983356,-1.293983356,TRUE,FALSE,FALSE,Single,10.46242981
10,OG0008986,4.868122079,0.280400715,7.505515116,19.41297279,0.035781592,1.446340341,Grey,1.288092046,-1.288092046,TRUE,FALSE,FALSE,Single,14.54485071
11,OG0008503,5.821227301,84.4525414,998.5025526,18.57498727,0.023510873,1.628731244,Grey,1.268928525,-1.268928525,TRUE,FALSE,FALSE,Single,12.75375997
12,OG0009514,4.680346348,25.57500085,990.4618104,16.4836755,0.029651466,1.52795383,Grey,1.217054056,-1.217054056,TRUE,FALSE,FALSE,Single,11.80332915
13,OG0008110,5.461443358,0.637518448,7.027334711,14.98980213,0.039109817,1.407714216,Grey,1.1757959,-1.1757959,TRUE,FALSE,FALSE,Single,9.528358772
14,OG0009707,8.179190328,124.3282909,999,14.69762579,0.022514634,1.647535109,Grey,1.167247186,-1.167247186,TRUE,FALSE,FALSE,Single,6.518435462
15,OG0009201,6.680095933,7.483676379,999,13.85786694,0.02686851,1.570756417,Grey,1.141696387,-1.141696387,TRUE,FALSE,FALSE,Single,7.177771007
16,OG0009596,7.034720685,105.1846784,999,13.40799419,0.023534536,1.62829436,Grey,1.127363813,-1.127363813,TRUE,FALSE,FALSE,Single,6.373273505
17,OG0010622,7.745325418,98.78022801,999,13.40312301,0.024473438,1.611305017,Grey,1.127206003,-1.127206003,TRUE,FALSE,FALSE,Single,5.657797592
18,OG0010788,7.182164444,73.45376445,970.6573323,13.37647391,0.022182042,1.653998477,Grey,1.126341647,-1.126341647,TRUE,FALSE,FALSE,Single,6.194309466
19,OG0000351,4.616500545,0.440193348,6.10045655,12.93247682,0.042178417,1.374909724,Blue,1.111681709,-1.111681709,FALSE,TRUE,FALSE,Rapid,8.315976275
20,OG0009525,7.718614232,19.67778498,995.3901791,11.45573233,0.026055736,1.584096655,Grey,1.059022858,-1.059022858,TRUE,FALSE,FALSE,Single,3.737118098
21,OG0010593,7.358628,0.107763521,9.844344044,11.34600723,0.034245248,1.465399684,Grey,1.054843056,-1.054843056,TRUE,FALSE,FALSE,Single,3.98737923
22,OG0009298,7.889139819,7.485809217,999,10.65424788,0.02521955,1.598262667,Grey,1.027522797,-1.027522797,TRUE,FALSE,FALSE,Single,2.765108061
23,OG0008493,7.342606621,110.6329911,999,10.26466163,0.021523373,1.667089668,Grey,1.011344638,-1.011344638,TRUE,FALSE,FALSE,Single,2.922055009
24,OG0010780,8.580914732,69.08293593,474.8520192,9.954913596,0.025420681,1.594812819,Grey,0.998037495,-0.998037495,TRUE,FALSE,FALSE,Single,1.373998864
25,OG0009614,7.306440194,0.48128542,48.98108756,9.641033186,0.035197499,1.453488195,Grey,0.984123578,-0.984123578,TRUE,FALSE,FALSE,Single,2.334592992
26,OG0009296,6.762856883,1.947666236,49.1372737,9.346205009,0.029016379,1.537356785,Grey,0.970635303,-0.970635303,TRUE,FALSE,FALSE,Single,2.583348126
27,OG0010447,6.776849229,1.973498652,79.52770904,9.276912095,0.03049418,1.51578304,Grey,0.967403441,-0.967403441,TRUE,FALSE,FALSE,Single,2.500062866
28,OG0008877,5.525852708,5.743953529,40.65398766,8.933186509,0.036671335,1.435673279,Grey,0.951006401,-0.951006401,TRUE,FALSE,FALSE,Single,3.407333801
29,OG0010014,7.173484447,0.204157582,6.051897575,8.873015735,0.052825133,1.277159401,Grey,0.948071252,-0.948071252,TRUE,FALSE,FALSE,Single,1.699531288
30,OG0009512,6.108598633,1.169593309,73.08244512,7.886136367,0.034959897,1.456429856,Grey,0.896864283,-0.896864283,TRUE,FALSE,FALSE,Single,1.777537734
31,OG0009934,10.13330711,0.973721287,8.943714928,7.671038976,0.03840472,1.415615397,Grey,0.884854189,-0.884854189,TRUE,FALSE,FALSE,Single,-2.462268134
32,OG0010905,7.96032321,6.780815172,213.923152,7.608724188,0.026505752,1.57665987,Grey,0.881311841,-0.881311841,TRUE,FALSE,FALSE,Single,-0.351599022
33,OG0009517,7.039692813,3.134771453,181.2089057,7.092769998,0.027342156,1.563167243,Grey,0.850815877,-0.850815877,TRUE,FALSE,FALSE,Single,0.053077185
34,OG0008450,5.168815447,7.891495961,126.3237378,6.809190313,0.028901177,1.53908447,Grey,0.833095473,-0.833095473,TRUE,FALSE,FALSE,Single,1.640374866
35,OG0010690,7.211064308,237.9078186,999,6.776371357,0.017631129,1.753719877,Grey,0.830997198,-0.830997198,TRUE,FALSE,FALSE,Single,-0.434692951
