OG,Change
OG0000000,+23*]
OG0000001,+17*]
OG0000003,+8*]
OG0000006,+24*]
OG0000010,+9*]
OG0000012,+18*]
OG0000014,+11*]
OG0000017,+6*]
OG0000018,+16*]
OG0000019,+7*]
OG0000021,+6*]
OG0000024,+7*]
OG0000027,+6*]
OG0000029,+16*]
OG0000030,+12*]
OG0000032,+14*]
OG0000035,+13*]
OG0000039,+16*]
OG0000045,+6*]
OG0000051,+6*]
OG0000052,+5*]
OG0000054,+6*]
OG0000062,+8*]
OG0000067,+9*]
OG0000070,+8*]
OG0000072,+7*]
OG0000076,+16*]
OG0000077,+4*]
OG0000083,+5*]
OG0000086,+4*]
OG0000089,+4*]
OG0000094,+7*]
OG0000099,+5*]
OG0000100,+5*]
OG0000115,+9*]
OG0000117,+6*]
OG0000134,+13*]
OG0000137,+5*]
OG0000164,+4*]
OG0000175,+9*]
OG0000179,+5*]
OG0000183,+5*]
OG0000189,+8*]
OG0000191,+7*]
OG0000196,+7*]
OG0000201,+6*]
OG0000205,+9*]
OG0000216,+6*]
OG0000232,+4*]
OG0000246,+8*]
OG0000248,+4*]
OG0000250,+4*]
OG0000259,+4*]
OG0000263,+4*]
OG0000266,+5*]
OG0000267,+7*]
OG0000280,+8*]
OG0000308,+5*]
OG0000309,+3*]
OG0000362,+4*]
OG0000369,+6*]
OG0000376,+4*]
OG0000400,+9*]
OG0000420,+5*]
OG0000434,+4*]
OG0000448,+4*]
OG0000465,+4*]
OG0000488,+5*]
OG0000500,+5*]
OG0000503,+4*]
OG0000510,+3*]
OG0000511,+5*]
OG0000542,+4*]
OG0000557,+4*]
OG0000558,+5*]
OG0000563,+4*]
OG0000566,+5*]
OG0000582,+5*]
OG0000610,+4*]
OG0000637,+7*]
OG0000640,+5*]
OG0000703,+3*]
OG0000714,+5*]
OG0000756,+4*]
OG0000757,+3*]
OG0000823,+3*]
OG0000845,+4*]
OG0000850,+6*]
OG0000901,+5*]
OG0000912,+4*]
OG0000943,+5*]
OG0000972,+3*]
OG0001030,+4*]
OG0001040,+4*]
OG0001065,+4*]
OG0001107,+4*]
OG0001138,+3*]
OG0001174,+3*]
OG0001308,+3*]
OG0001343,+5*]
OG0001388,+4*]
OG0001530,+4*]
OG0001629,+4*]
OG0001641,+4*]
