UniqueCount	AmbigCount
1094	0
512	0
1413	0
125	0
164	0
24	1
85	2
0	0
346	0
612	1
18	1
20	0
172	0
2	0
1012	0
21	0
81	5
428	1
93	0
365	1
132	1
2	1
8	3
9	0
3	2
20	0
159	169
4	7
653	0
24	0
180	0
1133	0
60	0
192	1
3	0
1044	0
86	0
59	0
77	0
91	0
238	1
83	0
200	0
67	0
78	0
17	0
46	0
201	0
11	4
4	4
432	1
77	0
44	0
0	7
1	0
24	0
60	0
306	1
39	0
15	0
97	0
48	0
85	0
29	0
68	0
207	1
224	0
283	0
37	0
105	0
138	0
317	1
509	0
45	0
61	0
51	0
105	0
84	0
78	35
61	55
66	0
402	1
90	0
138	0
44	0
5	32
97	1
44	386
25	0
52	0
0	5
1	5
49	0
852	0
160	1
33	0
65	0
905	0
175	0
96	1
16	0
40	0
116	0
3	2
63	0
527	19
978	2
63	0
76	0
1	0
125	0
106	0
1360	0
51	0
135	0
0	1
52	0
27	0
78	1
67	0
10	0
209	136
65	1
43	0
76	10
54	1
85	0
965	1
18	0
169	0
23	0
40	0
104	0
872	2
0	0
22	0
36	0
593	1
14	0
76	0
62	0
53	0
65	0
31	0
173	0
187	0
68	0
64	0
63	0
36	0
191	0
108	0
87	0
649	3
0	0
54	0
164	0
152	546
92	546
53	0
27	0
0	0
121	0
53	0
35	0
82	0
64	0
89	0
152	1
16	115
112	1
2521	2
97	0
63	0
33	0
629	0
44	0
120	0
68	0
27	0
288	0
753	1
97	0
252	0
79	0
66	0
20	0
262	0
59	0
102	0
763	1
66	2
0	0
26	0
180	0
2	0
76	0
7	0
23	0
54	0
15	0
45	32
249	0
23	0
22	0
9	24
0	21
168	0
9	0
33	0
4	0
738	0
45	0
31	0
455	0
160	0
1235	0
179	0
61	0
17	0
9	0
31	0
116	0
2	0
72	1
6	5
19	0
3689	6
116	0
41	0
0	0
163	0
221	0
0	0
26	1
0	0
76	19
101	0
111	12
85	65
90	0
42	0
21	0
20	0
7	21
9	21
41	0
47	0
582	0
18	0
51	0
0	5
64	0
91	0
2077	1
101	0
73	0
17	0
78	0
353	0
101	0
0	0
72	0
111	1
34	0
1	12
1	0
2	0
78	3
1139	4
601	0
0	0
37	0
17	0
231	2
111	1
30	0
30	0
0	0
43	0
72	0
156	0
141	0
116	0
103	0
48	36
149	0
145	0
302	161
29	537
132	537
345	0
65	0
58	0
374	0
144	0
128	0
59	0
75	0
68	0
23	0
17	0
7	0
86	0
3447	7
90	0
29	0
55	0
41	0
164	0
4	1
34	0
231	0
125	0
56	0
246	0
4	0
4	0
27	0
46	0
103	0
68	0
83	0
28	0
56	0
170	0
75	0
51	0
145	126
203	126
159	0
56	0
5	0
151	0
60	0
79	1
34	0
0	0
43	0
76	0
0	0
15	0
255	0
33	0
39	0
138	1
25	0
81	0
63	0
14	0
247	1
48	0
151	0
66	1
16	2
11	0
128	0
5	0
8	0
117	0
39	0
66	0
373	0
2708	4
17	0
91	0
85	0
31702	29
70	0
4	0
8	0
24	18
84	0
117	0
368	0
71	0
44	0
63	0
185	0
8	0
51	0
12	72
42	0
2	4
406	1
315	0
5	84
38	84
34	0
23	0
1	0
79	0
17	0
107	0
171	0
44	0
210	1
918	0
96	4
81	0
56	0
55	0
56	0
19	0
45	0
4	0
0	0
68	0
3	1
144	14
78	14
133	0
859	0
51	0
5370	4
4	0
21	0
17	0
74	0
91	0
51	0
589	0
84	2
0	0
517	1
1	0
96	1
24	0
53	0
164	0
43	0
6	0
34	0
105	0
138	0
17	0
156	0
376	1080
26	0
11	0
54	0
37	610
0	0
12	0
5	2
0	2
47	0
0	0
860	0
45	0
65	0
53	0
59	0
36	0
5	0
78	0
386	0
9	1
25	0
92	1
119	1
33	0
74	1
88	0
49	0
36	0
45	0
1839	38
73	0
54	0
23	0
51	0
43	0
55	0
248	1
41	0
8	0
48	0
4	0
1	0
0	3
1	1
528	1
1	0
92	0
143	0
45	0
59	0
2	0
5	0
4	0
186	0
344	3
108	0
24	0
95	1
127	1
0	2
1	1
7	16
21	16
64	0
20	5
1390	2
64	0
546	1
3	0
8	0
2232	1
105	0
0	19
0	19
30	0
101	0
26	0
65	1
648	0
733	0
40	0
0	0
55	0
660	0
47	0
20	0
9	0
487	57
7	61
0	0
20	0
43	0
23	0
58	0
32	0
3	34
816	0
53	0
52	0
116	0
106	1
46	0
7	0
196	0
73	0
0	0
447	0
5	5
63	0
34	0
481	1
490	0
31	0
12	0
94	0
369	0
22	0
119	0
175	0
29	0
54	108
61	0
49	0
64	0
70	0
16	0
19	78
51	0
98	1
45	1
26	0
0	0
46	0
0	0
45	0
194	0
125	0
16	31
1	0
3	0
3	2
1	2
32	0
146	0
50	0
2	8
448	0
46	0
0	0
73	0
325	0
507	2
39	0
9	0
121	0
29	0
2	0
0	0
172	0
369	2
19	4
0	0
315	0
47	0
85	0
35	0
990	1
46	0
655	25
1921	458
2080	7
13	0
34	0
63	0
346	0
0	0
14	0
32	0
686	5
0	33
86	0
7	3
240	2
73	0
107	0
2	15
63	0
46	0
3	0
0	0
461	1
212	1
22	0
99	0
13	12
66	0
13	0
5	6
144	1
8	0
436	0
15	0
5	0
65	0
13	0
117	0
1	160
12	0
52	0
63	0
122	0
29	0
1	0
142	0
4	0
10	0
35	0
138	0
34	0
237	0
169	0
8	0
102	2
49	0
53	0
40	0
21	0
411	0
43	0
14	0
59	0
1907	1
66	1
825	2
225	0
13	0
64	0
70	0
60	0
5	0
132	0
8	0
70	0
10	0
44	0
3	2
118	0
45	0
18	0
54	1
368	5
306	1
21	0
10	0
28	0
24	0
8	0
2	0
26	0
296	1
97	0
1	0
0	0
3	2
155	0
31	0
876	0
167	3
1	0
31	0
424	1
0	2
0	6
90	0
9	0
12	0
92	0
1593	0
8411	13
9	0
614	1
0	0
14	0
76	52
6	12
7	3
0	3
0	85
0	85
246	2
56	0
747	1
82	0
71	0
22	0
3	3
4	3
4	26
15	0
1848	1
6	0
148	22
1	48
8	0
1	0
776	1
275	226
52	0
97	1
0	0
98	0
1	0
105	0
68	0
270	1
340	0
12	2
0	0
56	0
5446	6
221	0
434	0
120	0
13	0
28	0
377	2
109	0
0	0
67	0
422	1
30	0
169	1
40	0
4	0
46	0
129	0
780	8
1	1
84	0
94	1
24	0
13	0
8	0
5	0
1000	5
33	0
0	0
1181	0
385	0
24	0
28	0
135	0
57	0
2	0
3	0
1	2
2	0
52	1
13	0
625	1
29	0
182	0
732	0
4	0
40	0
6	4
6	5
0	0
24	0
90	0
66	0
184	0
25	13
5	13
2	1
52	0
