OG,Mcav_1,Mcav_2,Mcav_3,Mcav_4,Mcav_5,Cnat_1,Cnat_2,Cnat_3,Cnat_4,Cnat_5,Ofav_1,Ofav_2,Ofav_3,Ofav_4,Past_1,Past_2,Past_3,Past_4,Ssid_1,Ssid_2,Ssid_3,Ssid_4
OG0000002,10.17066556,9.542218149,10.07553773,9.470921888,9.80506707,9.319042657,9.933292791,9.118777514,9.381917821,10.88398415,6.166011506,6.389493063,6.228606778,5.905212231,8.588260587,7.7197296,8.14658932,8.165801483,8.237488256,8.299009321,8.459973239,8.39745548
OG0000004,10.50362391,10.56361364,10.6751941,10.71085226,10.43456644,8.859994359,9.91675918,8.971626027,8.588116402,9.482501157,10.264904,10.50453822,10.35670254,10.11282378,10.54437404,9.919439385,10.00263353,9.729450033,9.511631358,8.993278412,9.290494025,9.40935682
OG0000007,10.97444907,9.781049284,10.36393857,10.53641787,9.667316529,9.83208215,9.647210792,9.609713898,9.416436648,10.26594733,9.43379036,9.794219159,9.790932225,9.358622346,10.81683192,11.26325256,10.21164533,8.966219871,11.10328032,11.45517655,11.02076729,11.06805489
OG0000008,9.081796411,8.839641383,8.819896399,9.549789921,9.408261979,11.26692484,10.69290107,10.58186264,10.5852785,11.50870222,6.918028691,6.71789645,6.788021051,6.692939079,10.13836269,9.096907954,9.40593951,9.534069028,11.22110004,11.11352921,11.19233148,11.02688545
OG0000012,10.41173434,9.983685092,10.76588075,9.914281285,10.70212619,10.21891643,9.915660302,9.602802428,11.04581681,10.43951607,10.57684144,10.41526316,10.28081553,10.75054517,9.183573328,8.597651741,8.787050856,8.514134607,8.248880034,7.138404799,6.726336017,7.027976317
OG0000014,7.645987942,7.750597373,7.746943751,7.913352797,7.70547465,6.79798028,7.06158826,6.914812202,7.190191479,7.908547839,7.609038311,7.562172955,7.751988249,7.72924735,8.493185881,8.166689865,8.72612436,8.239076909,5.365710437,5.963317322,5.998008169,5.392073269
OG0000015,9.086803408,9.494299473,9.129564349,9.244472141,9.067118704,8.914819129,8.204455969,8.985071681,9.069327121,8.453921435,7.341197679,7.592291664,7.68494997,7.832159891,12.88800317,12.90704097,12.54806484,12.50943243,10.49539645,10.50103892,10.36093809,10.76010623
OG0000018,12.48320524,12.34191112,12.39499038,13.31246048,12.92958632,8.015103028,8.594296487,9.154893471,8.094732437,8.613249273,12.89889503,12.20652059,11.76747608,12.14651645,13.52187786,12.91957152,13.035531,13.15652218,11.79992883,10.70031305,11.08151904,11.6193122
OG0000019,10.81428655,10.4361275,10.42157766,10.84565296,10.38388874,9.679431808,10.50541561,10.03967572,10.26432618,10.64951398,9.868963106,9.899540141,9.83506029,9.933379752,10.86066155,10.55358316,10.72019933,11.08269804,12.60916603,12.63850893,12.57285678,12.74030241
OG0000020,9.148617927,9.058952002,9.004272438,9.281547327,9.321396567,7.6015956,7.775202787,7.586102293,7.777412474,8.352539841,4.406655164,4.554947543,4.936157377,4.531506403,5.206277395,5.298026794,4.134834627,3.887062244,6.541430409,6.846347535,7.517739097,7.350199624
OG0000024,11.15880002,9.827638576,8.408944139,9.919798846,8.684980135,9.798406378,10.01576122,9.837465304,9.758351859,10.50456362,8.291657392,8.324484187,7.504698656,8.123435121,9.102320543,8.926355695,9.181090808,9.183102634,8.079051696,8.414527612,8.020687961,8.789836301
OG0000026,11.95559045,12.01328992,12.12934221,11.91873159,12.14604267,11.73155199,11.59990052,11.50258061,11.71899628,12.27645518,12.56857541,12.39308557,12.27146154,12.63498121,12.68454226,12.98712089,13.05422349,12.56612169,12.51175291,12.47311538,12.41372609,12.15400821
OG0000027,9.586373218,9.177965381,9.249045298,9.610589306,9.480558709,7.557803582,8.280479529,7.1427768,7.19331383,9.060783448,9.620882572,9.953620297,10.29732121,9.49280305,5.051298583,4.747504333,4.991372705,4.624147683,6.658374285,6.861501185,6.855388243,7.187958501
OG0000038,8.649921703,8.768165137,8.423980032,9.094592772,8.610701379,4.904391724,4.60669005,4.627673812,4.656921915,4.531408988,9.74061876,10.03502853,9.487249366,9.860605604,9.025730984,8.558978659,9.283237566,9.476010528,6.225321527,6.044450631,6.317927718,5.996088148
