OG,Change
OG0000006,-10*
OG0000018,-10*
OG0000019,-11*
OG0000032,-11*
OG0000003,-14*
OG0000001,-15*
OG0000137,-3*
OG0000143,-3*
OG0000144,-3*
OG0000149,-3*
OG0000158,-3*
OG0000164,-3*
OG0000169,-3*
OG0000179,-3*
OG0000195,-3*
OG0000196,-3*
OG0000213,-3*
OG0000231,-3*
OG0000259,-3*
OG0000263,-3*
OG0000267,-3*
OG0000279,-3*
OG0000309,-3*
OG0000322,-3*
OG0000340,-3*
OG0000348,-3*
OG0000359,-3*
OG0000362,-3*
OG0000369,-3*
OG0000376,-3*
OG0000378,-3*
OG0000396,-3*
OG0000420,-3*
OG0000451,-3*
OG0000465,-3*
OG0000481,-3*
OG0000493,-3*
OG0000498,-3*
OG0000557,-3*
OG0000560,-3*
OG0000576,-3*
OG0000634,-3*
OG0000004,-4*
OG0000036,-4*
OG0000039,-4*
OG0000041,-4*
OG0000045,-4*
OG0000064,-4*
OG0000076,-4*
OG0000077,-4*
OG0000080,-4*
OG0000083,-4*
OG0000097,-4*
OG0000125,-4*
OG0000152,-4*
OG0000160,-4*
OG0000175,-4*
OG0000189,-4*
OG0000200,-4*
OG0000214,-4*
OG0000232,-4*
OG0000234,-4*
OG0000250,-4*
OG0000285,-4*
OG0000308,-4*
OG0000353,-4*
OG0000026,-5*
OG0000029,-5*
OG0000044,-5*
OG0000051,-5*
OG0000067,-5*
OG0000087,-5*
OG0000088,-5*
OG0000089,-5*
OG0000094,-5*
OG0000099,-5*
OG0000134,-5*
OG0000138,-5*
OG0000154,-5*
OG0000162,-5*
OG0000183,-5*
OG0000201,-5*
OG0000205,-5*
OG0000016,-6*
OG0000027,-6*
OG0000030,-6*
OG0000052,-6*
OG0000070,-6*
OG0000103,-6*
OG0000014,-7*
OG0000017,-7*
OG0000035,-8*
OG0000010,-9*
OG0000012,-9*
OG0000021,-9*
