"","abundance.sample1","abundance.sample2","abundance.sample3","abundance.sample4","counts.sample1","counts.sample2","counts.sample3","counts.sample4","length.sample1","length.sample2","length.sample3","length.sample4","countsFromAbundance"
"OG0000000",795.933135,724.243114,1276.545367,701.536154,1547.756,1604.886,3371.913,1501.152,355.438282952712,365.438389347225,341.53536037287,349.164266852723,"no"
"OG0000001",31.610957,27.144991,13.868721,45.3327,780.94,728.862,588.623,1573.004,4515.63248746724,4428.02018404445,5487.76370495772,5662.04958877691,"no"
"OG0000002",160.805261,124.064002,221.183519,112.986208,732.148,605.126,1357.348,498.489,832.215634969288,804.366754375729,793.476901352777,719.922268624964,"no"
"OG0000003",42.259322,68.964878,26.444057,63.735293,1094.369,1386.98,732.19,1657.528,4733.47076726418,3316.62679765397,3580.06729790346,4243.61977313052,"no"
"OG0000004",26.66371,29.263814,26.948708,22.803053,72.414,80.044,101.451,73.037,496.407206752286,451.078461209738,486.760564430139,522.641822231962,"no"
"OG0000005",3398.520379,3047.13239,4426.447447,2972.894277,17688.808,17388.099,31559.832,16961.288,951.364192735234,941.055223714747,921.880600175723,930.967804149395,"no"
"OG0000006",90.799935,120.035289,52.684106,150.115109,874.121,1171.532,589.68,1607.659,1759.64147739217,1609.53341588217,1447.21173747902,1747.530914102,"no"
"OG0000007",94.529666,87.769298,136.610631,82.183707,283.24,296.59,619.186,266.153,547.678180061897,557.27498699061,586.044934686598,528.445791714384,"no"
"OG0000008",70.375351,71.914112,112.727806,58.80311,159.046,167.422,394.078,168.125,413.086094436474,383.92915857291,452.007891482994,466.538845046937,"no"
"OG0000009",312.906052,244.383408,124.032752,288.695259,17520.526,15384.203,8609.661,18455.304,10234.612164406,10381.4400732738,8975.21801930898,10431.2660930415,"no"
"OG0000010",35.181965,41.362206,11.487148,25.406442,310,270.337,93.032,288,1610.57094385319,1077.84451023577,1047.16764038759,1849.71192640811,"no"
"OG0000011",245.4488,249.016368,441.219177,238.197316,351.741,347.571,779.409,355.595,261.939135782073,230.181772315682,228.405817690392,243.598585125493,"no"
"OG0000012",46.043797,44.516953,15.031858,43.144242,447.631,392.646,168.257,410.937,1776.99908181706,1454.55427889752,1447.28921558812,1554.20292620573,"no"
"OG0000013",18.330107,16.113688,5.79616,12.294985,321.938,255.38,147.05,245.547,3210.30048780015,2613.64164428702,3280.3516461107,3258.83457252929,"no"
"OG0000014",8.671958,5.576769,0.190693,12.932989,7.694,10,1,20,162.17014368981,295.713912757728,678.05,252.340145532019,"no"
"OG0000016",92.62004,59.026576,26.60301,96.656869,1864.949,1291.655,800.45,1991.561,3680.44444039715,3608.72168076026,3890.44236206474,3362.1447558997,"no"
"OG0000017",26.059083,23.669954,9.278048,29.99267,595,548.691,282.065,719,4173.45819449598,3822.82561101412,3930.8620795676,3911.73316423279,"no"
"OG0000018",31.67963,26.057544,7.88888,27.862039,188,188,68,200,1084.7130586433,1189.81290581296,1114.52256342802,1171.31164704015,"no"
"OG0000019",68.978909,80.583108,39.578924,125.271377,452,368,218,515,1197.73402280657,753.109830813736,712.176452096171,670.827576388539,"no"
"OG0000021",383.65819,374.276422,59.32781,247.080943,247,191,47,153,117.676395209296,84.1575569567457,102.432099724649,101.043368066901,"no"
"OG0000022",12.949281,12.294639,23.937256,6.520646,6,5,14,4,84.691990421167,67.0666679580425,75.6220431419541,100.097768387212,"no"
"OG0000023",3359.065752,3403.594675,1384.764028,4470.724749,46281.664,51937.255,26674.46,68728.485,2518.42304498029,2516.49156636632,2490.66445564144,2508.50089016878,"no"
"OG0000024",33.664751,45.801686,14.906307,68.845327,971.223,1454.33,598.389,2236.163,5273.28925331891,5236.43692730272,5190.49160647845,5300.1032428039,"no"
"OG0000025",1356.512787,1145.171862,1281.936215,1195.49674,14976.964,13257.113,16634.066,15186.487,2018.07890860351,1909.11739036615,1677.75032931341,2072.83312703574,"no"
"OG0000026",63.464897,47.987159,21.929399,58.907161,706.982,508.082,286,703,2036.16452387325,1746.07499142637,1686.29934999263,1947.34380232867,"no"
"OG0000027",20.21479,31.977158,14.818302,36.284137,309,659.392,401.825,743,2794.00698268016,3400.6192832682,3506.17907547639,3341.39227476495,"no"
"OG0000028",124.424078,88.650255,133.472709,89.827418,723.78,671.097,1212.333,609.011,1063.26141058076,1248.41561921957,1174.42359971138,1106.29636910207,"no"
"OG0000029",163.942081,193.45061,69.548177,150.403518,740.14,736.684,457.665,825.071,825.20513598031,628.007470275622,850.85776090167,895.135983028216,"no"
"OG0000030",14.420703,21.62062,5.452946,14.808592,226.169,391.444,110.471,287.401,2866.71834811736,2985.76880253786,2619.44345916886,3166.87350023689,"no"
"OG0000031",33.013643,29.906136,10.744896,27.735256,337.157,309.239,142.547,306.205,1866.70943493982,1705.24986481219,1715.34009836717,1801.50816460987,"no"
"OG0000032",0,5.264452,0,2.308853,0,2,0,1,66.5416919983254,62.651,66.5416919983254,70.674,"no"
"OG0000033",269.055346,235.671916,81.436766,301.553189,2442.435,2371.469,1006.554,3021.728,1659.28005426182,1659.44842808001,1598.12915914154,1635.10943911716,"no"
"OG0000034",46.582853,37.485129,22.098833,47.157328,536,572.308,417.009,688.383,2103.18232711957,2517.82291543935,2439.89597161085,2381.97144410114,"no"
