UniqueCount	AmbigCount
106	0
54	0
2	14
355	1
210	9
0	0
86	1
996	2
375	0
75	0
24	5
469	0
37	28
4	10
2	10
237	0
712	2
994	4
288	1
1060	2
5	0
26	0
12	0
120	1
5	0
1139	2
0	18
437	0
0	0
0	0
6	0
1054	4
401	1
438	207
0	16
1	0
159	0
2	32
4	0
410	1
11	4
224	0
208	1
1844	1
238	0
119	0
275	0
37	193
49	194
824	2
833	28
0	0
5	0
56	0
409	1
71	0
11	0
271	0
50	479
168	2
283	1
171	0
81	79
11	652
318	149
109	359
58	211
140	0
42	0
6	0
156	8
441	1
284	0
27	0
6	0
3	0
1	0
2	0
15	303
502	384
362	0
332	1
132	0
534	1
419	3
5	0
123	1
51	0
416	4
312	1
187	1
64	1
0	3
63	0
2	15
31	1
80	0
178	0
113	2
382	3
114	0
358	3
91	0
12	0
136	0
2	4
49	13
0	13
591	0
115	0
46	1
233	0
581	3
1	103
514	1
98	0
136	0
563	3
180	1
2	0
1	0
78	0
4	0
3957	15
204	1
114	0
393	1
267	1
490	0
61	0
315	3
289	2
696	4
72	0
104	0
286	1
307	1
38	0
1091	4
455	0
117	2
10	0
441	2
588	2
104	1
955	0
687	1
101	0
560	1
35	0
1	0
243	0
1459	7
289	0
151	0
0	0
394	4
40	1
723	3
954	0
0	0
18	53
26	0
3861	24
67	1
123	184
47	0
211	0
23	0
137	7
77	32
30	0
102	0
692	3
130	0
391	0
318	1
81	0
4	0
33	0
235	1
56	0
62	0
2	0
404	1
155	0
3	145
1	0
113	145
0	0
288	0
25	0
45	2
753	0
265	1
64	1
352	3
566	0
213	1
308	1
203	0
2044	5
535	1
152	0
2380	32
337	1
238	0
48	0
69	1
98	0
156	1
91	461
328	61
160	403
74	2
55	0
7	4
427	1
283	0
2640	6
44	1
2	10
1	10
53	0
212	0
68	33
22	0
361	1
0	0
35	0
25	0
68	0
73	0
168	0
0	0
187	1
13	0
7	0
2061	4
2039	7
179	0
45	0
10	0
333	0
81	0
1303	4
214	1
11	1
14	0
12	4
127	0
44	1
315	1
123	0
69	0
53	0
736	2
696	0
570	1
175	0
107	0
0	3
83	0
86	63
122	0
17	0
114	0
22	0
755	3
184	0
925	1
375	2
27	0
5	3
14	0
593	1002
304	966
318	1
4	8
0	0
197	1
20	0
1696	4
78	0
866	0
40	0
4	0
7	0
1537	60
212	1014
546	3
638	61
191	1
539	58
11	0
35	0
67	1
203	0
75	0
435	1
136	1
244	3
1	0
37	0
4	0
140	35
3	0
0	0
4	1
464	2
2025	12
495	2
177	0
76	207
12	300
2	300
62	0
141	0
6	0
67	1
3	0
29	4
62	0
0	0
306	0
129	2
16	9
28	1
22	2
52	1
418	1
100	0
228	0
251	1
40	0
41	0
35	1
262	2
2	0
19	0
173	0
313	0
198	0
68	0
107	0
406	22
30	0
88	97
75	97
383	5
1	0
0	0
0	0
0	0
171	3
646	8
87	0
0	0
115	0
4	0
16	0
712	460
155	0
518	4971
360	0
4	0
12	0
24	0
151	224
13	0
129	1
150	2
412	1
132	1
226	0
68	0
194	0
21	0
208	0
1	10
5	10
36	0
106	1
136	0
0	0
604	3
36	0
452	12
234	9
93	3
2	1
2	2
298	0
824	50
720	11
454	2
16	0
1	0
1529	4
75	0
3	0
88	0
223	1
16	0
94	0
251	0
147	0
285	0
372	0
64	96
49	0
12	37
70	0
6	464
289	464
12	0
109	0
328	1
967	10
0	0
23	0
1610	5
526	1
398	1
27	0
663	0
7	0
710	4
596	1
4	1
12	1
21	0
1258	440
41	437
29	0
156	0
173	562
17438	40
11	0
9	0
108	1
375	0
61	0
315	1
560	3
48	0
464	0
864	1
1218	4
4	0
104	1
1143	1
242	0
516	2
2	11
653	2
7	0
53	0
516	0
0	17
139	0
97	1
794	2
167	0
140	1
220	0
77	0
0	0
61	1
402	245
348	2
417	217
37	0
958	2
225	0
78	0
0	3
0	1
59	0
428	2
156	1
315	9
141	0
84	1
4	0
394	0
1	0
156	1
3	0
220	23
183	0
87	1
209	1
36	0
119	769
76	769
191	1
223	0
106	0
16	0
7	0
2	0
415	2
132	0
473	2
856	6
48	0
155	27
148	0
66	0
139	0
47	8
10	0
44	0
510	1
146	0
361	0
301	3
153	1
1141	6
242	1
98	2
166	66
146	4
207	0
284	1
1014	12
2525	2
21	0
229	2
143	0
37	0
64	49
383	1
4	0
232	0
95	0
284	0
355	1
591	2
1656	535
11786	36
2382	6
324	2
379	2
197	0
273	1
5	0
161	1
11	391
216	392
55	0
88	0
219	0
66	0
82	4
172	0
67	0
26	0
748	2
75	0
129	0
44	1
1483	5
513	2
1020	1
6	0
103	352
1045	8
63	0
2	90
151	92
42	0
640	138
66	0
333	3
473	1
34	0
312	2
48	0
3939	11
7	0
554	0
318	3
485	2
103	0
182	2
79	0
7	0
86	0
289	3
6	0
239	0
753	2
90	0
152	0
654	1
802	4
453	1
63	1
58	0
358	2
838	4
735	4
3173	9
161	2
557	1
129	0
270	3
35	0
84	0
137	3
50	191
46	191
244	4
75	278
822	4
107	2
263	3
2	0
26	0
637	0
53	1
0	0
472	5
344	4
1	1
94	0
136	2
15	0
371	3
9	0
2	95
5	95
0	0
187	3
95	1
76	0
2	0
292	1
207	0
1	0
189	44
324	1
40	0
124	0
2429	7
99	40
25	0
81	1
132	0
5	71
0	71
163	0
1216	5
38	1
103	0
3	0
179	24
825	3
8	0
37	554
102	0
135	554
686	490
51	0
2	0
113	0
344	1
89	2
43	0
303	0
381	0
83	40
358	41
102	0
154	0
86	0
3	1
1060	3
0	0
4	2
64	0
141	10
636	27
7	89
79	1
150	1
454	2
16	0
29	0
123	0
314	3
119	1
1321	3
2	0
33	0
141	1
111	1
358	0
692	2
41	306
30	307
441	0
224	0
258	0
228	0
25	0
234	1
171	6
134	7
79	7
52	4
31	0
7	0
257	0
29	0
275	0
135	0
423	53
465	0
56	0
93	0
735	4
110	0
1001	3
59	0
116	0
157	0
108	3
187	0
541	0
14	0
332	2
51	0
407	2
273	1
69	2
305	2
173	0
6	0
194	0
23	10
1891	7
544	3
464	2
273	1
2338	10
101	1
31	0
11	0
134	1
149	1
156	0
218	113
171	0
54	0
579	22
295	1
610	1
142	3
902	2
300	24
431	0
549	5
74	0
247	1
12	0
13	4
97	0
0	0
100	1
172	2
1	81
52	81
83	1
225	0
165	0
747	4
141	0
660	1
100	0
25	0
7	0
124	0
311	1
71	0
227	0
174	53
242	1
151	336
86	336
1381	7
139	1
54	232
814	4
782	0
135	0
235	1
1	0
312	1
547	5
9	0
211	2
187	0
653	1
583	2
98	0
17	0
75	0
376	0
588	3
240	2
395	0
145	0
38	2
374	2
23	0
257	0
78	0
9	6
3	6
104	209
32	208
7	0
5	0
3	0
121	1
4	1
85	0
0	0
71	33
180	0
544	2
58	48
31	0
133	79
438	1
72	0
128	0
283	0
178	1
255	0
429	2
38	0
1	0
200	0
9990	31
69	0
21	0
1	162
1	162
828	7
3	1
86	0
1577	281
174	1
9	0
93	0
52	78
208	0
122	0
667	3
160	1
51	0
3890	9
43	2
985	3
508	1
118	0
22	753
393	754
484	0
9	509
648	1
181	0
66	0
153	0
339	20
135	1
0	20
1323	4
107	0
489	0
141	4
183	4
222	3
644	1
507	2
94	299
99	299
488	0
31	1
358	47
17	27
229	1
147	0
539	1
307	0
1196	27
165	14
1241	2
143	0
94	0
144	2
104	0
1	0
233	0
0	0
513	381
105	1
408	3
958	6
3369	9
209	196
397	3
684	1
826	0
224	0
559	1
23	0
22	0
94	0
1	0
180	0
77	0
70	1
6	0
100	0
204	0
70	0
464	1
144	0
1413	8
1181	23
9	0
238	1
59	0
88	0
214	0
38	0
73	0
54	149
70	155
211	658
689	2
120	60
297	2
285	1
56	0
171	0
33	15
25	15
370	0
24	0
3	0
941	10
164	0
104	0
61	0
2730	4
242	1
642	2
266	2
13	0
339	0
28	0
8	0
1257	5
78	0
862	5
1359	6
2	0
144	3
2580	6
23	10
860	3
86	0
109	0
212	0
164	5
1042	3
51	0
67	1
1	0
301	1
407	1
1320	4
93	0
15	0
83	0
125	0
4018	8
4	0
942	4
328	1
44	0
5	0
253	0
22	0
332	2
212	2
26	0
98	0
282	3
6	0
0	0
305	1
2	0
123	20
42	20
87	0
81	0
2499	34
313	1
577	255
194	156
31	0
29	1
118	0
110	0
444	1
24	0
16	1
488	2
126	1
17	167
54	0
80	0
72	0
0	0
128	1
0	0
45	0
257	1
56	3
94	134
444	12
72	0
85	0
335	0
0	13
296	2
92	2
35	0
142	0
52	1
8	0
283	2
253	1
532	10
1	0
3444	7
250	0
2803	5
261	1
1098	1
6377	29
46	0
357	126
140	0
312	4
29	1
120	0
0	0
520	1
440	1
345	3
214	0
0	0
93	0
15	177
21	177
1	10
187	0
133	3
201	2
110	1
96	0
833	4
258	0
42	0
73	0
45	0
50	54
29	54
10	0
7	0
704	0
179	1
550	2
5	0
100	0
24	0
3	0
491	3
0	0
310	0
193	1
1	0
26	1
5477	16
3650	4
203	29
16	0
23	0
0	28
33	0
19	0
28	0
28	0
19	0
15	0
68	2
233	43
71	0
27	351
13	27
329	4
205	1
47	0
43	0
27	0
2	0
27	0
47	0
32	0
4	3
40	0
15	0
29	0
57	0
1339	4
137	0
159	2
234	0
20	0
5	1
40	0
0	40
26	0
65	0
145	0
105	0
185	5
7	0
30	0
28	0
43	1
117	0
159	179
137	11
23	0
23	0
54	0
8	0
5	0
34	0
13	0
136	1
58	1
30	1
9	0
425	1
83	0
22	0
84	0
33	181
60	0
19	0
21	2
4	4
161	0
3346	14
108	1
48	0
74	0
45	1
51	0
64	0
1	0
53	0
81	0
24	0
8	0
89	0
46	1
30	0
20	6
114	0
45	0
64	1
15	0
373	1
1827	10
0	0
203	0
7	0
33	0
84	68
232	1
62	0
86	0
105	0
41	0
101	0
37	0
70	0
286	2
370	2
67	0
7	0
36	1
248	2
0	11
1	11
17	0
21	0
67	1
898	1
4	0
4	0
52	0
143	0
686	2
15	1
15	0
7	8
3	8
10	69
48	69
78	0
30	0
261	1
5	0
34	0
4	4
21	0
29	0
26	3
0	27
16	27
111	0
188	3
2	0
220	0
78	0
16	0
19	0
32	0
14	0
32	0
3	0
34	20
403	7
636	1
5	0
25	0
102	0
71	0
769	4
104	0
3	0
3	0
101	0
9	0
2	0
12	0
55	0
826	234
64	0
8	0
87	0
14	0
26	1
38	0
68	0
62	0
0	0
641	5
7	0
188	1
37	0
34	0
9	0
133	0
134	0
40	0
114	1
67	2
33	0
99	1
0	37
87	0
70	0
175	1
67	0
92	0
43	0
29	0
218	1
37	0
546	1
7	11
7	11
144	1
66	1
13	2
5	2
238	0
164	0
33	0
28	0
228	1
520	0
554	7
11	0
10	5
4	0
0	5
22	0
597	2
29	0
2	0
15	0
51	1
22	0
62	1
126	0
78	0
34	0
11	0
71	0
82	1
9	32
8	36
1	0
5	0
48	0
12	0
354	1
66	0
24	0
25	0
1	0
40	0
66	0
70	0
31	0
13	0
24	0
22	0
19	0
5	3
18	6
50	0
97	0
41	1
41	0
2	2
90	0
5	30
12	30
60	0
46	0
27	0
1258	2
5	0
675	3
139	0
42	0
206	1
32	0
23	0
65	1
52	0
48	0
18	0
88	1
0	47
41	47
25	0
16	0
13	9
38	0
17	0
108	0
0	32
35	0
5	1
18	0
0	0
1	0
94	1
95	1
103	0
32	0
860	2
0	17
0	17
13	0
229	2
33	0
10	0
9	0
297	4
23	0
43	0
221	0
22	0
42	0
77	0
15	0
38	0
32	0
1079	62
47	0
20	0
139	1
14	0
145	1
53	0
39	0
32	2
53	2
900	3
2	0
65	1
28	0
61	0
317	1
20	0
41	0
0	0
10	4
724	40
55	0
70	0
57	0
2	0
61	0
346	1
258	0
76	0
38	0
109	0
92	0
17	0
22	0
97	1
10	0
34	1
401	3102
675	3102
2376	109
13	0
5	4
503	0
24	0
242	0
32	1
3	0
87	0
8	0
50	0
55	0
11	4
183	0
37	0
51	1
9	0
847	2
59	0
45	1
809	2
40	0
43	0
102	1
33	0
4	1
14	0
38	0
94	0
24	0
62	0
0	0
17	0
33	0
20	0
45	1
247	291
202	290
91	0
105	0
29	0
4	6
544	1
72	166
29	0
3	15
1	15
14	1
21	1
13	1
12	0
31	1
158	0
29	0
6	0
26	0
506	0
70	0
95	1
51	0
388	0
0	0
0	0
25	0
75	0
1	49
0	49
36	0
28	0
52	0
424	1
107	3
5	1
3	1
1	26
23	0
214	0
4	0
3	0
11	0
54	0
27	0
2	0
27	0
1082	16
32	0
33	0
340	1
80	0
194	2
1494	3
0	0
45	0
54	0
48	103
51	103
7	0
25	0
0	0
23	0
463	494
22	0
43	0
8	0
0	247
205	247
62	0
18	0
32	0
12	0
282	7
53	7
34	0
377	2
45	0
33	0
30	0
25	0
31	0
2	0
52	0
61	2
34	0
609	17
1224	0
67	0
58	2
105	17
180	0
38	0
43	0
9	0
128	0
43	0
45	0
73	0
44	0
3	0
26	0
139	2
1	0
3	3
5	3
60	0
19	0
66	0
102	0
56	0
18	0
0	0
0	22
20	22
71	1
1311	6
214	0
6	0
81	0
7	0
23	0
3	3
0	3
23	0
198	1
46	0
65	0
17	0
55	0
148	0
73	0
36	0
5	0
81	1
31	0
104	0
19	0
34	0
0	0
39	0
7	0
16	0
15	1
68	0
288	14
7	14
26	0
0	0
62	0
50	1
2	0
31	0
12	0
15	0
53	380
5	12
51	0
143	1
324	1
24	2
21	0
2	1
10	1
739	2
0	2
111	0
40	0
3	0
1	0
38	0
34	0
170	1
15	7
90	0
18	16
34	0
1747	4
2	1
10	0
84	0
32	0
0	0
801	29
1	28
1291	2
73	53
0	0
32	0
1	0
58	0
40	0
30	0
148	1
26	0
52	1
150	1
41	0
11	0
1158	2
29	0
65	0
197	1
16	0
29	1
289	1
67	1
24	0
2	0
110	0
15	0
172	0
0	21
20	0
215	0
50	0
70	0
0	0
120	0
79	1
95	1
14	0
6	0
42	0
45	1
296	2
99	0
29	5
25	0
16	0
213	0
68	0
187	7
1423	4
290	0
13071	46
129	0
162	0
10	0
902	2
15	0
6	0
253	0
43	0
336	1
54	0
87	0
146	1
61	0
10	6
154	0
0	0
5	1
227	0
1	4
395	2
38	0
246	2
341	0
6	728
44	728
11	0
26	0
66	111
27	0
90	0
82	1
70	0
1396	6
31	2
437	2
613	2
10	6
571	2
36	0
71	0
47	0
76	1
26	0
28	0
6	3
112	0
30	0
469	1
154	1
20	0
11	0
587	0
51	0
12	0
9	0
52	0
48	2
58	0
16	0
1021	1
0	0
1	0
7	0
88	0
59	0
89	1
436	3
27	0
134	0
0	6
31	0
244	1
39	0
3893	21
309	2
24	0
49	682
6	0
56	0
13	0
593	5
44	0
69	49
1184	28
38	25
42	0
39	0
2	0
559	1
346	0
32	0
23	1
178	2
18	0
1	0
2	0
2	0
83	0
91	0
282	5
431	1
1	112
37	0
35	1
24	0
22	0
7	14
412	3
6	0
340	3
453	157
380	0
59	0
18	0
482	2
148	1
214	1
28	0
9	0
35	1
13	0
465	4
36	0
30	0
39	258
6	1
52	0
697	0
37	0
66	0
29	0
838	1
311	0
2	2
10	2
121	0
51	0
159	2
205	0
33	1
207	0
11	0
4	0
21	0
293	4
79	0
1284	4
642	0
22	0
247	150
153	149
29	0
35	0
105	0
4	40
153	42
18	0
514	4
71	0
66	0
318	3
12	3
77	0
183	2
1227	8
8	1
2	1
349	2
24	0
16	0
33	0
14	0
42	2
4	0
850	3
36	0
1079	2
9	0
7	15
14	0
34	0
0	0
0	0
11	1
226	2
92	0
45	1
11	1
1397	3
1	0
203	0
0	4
94	0
957	5
34	1
459	0
293	0
8	0
888	1
5	0
134	3
270	0
45	0
19	78
122	78
114	0
17	0
1	0
0	0
772	529
506	5
231	0
38	0
0	0
614	1
76	0
345	2
123	0
3511	11
24	0
23	0
260	1
4	0
4	0
76	0
0	0
27	0
256	3
0	0
3	0
64	0
1363	10
1171	7
374	1
3	0
40	0
111	0
385	3
10	0
125	1
6	0
165	0
4	0
1	0
502	18
203	10
43	0
103	39
12	39
40	1
80	0
640	3
22	0
26	0
47	0
9	1
76	139
51	140
462	5
56	2
3	0
12	0
428	0
185	1
269	0
327	617
462	617
69	0
1	2
10	0
660	1
9	0
173	2
4	0
67	0
3	0
289	2
161	0
321	195
5	0
11	0
404	2
30	0
566	6
1	0
527	0
466	2
73	0
190	1
90	12
23	9
6	2
110	1
539	59
0	1
152	2
6	0
248	1
25	0
63	0
141	0
2	43
157	43
12	0
79	0
406	3
28	0
6	5
177	0
605	1
243	1
43	0
193	0
191	1
1	0
237	1
75	0
1	0
1202	2
227	0
12	1
5296	2
0	73
6	0
13	0
457	2
830	3
728	1
270	0
205	0
0	0
5	0
389	1
1	0
6772	23
0	0
1	0
57	24
30	0
657	1
24	1
482	1
25	0
998	5
219	3
76	0
8	0
51	0
1	0
0	0
605	4
329	2
37	0
597	5
457	2
0	4
873	0
546	2
526	3
108	3
18	0
16	1
425	1
43	0
110	0
711	1
185	0
496	1
23	0
771	2
674	1
1	8
116	0
15	0
223	1
28	0
678	2
630	1
1	0
6	0
294	1
19	14
137	0
26	0
0	15
7	15
2	0
14	0
1	0
2	2
124	2
29	0
215	2
22	0
1702	4
108	314
366	7
396	1
44	0
8	1
898	6172
12	1
59	0
402	2
581	1
180	1
16	0
4	0
0	0
330	1
76	0
303	2
214	0
82	0
4	0
307	1
92	0
110	1
164	2
49	0
26	0
267	0
0	0
32	1
1062	1
309	0
0	8
23	14
59	0
10	0
451	1
250	3
229	0
80	0
16	3
162	1
87	0
1071	3
1717	10
261	3
368	2
19	0
1	0
78	0
20	6
42	2
91	0
45	1
2	0
1	0
2	4
7	0
15	0
8456	38
5	0
134	0
8	11
108	11
245	0
20	0
378	0
87	0
40	0
4	0
0	0
0	0
996	13
4	35
0	35
200	0
36	0
1	0
8	0
3	0
681	2
13	0
11	0
312	0
535	3
1468	540
31	106
33	107
19	0
63	0
