Total,Orthogroup,Cnat_Orthofinder_input,Mcav_coral_only_denovo,Ofav_coral_only_denovo,Past_longest_proteome,Ssid_longest_proteome
600,OG0000000,191,199,193,8,9
140,OG0000001,26,44,12,20,38
118,OG0000002,33,42,39,3,1
104,OG0000003,32,28,6,19,19
99,OG0000004,14,7,3,69,6
91,OG0000006,26,44,10,4,7
82,OG0000009,4,24,27,14,13
79,OG0000010,19,25,7,19,9
75,OG0000012,28,35,8,1,3
74,OG0000013,19,8,5,22,20
73,OG0000014,8,23,5,32,5
71,OG0000016,14,15,7,12,23
70,OG0000017,17,19,6,12,16
69,OG0000018,11,29,3,20,6
67,OG0000019,16,20,2,18,11
66,OG0000021,11,17,2,29,7
64,OG0000023,14,15,11,5,19
64,OG0000024,2,20,10,16,16
64,OG0000025,5,18,19,12,10
62,OG0000026,11,14,6,29,2
62,OG0000027,8,16,4,30,4
59,OG0000029,7,27,6,18,1
58,OG0000030,10,23,5,11,9
56,OG0000032,15,26,1,13,1
56,OG0000033,11,11,11,16,7
56,OG0000034,11,10,9,14,12
55,OG0000035,11,23,2,13,6
55,OG0000036,10,13,6,16,10
54,OG0000037,10,15,17,9,3
54,OG0000038,9,17,16,8,4
53,OG0000039,9,28,8,5,3
52,OG0000040,12,7,9,19,5
51,OG0000041,16,14,7,6,8
50,OG0000043,13,15,8,11,3
49,OG0000044,12,14,5,8,10
49,OG0000045,9,15,5,14,6
49,OG0000046,13,11,9,12,4
48,OG0000047,4,14,10,16,4
46,OG0000050,10,11,12,7,6
46,OG0000051,11,15,4,12,4
46,OG0000052,10,14,3,13,6
46,OG0000053,5,7,12,19,3
45,OG0000054,8,20,15,1,1
44,OG0000055,12,15,13,2,2
44,OG0000056,5,10,7,8,14
44,OG0000058,1,20,18,2,3
43,OG0000059,8,11,12,5,7
43,OG0000060,5,18,16,3,1
43,OG0000061,9,8,7,12,7
43,OG0000062,1,16,5,7,14
42,OG0000064,9,9,3,3,18
42,OG0000066,6,10,5,16,5
42,OG0000067,2,15,1,23,1
41,OG0000070,8,16,2,13,2
41,OG0000071,6,11,8,6,10
40,OG0000072,5,16,8,8,3
40,OG0000073,14,10,8,5,3
40,OG0000074,2,16,16,4,2
40,OG0000075,11,11,7,6,5
40,OG0000076,2,23,3,9,3
40,OG0000077,5,11,3,15,6
40,OG0000078,4,12,7,9,8
40,OG0000079,4,11,11,7,7
39,OG0000080,14,11,4,2,8
39,OG0000081,9,10,11,4,5
38,OG0000083,8,12,4,4,10
38,OG0000086,6,11,4,6,11
38,OG0000087,9,9,2,5,13
38,OG0000088,9,10,2,14,3
38,OG0000089,4,10,1,19,4
37,OG0000091,6,6,6,8,11
37,OG0000093,6,11,5,6,9
37,OG0000094,4,13,1,15,4
36,OG0000097,13,10,4,4,5
36,OG0000099,8,12,2,9,5
36,OG0000100,6,14,9,6,1
36,OG0000101,8,10,12,3,3
36,OG0000102,6,5,4,8,13
36,OG0000103,16,9,1,6,4
36,OG0000104,3,7,9,10,7
36,OG0000107,3,10,7,9,7
36,OG0000108,2,6,5,12,11
35,OG0000109,7,10,9,3,6
35,OG0000112,5,8,6,9,7
35,OG0000113,4,10,5,6,10
35,OG0000115,3,19,9,1,3
35,OG0000117,2,13,5,6,9
35,OG0000118,4,4,3,10,14
34,OG0000122,4,10,14,5,1
34,OG0000125,16,5,1,11,1
34,OG0000126,5,12,8,6,3
34,OG0000127,2,7,4,7,14
34,OG0000128,5,6,7,6,10
34,OG0000129,3,3,2,25,1
33,OG0000133,1,14,16,1,1
33,OG0000134,6,19,1,6,1
33,OG0000136,7,7,6,5,8
33,OG0000137,6,11,3,10,3
33,OG0000138,11,7,1,5,9
33,OG0000139,5,9,7,6,6
33,OG0000140,1,10,11,10,1
32,OG0000143,2,7,2,10,11
32,OG0000144,25,4,1,1,1
32,OG0000145,3,10,9,5,5
32,OG0000146,5,2,2,8,15
32,OG0000149,4,5,1,15,7
31,OG0000152,9,7,2,9,4
31,OG0000154,11,7,1,7,5
31,OG0000157,6,10,6,8,1
31,OG0000158,6,5,2,1,17
31,OG0000159,11,6,9,3,2
31,OG0000160,6,5,1,9,10
31,OG0000162,7,8,1,12,3
31,OG0000163,10,7,8,5,1
31,OG0000164,5,10,3,9,4
30,OG0000165,6,7,8,6,3
30,OG0000166,6,8,6,6,4
30,OG0000169,9,6,2,2,11
