Total,Orthogroup,cnat,mcav,ofav,past,ssid
5,OG0007785,1,1,1,1,1
5,OG0007788,1,1,1,1,1
5,OG0007790,1,1,1,1,1
5,OG0007793,1,1,1,1,1
5,OG0007803,1,1,1,1,1
5,OG0007825,1,1,1,1,1
5,OG0007848,1,1,1,1,1
5,OG0007854,1,1,1,1,1
5,OG0007859,1,1,1,1,1
5,OG0007867,1,1,1,1,1
5,OG0007870,1,1,1,1,1
5,OG0007893,1,1,1,1,1
5,OG0007925,1,1,1,1,1
5,OG0007929,1,1,1,1,1
5,OG0007945,1,1,1,1,1
5,OG0007946,1,1,1,1,1
5,OG0007957,1,1,1,1,1
5,OG0007967,1,1,1,1,1
5,OG0007979,1,1,1,1,1
5,OG0007984,1,1,1,1,1
5,OG0007987,1,1,1,1,1
5,OG0007988,1,1,1,1,1
5,OG0008001,1,1,1,1,1
5,OG0008005,1,1,1,1,1
5,OG0008017,1,1,1,1,1
5,OG0008019,1,1,1,1,1
5,OG0008037,1,1,1,1,1
5,OG0008049,1,1,1,1,1
5,OG0008056,1,1,1,1,1
5,OG0008058,1,1,1,1,1
5,OG0008060,1,1,1,1,1
5,OG0008068,1,1,1,1,1
5,OG0008077,1,1,1,1,1
5,OG0008078,1,1,1,1,1
5,OG0008081,1,1,1,1,1
5,OG0008097,1,1,1,1,1
5,OG0008098,1,1,1,1,1
5,OG0008102,1,1,1,1,1
5,OG0008108,1,1,1,1,1
5,OG0008109,1,1,1,1,1
5,OG0008110,1,1,1,1,1
5,OG0008112,1,1,1,1,1
5,OG0008115,1,1,1,1,1
5,OG0008134,1,1,1,1,1
5,OG0008139,1,1,1,1,1
5,OG0008148,1,1,1,1,1
5,OG0008155,1,1,1,1,1
5,OG0008160,1,1,1,1,1
5,OG0008180,1,1,1,1,1
5,OG0008188,1,1,1,1,1
5,OG0008190,1,1,1,1,1
5,OG0008194,1,1,1,1,1
5,OG0008195,1,1,1,1,1
5,OG0008201,1,1,1,1,1
5,OG0008205,1,1,1,1,1
5,OG0008209,1,1,1,1,1
5,OG0008213,1,1,1,1,1
5,OG0008215,1,1,1,1,1
5,OG0008219,1,1,1,1,1
5,OG0008237,1,1,1,1,1
5,OG0008247,1,1,1,1,1
5,OG0008248,1,1,1,1,1
5,OG0008261,1,1,1,1,1
5,OG0008267,1,1,1,1,1
5,OG0008270,1,1,1,1,1
5,OG0008272,1,1,1,1,1
5,OG0008275,1,1,1,1,1
5,OG0008284,1,1,1,1,1
5,OG0008285,1,1,1,1,1
5,OG0008287,1,1,1,1,1
5,OG0008288,1,1,1,1,1
5,OG0008291,1,1,1,1,1
5,OG0008296,1,1,1,1,1
5,OG0008298,1,1,1,1,1
5,OG0008304,1,1,1,1,1
5,OG0008314,1,1,1,1,1
