"","abundance.sample1","abundance.sample2","abundance.sample3","abundance.sample4","counts.sample1","counts.sample2","counts.sample3","counts.sample4","length.sample1","length.sample2","length.sample3","length.sample4","countsFromAbundance"
"OG0000000",27.220632,49.308672,76.009456,84.458814,30,82.529,56,150.015,138.098369915401,128.532967606489,91.8182583975473,124.256598602213,"no"
"OG0000001",54.264638,65.942153,65.749833,124.359208,1860.814,3639.623,1811.574,5667.587,4296.86105115481,4238.70152357006,3433.76392487202,3188.24008351624,"no"
"OG0000002",16.397773,33.530865,29.4144,36.899912,120,328.355,229.352,295.034,916.983750320974,752.036161032052,971.744519069979,559.342503580388,"no"
"OG0000003",62.068713,56.655671,60.24873,154.086832,1641.008,2268.328,1440.163,6210.182,3312.86023932217,3074.69305098003,2979.01636747007,2819.4832646267,"no"
"OG0000004",114.194855,151.107341,194.623224,388.81704,1858.971,3334.798,2838.523,9293.684,2039.81715851361,1694.82006058905,1817.63514885908,1672.14264603293,"no"
"OG0000005",999.442128,2349.460206,1877.877752,2015.138574,4685.342,13467.663,9006.4,14730.584,587.420229719484,440.213842701842,597.71331710002,511.382302806906,"no"
"OG0000006",15.003264,16.059096,36.923955,35.304121,66,110.457,73.602,113,551.217842589386,528.217951237915,248.423882444662,223.915050251754,"no"
"OG0000009",51.774005,105.890007,120.094431,167.846239,3049.019,10875.265,8277.35,16719.229,7379.27171148147,7887.22857083534,8589.68748867995,6968.43620757245,"no"
"OG0000010",159.769796,86.514905,97.535741,199.651808,884.127,1439.002,1132.145,3645.46,693.401909056403,1277.35183387408,1446.59416313438,1277.34995818854,"no"
"OG0000012",4.153786,2.467729,2.59943,2.77635,44.019,34,27,52,1327.88,1058.086,1294.478,1310.267,"no"
"OG0000013",35.711025,64.202246,52.727496,139.171737,503.993,876.574,591.228,2921.34,1768.42890476602,1048.52381837696,1397.42047510121,1468.4586849242,"no"
"OG0000014",139.41173,200.935425,282.472877,416.58515,520,1791.434,814.01,1822.323,467.379094263546,684.674213660732,359.138420665673,306.021748301647,"no"
"OG0000016",71.402081,61.934289,71.461786,363.606829,1343.187,1409.557,1198.018,13176.941,2357.17091336426,1747.79761414746,2089.28761361184,2535.20641844344,"no"
"OG0000017",22.583082,18.213239,33.404512,45.264106,468,602.302,720.639,1680.011,2596.73675314326,2539.60719580998,2688.57285396269,2596.50218824172,"no"
"OG0000018",54.007683,67.586249,73.589089,115.635017,582.001,836.413,643,1896.175,1350.30866649756,950.391047169536,1088.94640449942,1147.14930173379,"no"
"OG0000019",50.68719,182.860192,86.479307,197.118568,456,1666.486,509.143,1935.866,1127.28021313255,699.877581988211,733.73092701698,687.034155604179,"no"
"OG0000021",142.554673,188.899491,211.417503,493.520152,1336,3675.906,1388.916,8428.034,1174.3301548478,1494.42179064539,818.736169282346,1194.68118323775,"no"
"OG0000022",4.591577,18.915341,5.600794,12.303485,11,54.672,12,49.753,300.19,221.97,267.018,282.89,"no"
"OG0000023",1236.666081,2593.335636,1687.731031,3385.796224,17656.093,51316.669,23641.468,85958.292,1788.98786342082,1519.63485909139,1745.74244516194,1776.06023027594,"no"
"OG0000024",23.312096,33.581598,52.28666,82.590198,801.577,2163.736,1768.856,6259.274,4308.53053095998,4948.14307685581,4216.09595061075,5301.83501265289,"no"
"OG0000025",240.975016,486.414581,429.420926,691.762934,4224.868,12176.046,7286.122,21101.239,2196.88070083979,1922.37975262272,2114.57085713072,2133.93593338736,"no"
"OG0000026",81.295341,68.16021,101.296718,229.098576,1069.987,1370.004,1282.984,6138.428,1649.21894007058,1543.58445691712,1578.46443129651,1874.41373588588,"no"
