OG,Change
OG0000053,+11*
OG0000089,+12*
OG0000021,+16*
OG0000067,+17*
OG0000026,+18*
OG0000014,+19*
OG0000027,+19*
OG0000129,+21*
OG0001138,+3*
OG0000175,+4*
OG0000179,+4*
OG0000280,+4*
OG0000511,+4*
OG0000560,+4*
OG0000656,+4*
OG0000718,+4*
OG0000740,+4*
OG0000972,+4*
OG0000070,+5*
OG0000196,+5*
OG0000260,+5*
OG0000396,+5*
OG0000496,+5*
OG0000514,+5*
OG0000799,+5*
OG0000873,+5*
OG0000927,+5*
OG0000986,+5*
OG0001154,+5*
OG0000004,+52*
OG0000088,+6*
OG0000162,+6*
OG0000241,+6*
OG0000263,+6*
OG0000309,+6*
OG0000392,+6*
OG0000510,+6*
OG0000047,+7*
OG0000077,+7*
OG0000279,+7*
OG0000475,+7*
OG0000497,+7*
OG0000499,+7*
OG0000018,+8*
OG0000066,+8*
OG0000149,+8*
OG0000198,+8*
OG0000762,+8*
OG0000029,+9*
OG0000040,+9*
OG0000094,+9*
