OG,Change
OG0000004,-11*
OG0000000,-27*
OG0000122,-4*
OG0000134,-4*
OG0000175,-4*
OG0000196,-4*
OG0000202,-4*
OG0000205,-4*
OG0000214,-4*
OG0000239,-4*
OG0000268,-4*
OG0000359,-4*
OG0000040,-5*
OG0000047,-5*
OG0000051,-5*
OG0000053,-5*
OG0000067,-5*
OG0000088,-5*
OG0000100,-5*
OG0000140,-5*
OG0000157,-5*
OG0000002,-6*
OG0000010,-6*
OG0000018,-6*
OG0000021,-6*
OG0000037,-6*
OG0000043,-6*
OG0000046,-6*
OG0000070,-6*
OG0000125,-6*
OG0000027,-7*
OG0000014,-8*
OG0000029,-8*
OG0000026,-9*
OG0000032,-9*
