"","abundance.sample1","abundance.sample2","abundance.sample3","abundance.sample4","counts.sample1","counts.sample2","counts.sample3","counts.sample4","length.sample1","length.sample2","length.sample3","length.sample4","countsFromAbundance"
"OG0000000",19.934062,20.821319,42.007648,41.309955,90,109,285,257,694.646009635718,696.242851101076,717.147980996056,689.645316221623,"no"
"OG0000001",117.355468,205.011402,74.170383,65.013902,1946,3737.802,1878,1510,2551.26957254709,2424.82688932675,2676.43948871496,2574.64951210483,"no"
"OG0000002",9.819351,6.624451,22.075427,23.384346,25,20,82,78,391.719,401.534,392.642,369.757,"no"
"OG0000003",114.929393,109.690491,52.753895,68.106348,3589,3847.99,2435.01,2637.006,4804.62167069163,4665.59914022487,4879.08762594222,4292.11079334919,"no"
"OG0000004",44.307328,53.181479,33.26021,44.56114,699.051,923.393,785.165,890.196,2427.44802637778,2309.23782151341,2495.33131756754,2214.50442039939,"no"
"OG0000006",29.175572,68.565602,28.594856,49.349788,110,208.187,130,188.12,580.083017581078,403.821118318031,480.560049531916,422.56741140659,"no"
"OG0000007",5.404293,6.156752,11.188189,6.180451,21.689,28.046,66.407,34.65,617.457043802954,605.83774466878,627.401984733007,621.489473112076,"no"
"OG0000008",0.209701,0.409214,1.860789,0.683009,2,3,18,4,1467.395,975.018432888415,1022.51041017601,649.203772983958,"no"
"OG0000009",500.496631,483.365822,201.698072,185.704119,13361.34,14810.627,7689.58,6837.781,4107.38759627509,4075.11541749008,4029.89044293002,4081.69948830463,"no"
"OG0000010",141.001589,230.247107,84.714299,163.243557,1175.004,2001,1092.303,1471,1282.12972781402,1155.83371444028,1362.945973059,998.904606632904,"no"
"OG0000011",0.920006,2.610725,3.86339,1.62684,2,6,12,5,334.46963148936,305.656,328.325988744082,340.700478667847,"no"
"OG0000012",21.139186,26.501665,12.426527,14.065921,378.302,492,329.121,352,2753.38971786104,2469.07542232875,2799.61232032949,2774.09837536817,"no"
"OG0000013",113.561805,122.514329,82.612847,83.101494,3440.6,4068.191,3579.331,3161.612,4661.42575273086,4416.28281904997,4579.80193560321,4217.42349529155,"no"
"OG0000014",11.955378,11.730633,6.485095,14.447999,61,91,60,92,785.024942074604,1031.72118211651,977.973625286908,705.874637460869,"no"
"OG0000016",187.096761,286.72501,116.951289,99.580165,2929,5545.94,2464.387,2189.388,2408.62908268423,2572.4799993917,2227.38932867173,2437.23373282253,"no"
"OG0000017",118.190493,138.294137,62.210682,57.473262,3115.267,3884.649,2273.086,1763.345,4055.36129612164,3735.85900282578,3862.27489055528,3401.09406362809,"no"
"OG0000018",114.546555,74.574668,43.76552,61.515266,821,579,445,538,1102.75205039971,1032.59409780847,1074.78167543916,969.497597041099,"no"
"OG0000019",190.678645,201.081876,96.688656,160.189917,3429,5586.112,2861.992,2967.011,2766.82858260316,3694.69899130959,3128.85393249785,2053.20040250514,"no"
"OG0000021",236.625683,148.851461,54.65714,150.970085,847,893.016,475.975,856.287,550.729482052741,797.900309026453,920.512218689946,628.746892229279,"no"
"OG0000023",10328.27294,10754.747522,5378.217626,6114.629548,93625.837,113636.049,71039.996,75749.33,1394.71276242031,1405.26513281908,1396.22965340271,1373.27026453652,"no"
"OG0000024",44.143093,54.159571,25.39733,32.608699,1127.124,1703.003,960,1082.017,3928.49053607802,4181.98595864194,3995.54082262041,3678.30831048267,"no"
"OG0000025",431.850215,580.067553,256.884823,287.047213,5589.109,9139.291,4190.945,4697.881,1991.25210731603,2095.44520757577,1724.51053319482,1814.2453632288,"no"
"OG0000026",13.511053,10.81308,4.868915,6.594017,413.998,389,210,294.447,4714.39954761002,4784.56968918384,4559.10399506564,4949.99490200116,"no"
"OG0000027",51.634617,57.891806,54.52936,34.283173,240.046,322.591,325.074,220.559,715.270036160218,741.102189850149,630.149643409074,713.165813097755,"no"
"OG0000029",0.208932,0.534637,0.430118,1.551961,1,3,3,10,736.395,746.284,737.269,714.277,"no"
"OG0000030",33.280135,39.207814,10.103157,15.513746,391,436,87,138,1807.62559793477,1478.95944769433,910.238506637579,986.074478565976,"no"
"OG0000032",2.224898,3.740247,3.963524,2.396104,5,10,13,7,345.762,355.584,346.7,323.847,"no"
"OG0000033",153.158268,152.191158,66.895086,86.703849,2207.002,2546,1432,1775,2217.06842227976,2224.90448966077,2262.7738666056,2269.38093743881,"no"
"OG0000034",342.57269,338.896878,181.206583,223.210597,6435.408,7345.875,4702,5408.15,2890.28173822995,2882.82530849107,2742.84340125248,2685.84707052419,"no"
"OG0000035",201.623549,278.593243,95.910385,107.047511,3830.412,6454,2471.997,2940.237,2922.94784191641,3081.06451271327,2724.42368053833,3044.76051372515,"no"
"OG0000036",130.387019,109.297805,78.199962,90.198487,2323.038,2617.873,1979.001,2216.261,2741.18734873335,3185.51458017016,2675.04953723763,2723.76058016027,"no"
"OG0000037",0.36477,0,0,0,4,0,0,0,1687.16381596623,1687.16381596623,1687.16381596623,1687.16381596623,"no"
"OG0000038",9.545221,5.529257,3.300118,4.081064,132.528,111,82,97.148,2136.18111039441,2669.92223710853,2626.49568462158,2638.80595911458,"no"
