OG,Cnat_Orthofinder_input
OG0000000,"TRINITY_DN116544_c0_g1_i1.p2, TRINITY_DN128641_c0_g1_i1.p1, TRINITY_DN154498_c0_g1_i1.p1, TRINITY_DN160996_c1_g1_i1.p1, TRINITY_DN162166_c0_g1_i1.p1, TRINITY_DN172402_c1_g1_i1.p1, TRINITY_DN178345_c0_g1_i1.p1, TRINITY_DN187109_c0_g1_i1.p1, TRINITY_DN19126_c0_g1_i1.p1, TRINITY_DN200241_c1_g1_i1.p1, TRINITY_DN202085_c2_g1_i1.p2, TRINITY_DN209493_c1_g1_i1.p1, TRINITY_DN212637_c0_g1_i3.p1, TRINITY_DN214580_c0_g2_i1.p1, TRINITY_DN225256_c0_g1_i1.p1, TRINITY_DN243118_c0_g2_i1.p1, TRINITY_DN248878_c0_g1_i7.p2, TRINITY_DN251392_c2_g1_i8.p2, TRINITY_DN251392_c2_g8_i3.p1, TRINITY_DN251392_c5_g1_i1.p1, TRINITY_DN255337_c6_g5_i1.p1, TRINITY_DN255398_c6_g2_i1.p1, TRINITY_DN255398_c6_g7_i3.p1, TRINITY_DN255398_c6_g9_i3.p1, TRINITY_DN255473_c0_g1_i17.p1, TRINITY_DN255507_c9_g1_i3.p2, TRINITY_DN256681_c0_g1_i2.p1, TRINITY_DN257118_c7_g1_i1.p1, TRINITY_DN257207_c12_g8_i1.p1, TRINITY_DN257272_c2_g1_i2.p1, TRINITY_DN257272_c8_g2_i1.p1, TRINITY_DN257272_c8_g3_i1.p1, TRINITY_DN258600_c3_g1_i3.p1, TRINITY_DN259994_c0_g2_i1.p1, TRINITY_DN259994_c1_g1_i2.p1, TRINITY_DN260012_c8_g7_i1.p1, TRINITY_DN260029_c7_g4_i2.p4, TRINITY_DN260224_c8_g2_i4.p1, TRINITY_DN260224_c8_g5_i1.p1, TRINITY_DN260224_c9_g1_i2.p1, TRINITY_DN260521_c6_g5_i2.p1, TRINITY_DN260790_c7_g1_i11.p1, TRINITY_DN260824_c1_g6_i1.p1, TRINITY_DN261392_c10_g2_i1.p1, TRINITY_DN261704_c3_g2_i1.p1, TRINITY_DN261768_c5_g11_i1.p1, TRINITY_DN261768_c5_g2_i2.p1, TRINITY_DN261809_c5_g11_i1.p1, TRINITY_DN261809_c5_g3_i1.p1, TRINITY_DN261809_c5_g5_i1.p1, TRINITY_DN261954_c4_g11_i2.p1, TRINITY_DN261954_c4_g12_i1.p1, TRINITY_DN261954_c4_g16_i1.p1, TRINITY_DN261954_c4_g18_i1.p1, TRINITY_DN261954_c4_g6_i1.p2, TRINITY_DN261954_c4_g8_i1.p1, TRINITY_DN262125_c7_g1_i1.p1, TRINITY_DN262296_c4_g1_i2.p2, TRINITY_DN262332_c10_g7_i1.p1, TRINITY_DN262558_c3_g1_i2.p1, TRINITY_DN262558_c4_g1_i4.p1, TRINITY_DN262558_c4_g3_i2.p1, TRINITY_DN263062_c10_g2_i7.p1, TRINITY_DN263062_c6_g1_i2.p1, TRINITY_DN263479_c8_g2_i1.p1, TRINITY_DN263479_c9_g1_i2.p1, TRINITY_DN263479_c9_g4_i1.p1, TRINITY_DN263582_c8_g1_i1.p1, TRINITY_DN263605_c3_g1_i1.p1, TRINITY_DN264196_c4_g4_i4.p1, TRINITY_DN264196_c5_g1_i1.p1, TRINITY_DN264287_c2_g1_i1.p1, TRINITY_DN264287_c5_g8_i1.p1, TRINITY_DN264715_c0_g1_i1.p1, TRINITY_DN265160_c7_g1_i4.p1, TRINITY_DN265872_c0_g2_i5.p1, TRINITY_DN265872_c0_g3_i1.p1, TRINITY_DN266203_c10_g2_i2.p1, TRINITY_DN266203_c11_g1_i1.p1, TRINITY_DN266355_c12_g1_i2.p1, TRINITY_DN266355_c12_g6_i1.p1, TRINITY_DN266355_c13_g2_i1.p1, TRINITY_DN266438_c4_g1_i1.p1, TRINITY_DN266438_c5_g4_i1.p1, TRINITY_DN266879_c11_g1_i1.p1, TRINITY_DN266879_c4_g5_i2.p1, TRINITY_DN267236_c10_g1_i1.p1, TRINITY_DN267257_c6_g2_i1.p1, TRINITY_DN267257_c7_g1_i5.p1, TRINITY_DN267257_c7_g5_i7.p1, TRINITY_DN267269_c6_g3_i1.p1, TRINITY_DN267859_c10_g1_i1.p1, TRINITY_DN267859_c11_g1_i1.p1, TRINITY_DN267913_c7_g2_i3.p1, TRINITY_DN267913_c7_g3_i1.p1, TRINITY_DN267913_c7_g5_i1.p1, TRINITY_DN268130_c14_g1_i1.p1, TRINITY_DN268906_c11_g1_i1.p1, TRINITY_DN268906_c8_g2_i1.p2, TRINITY_DN269117_c8_g6_i1.p1, TRINITY_DN269117_c8_g7_i1.p1, TRINITY_DN269516_c8_g3_i1.p1, TRINITY_DN269516_c8_g6_i1.p1, TRINITY_DN269807_c7_g1_i7.p1, TRINITY_DN269849_c6_g2_i3.p1, TRINITY_DN270880_c4_g2_i1.p1, TRINITY_DN270880_c6_g2_i4.p1, TRINITY_DN271701_c2_g4_i1.p1, TRINITY_DN271701_c3_g1_i8.p2, TRINITY_DN272278_c13_g1_i1.p1, TRINITY_DN272278_c7_g2_i1.p1, TRINITY_DN272278_c8_g2_i1.p1, TRINITY_DN272278_c8_g4_i1.p1, TRINITY_DN272278_c9_g2_i1.p1, TRINITY_DN272483_c6_g3_i2.p1, TRINITY_DN272628_c15_g1_i1.p1, TRINITY_DN272628_c2_g1_i1.p1, TRINITY_DN272628_c5_g2_i1.p3, TRINITY_DN272628_c5_g3_i1.p2, TRINITY_DN273541_c4_g1_i1.p2, TRINITY_DN275446_c8_g1_i1.p1, TRINITY_DN275681_c9_g2_i1.p1, TRINITY_DN275681_c9_g3_i1.p1, TRINITY_DN277964_c5_g4_i3.p1, TRINITY_DN278242_c3_g6_i8.p1, TRINITY_DN279125_c2_g1_i1.p1, TRINITY_DN279125_c5_g1_i1.p1, TRINITY_DN279125_c8_g3_i1.p1, TRINITY_DN279125_c9_g1_i1.p1, TRINITY_DN279251_c0_g1_i3.p1, TRINITY_DN279251_c3_g5_i2.p1, TRINITY_DN279686_c2_g1_i11.p1, TRINITY_DN279686_c2_g3_i1.p1, TRINITY_DN280545_c0_g1_i1.p1, TRINITY_DN280933_c0_g2_i1.p1, TRINITY_DN281481_c5_g7_i1.p1, TRINITY_DN282668_c0_g2_i3.p1, TRINITY_DN283053_c14_g1_i1.p1, TRINITY_DN283053_c7_g1_i3.p1, TRINITY_DN283103_c2_g2_i1.p1, TRINITY_DN283103_c5_g2_i2.p1, TRINITY_DN283103_c7_g2_i5.p1, TRINITY_DN283103_c7_g3_i1.p1, TRINITY_DN283103_c7_g4_i5.p1, TRINITY_DN283931_c7_g1_i1.p1, TRINITY_DN284070_c5_g1_i9.p1, TRINITY_DN284070_c5_g8_i1.p1, TRINITY_DN284117_c2_g3_i5.p1, TRINITY_DN284117_c5_g1_i1.p1, TRINITY_DN284923_c2_g4_i4.p1, TRINITY_DN285905_c7_g2_i2.p1, TRINITY_DN287154_c0_g3_i3.p1, TRINITY_DN287261_c7_g8_i3.p1, TRINITY_DN289427_c4_g3_i2.p1, TRINITY_DN289427_c8_g1_i1.p1, TRINITY_DN292610_c5_g1_i1.p1, TRINITY_DN292722_c2_g9_i1.p1, TRINITY_DN293361_c2_g4_i1.p1, TRINITY_DN293929_c1_g13_i1.p1, TRINITY_DN293929_c1_g4_i2.p2, TRINITY_DN293929_c7_g1_i1.p1, TRINITY_DN295416_c7_g5_i1.p1, TRINITY_DN295416_c8_g1_i1.p1, TRINITY_DN296609_c7_g3_i1.p1, TRINITY_DN296645_c4_g8_i2.p1, TRINITY_DN298225_c3_g1_i1.p1, TRINITY_DN298225_c5_g4_i1.p2, TRINITY_DN298273_c10_g1_i1.p1, TRINITY_DN298273_c14_g1_i1.p2, TRINITY_DN298273_c1_g1_i1.p1, TRINITY_DN298273_c6_g1_i1.p1, TRINITY_DN298273_c7_g3_i1.p1, TRINITY_DN300267_c1_g1_i1.p1, TRINITY_DN304925_c1_g2_i2.p1, TRINITY_DN330016_c0_g1_i1.p1, TRINITY_DN344254_c0_g1_i1.p1, TRINITY_DN35797_c0_g1_i1.p1, TRINITY_DN383983_c0_g1_i1.p1, TRINITY_DN410044_c0_g1_i1.p1, TRINITY_DN411430_c0_g1_i1.p1, TRINITY_DN451405_c0_g1_i1.p1, TRINITY_DN465767_c0_g1_i1.p1, TRINITY_DN48827_c0_g2_i1.p1, TRINITY_DN511517_c0_g1_i1.p1, TRINITY_DN535539_c0_g1_i2.p1, TRINITY_DN595828_c0_g1_i1.p1, TRINITY_DN623091_c0_g1_i1.p1, TRINITY_DN636678_c0_g1_i1.p1, TRINITY_DN638430_c0_g1_i1.p1, TRINITY_DN658311_c0_g1_i1.p1, TRINITY_DN81001_c0_g1_i1.p2"
OG0000001,"TRINITY_DN132040_c0_g1_i1.p1, TRINITY_DN153985_c0_g1_i1.p1, TRINITY_DN161703_c0_g1_i2.p1, TRINITY_DN234854_c0_g1_i1.p1, TRINITY_DN293539_c0_g2_i2.p1, TRINITY_DN294854_c2_g3_i13.p1, TRINITY_DN295640_c0_g2_i10.p1, TRINITY_DN299465_c0_g1_i1.p1, TRINITY_DN301247_c0_g1_i2.p1, TRINITY_DN301247_c0_g2_i2.p1, TRINITY_DN302828_c3_g1_i2.p1, TRINITY_DN303530_c0_g1_i13.p1, TRINITY_DN304830_c3_g2_i1.p2, TRINITY_DN307781_c0_g1_i5.p1, TRINITY_DN308454_c3_g1_i8.p1, TRINITY_DN310122_c0_g1_i12.p1, TRINITY_DN310910_c0_g1_i6.p1, TRINITY_DN310999_c0_g1_i8.p1, TRINITY_DN312678_c3_g1_i13.p1, TRINITY_DN313888_c1_g1_i9.p1, TRINITY_DN314540_c2_g1_i1.p1, TRINITY_DN316328_c1_g1_i2.p1, TRINITY_DN317407_c2_g2_i1.p2, TRINITY_DN318615_c12_g1_i4.p1, TRINITY_DN318615_c12_g1_i4.p2, TRINITY_DN399464_c0_g1_i1.p1"
OG0000002,"TRINITY_DN107148_c0_g1_i1.p1, TRINITY_DN122012_c0_g1_i1.p1, TRINITY_DN122680_c0_g1_i1.p1, TRINITY_DN172733_c0_g1_i1.p1, TRINITY_DN180168_c0_g1_i2.p1, TRINITY_DN195270_c0_g1_i1.p1, TRINITY_DN221119_c0_g1_i2.p1, TRINITY_DN243343_c0_g3_i1.p2, TRINITY_DN261136_c1_g5_i2.p1, TRINITY_DN261756_c1_g4_i10.p1, TRINITY_DN261756_c1_g7_i2.p1, TRINITY_DN261756_c5_g1_i1.p1, TRINITY_DN262049_c0_g4_i2.p1, TRINITY_DN264477_c4_g1_i3.p1, TRINITY_DN267208_c1_g1_i1.p1, TRINITY_DN267208_c2_g1_i2.p1, TRINITY_DN267208_c2_g2_i2.p1, TRINITY_DN267208_c3_g15_i1.p1, TRINITY_DN267208_c3_g9_i1.p1, TRINITY_DN272644_c4_g1_i1.p1, TRINITY_DN275991_c2_g2_i1.p1, TRINITY_DN279827_c1_g1_i1.p1, TRINITY_DN279827_c2_g1_i1.p1, TRINITY_DN279827_c2_g3_i1.p1, TRINITY_DN279827_c2_g5_i1.p1, TRINITY_DN282208_c0_g1_i12.p1, TRINITY_DN285033_c1_g1_i11.p1, TRINITY_DN288669_c0_g1_i1.p2, TRINITY_DN294451_c1_g5_i4.p1, TRINITY_DN450725_c0_g1_i1.p1, TRINITY_DN462153_c0_g1_i1.p1, TRINITY_DN472209_c0_g1_i1.p1, TRINITY_DN5196_c0_g1_i1.p1"
OG0000003,"TRINITY_DN123275_c0_g1_i1.p1, TRINITY_DN189174_c0_g1_i1.p1, TRINITY_DN198764_c0_g1_i2.p1, TRINITY_DN230904_c0_g1_i1.p1, TRINITY_DN238158_c0_g1_i1.p1, TRINITY_DN253024_c1_g2_i2.p1, TRINITY_DN253089_c0_g1_i2.p2, TRINITY_DN269286_c1_g2_i5.p1, TRINITY_DN276018_c0_g1_i5.p1, TRINITY_DN278482_c1_g4_i2.p1, TRINITY_DN281262_c0_g2_i1.p1, TRINITY_DN283183_c2_g3_i2.p1, TRINITY_DN288289_c0_g2_i10.p1, TRINITY_DN294305_c1_g2_i5.p1, TRINITY_DN294784_c0_g3_i1.p2, TRINITY_DN295589_c1_g1_i2.p1, TRINITY_DN300500_c0_g2_i6.p1, TRINITY_DN302124_c0_g1_i2.p1, TRINITY_DN303958_c0_g1_i4.p1, TRINITY_DN304145_c0_g2_i1.p1, TRINITY_DN309111_c0_g1_i7.p1, TRINITY_DN309276_c0_g1_i3.p1, TRINITY_DN309926_c1_g3_i1.p1, TRINITY_DN311040_c0_g1_i4.p2, TRINITY_DN313360_c1_g1_i9.p1, TRINITY_DN313490_c3_g1_i4.p1, TRINITY_DN314880_c1_g1_i2.p1, TRINITY_DN315523_c1_g1_i3.p1, TRINITY_DN317771_c5_g1_i3.p1, TRINITY_DN317848_c3_g1_i11.p1, TRINITY_DN318202_c5_g1_i1.p1, TRINITY_DN318239_c7_g1_i4.p1"
OG0000004,"TRINITY_DN279482_c5_g2_i1.p1, TRINITY_DN294940_c0_g3_i3.p1, TRINITY_DN295753_c0_g5_i3.p1, TRINITY_DN299442_c3_g1_i6.p1, TRINITY_DN299577_c2_g3_i2.p1, TRINITY_DN302971_c3_g5_i4.p1, TRINITY_DN303973_c4_g1_i4.p1, TRINITY_DN309048_c1_g5_i2.p1, TRINITY_DN314219_c0_g1_i9.p1, TRINITY_DN314669_c1_g4_i1.p1, TRINITY_DN318385_c10_g2_i6.p1, TRINITY_DN318572_c4_g1_i10.p1, TRINITY_DN318572_c4_g1_i10.p2, TRINITY_DN318572_c5_g1_i13.p1"
OG0000005,"TRINITY_DN260527_c1_g3_i4.p1, TRINITY_DN268706_c3_g2_i1.p1, TRINITY_DN269781_c0_g1_i4.p1, TRINITY_DN273683_c1_g1_i1.p2, TRINITY_DN273683_c3_g4_i4.p1, TRINITY_DN276270_c5_g12_i1.p2, TRINITY_DN286679_c1_g3_i2.p1, TRINITY_DN302820_c0_g2_i2.p1, TRINITY_DN311947_c4_g1_i3.p1"
OG0000006,"TRINITY_DN168560_c0_g1_i1.p1, TRINITY_DN265429_c3_g1_i8.p2, TRINITY_DN268167_c1_g9_i1.p1, TRINITY_DN268167_c2_g3_i1.p1, TRINITY_DN271660_c1_g1_i7.p1, TRINITY_DN271706_c4_g1_i5.p1, TRINITY_DN272089_c0_g3_i8.p1, TRINITY_DN283909_c3_g1_i2.p1, TRINITY_DN283909_c3_g2_i5.p1, TRINITY_DN290690_c1_g2_i3.p1, TRINITY_DN292360_c1_g1_i5.p1, TRINITY_DN294222_c1_g1_i3.p1, TRINITY_DN295944_c0_g2_i1.p1, TRINITY_DN295944_c0_g3_i4.p1, TRINITY_DN296317_c2_g2_i4.p3, TRINITY_DN297641_c5_g4_i2.p1, TRINITY_DN303120_c2_g1_i5.p1, TRINITY_DN305428_c3_g2_i12.p1, TRINITY_DN307552_c0_g5_i3.p1, TRINITY_DN308640_c0_g2_i3.p1, TRINITY_DN313875_c3_g1_i8.p1, TRINITY_DN315505_c3_g2_i1.p1, TRINITY_DN315563_c3_g2_i18.p1, TRINITY_DN315563_c3_g4_i2.p1, TRINITY_DN315855_c1_g1_i5.p1, TRINITY_DN316612_c8_g2_i21.p1"
OG0000007,"TRINITY_DN106817_c0_g1_i1.p1, TRINITY_DN215280_c0_g1_i2.p1, TRINITY_DN256319_c1_g1_i2.p1, TRINITY_DN264323_c4_g5_i1.p1, TRINITY_DN264323_c5_g1_i4.p1, TRINITY_DN264323_c5_g8_i1.p1, TRINITY_DN264323_c7_g1_i1.p1, TRINITY_DN267031_c0_g2_i4.p1, TRINITY_DN267031_c4_g1_i1.p1, TRINITY_DN268921_c5_g6_i1.p1, TRINITY_DN268921_c7_g2_i4.p2, TRINITY_DN274034_c4_g8_i1.p2, TRINITY_DN277129_c2_g19_i1.p1, TRINITY_DN277129_c2_g21_i1.p1, TRINITY_DN277129_c2_g6_i1.p1, TRINITY_DN281246_c2_g3_i7.p1, TRINITY_DN281246_c2_g8_i1.p1, TRINITY_DN284570_c1_g3_i1.p1, TRINITY_DN284570_c1_g6_i1.p1, TRINITY_DN284570_c3_g2_i5.p1, TRINITY_DN289946_c6_g2_i2.p1, TRINITY_DN291830_c2_g3_i1.p1, TRINITY_DN291830_c2_g5_i1.p1, TRINITY_DN291830_c3_g2_i3.p1, TRINITY_DN301411_c5_g4_i1.p1, TRINITY_DN301411_c6_g7_i2.p1, TRINITY_DN482477_c0_g1_i1.p1, TRINITY_DN539848_c0_g1_i1.p1, TRINITY_DN606837_c0_g1_i1.p1"
OG0000008,"TRINITY_DN249094_c6_g2_i1.p1, TRINITY_DN269260_c0_g1_i2.p1, TRINITY_DN269569_c1_g2_i2.p1, TRINITY_DN411124_c0_g1_i1.p1, TRINITY_DN634520_c0_g1_i1.p1"
OG0000009,"TRINITY_DN222206_c1_g1_i1.p1, TRINITY_DN295309_c0_g1_i2.p1, TRINITY_DN304480_c0_g2_i1.p1, TRINITY_DN317823_c2_g1_i1.p1"
