Contig,Orthogroup
Mcav_DN23052_c0_g1_i1,OG0029688
Mcav_DN23096_c0_g1_i4,OG0029689
Mcav_DN229200_c0_g1_i1,OG0029680
Mcav_DN54112_c0_g2_i1,OG0029680
Mcav_DN22924_c0_g1_i1,OG0029681
Mcav_DN22927_c0_g1_i1,OG0029682
Mcav_DN22957_c3_g2_i2,OG0029683
Mcav_DN255919_c0_g1_i2,OG0029683
Mcav_DN22965_c0_g1_i5,OG0029684
Mcav_DN22967_c0_g1_i6,OG0029685
Mcav_DN22985_c0_g1_i9,OG0029686
Mcav_DN23023_c0_g1_i19,OG0029687
0,OG0013478
Mcav_DN53574_c0_g1_i2,OG0013479
Mcav_DN93071_c0_g2_i2,OG0013479
Mcav_DN19675_c0_g1_i1,OG0013476
Mcav_DN73706_c0_g1_i2,OG0013477
Mcav_DN147746_c0_g1_i2,OG0013474
Mcav_DN202583_c0_g1_i1,OG0013475
Mcav_DN50184_c0_g1_i2,OG0013475
Mcav_DN103334_c0_g2_i1,OG0013472
Mcav_DN9223_c0_g1_i1,OG0013473
Mcav_DN392305_c0_g1_i1,OG0013470
Mcav_DN3401_c0_g3_i2,OG0013471
Mcav_DN8628_c0_g1_i2,OG0010921
Mcav_DN31043_c1_g2_i4,OG0010920
Mcav_DN712_c0_g2_i1,OG0010923
0,OG0010922
Mcav_DN23361_c0_g1_i3,OG0010925
Mcav_DN37554_c0_g1_i1,OG0010924
Mcav_DN35553_c0_g1_i4,OG0010927
Mcav_DN6334_c0_g2_i3,OG0010926
Mcav_DN70622_c0_g2_i5,OG0010929
Mcav_DN12940_c0_g1_i2,OG0010928
Mcav_DN11856_c0_g1_i2,OG0015739
Mcav_DN15083_c0_g1_i2,OG0015738
Mcav_DN48669_c0_g1_i1,OG0043716
Mcav_DN48670_c0_g1_i2,OG0043717
Mcav_DN48655_c0_g1_i1,OG0043714
Mcav_DN48659_c0_g1_i9,OG0043715
Mcav_DN249237_c0_g1_i1,OG0040063
Mcav_DN51119_c0_g1_i6,OG0043885
Mcav_DN17141_c0_g1_i2,OG0016181
Mcav_DN40537_c0_g1_i4,OG0016180
0,OG0016183
Mcav_DN32985_c0_g3_i1,OG0016182
Mcav_DN22861_c1_g1_i2,OG0016185
Mcav_DN13281_c0_g1_i2,OG0016184
0,OG0016187
0,OG0016186
Mcav_DN18372_c1_g1_i7,OG0016189
