Orthogroup,Contig
OG0029688,0
OG0029689,0
OG0029680,0
OG0029681,0
OG0029682,0
OG0029683,0
OG0029684,0
OG0029685,0
OG0029686,0
OG0029687,0
OG0013478,Cnat_DN2077_c0_g1_i1.p3
OG0013478,Cnat_DN483913_c0_g1_i1.p1
OG0013478,Cnat_DN87517_c0_g1_i2.p1
OG0013478,Cnat_DN87875_c0_g1_i1.p1
OG0013479,Cnat_DN207833_c0_g1_i3.p1
OG0013476,Cnat_DN207706_c0_g1_i1.p1
OG0013477,Cnat_DN207760_c0_g1_i1.p1
OG0013474,Cnat_DN20717_c0_g1_i1.p1
OG0013475,Cnat_DN207392_c0_g1_i1.p1
OG0013472,Cnat_DN206987_c0_g1_i1.p1
OG0013472,Cnat_DN281955_c1_g3_i10.p1
OG0013473,Cnat_DN207028_c0_g1_i4.p2
OG0013470,Cnat_DN206729_c0_g1_i1.p1
OG0013470,Cnat_DN579192_c0_g1_i1.p1
OG0013471,Cnat_DN206739_c0_g1_i1.p1
OG0010921,Cnat_DN307483_c2_g6_i2.p1
OG0010920,Cnat_DN307482_c1_g2_i15.p1
OG0010920,Cnat_DN307482_c1_g2_i15.p2
OG0010923,Cnat_DN307505_c1_g1_i5.p1
OG0010922,Cnat_DN307491_c0_g1_i3.p1
OG0010922,Cnat_DN317623_c2_g1_i1.p1
OG0010925,Cnat_DN307535_c0_g1_i2.p1
OG0010924,Cnat_DN307532_c1_g1_i8.p1
OG0010924,Cnat_DN312072_c2_g1_i2.p1
OG0010927,Cnat_DN307555_c0_g3_i7.p1
OG0010926,Cnat_DN307544_c0_g1_i1.p1
OG0010929,Cnat_DN307560_c0_g2_i4.p1
OG0010928,Cnat_DN307558_c2_g1_i12.p1
OG0015739,Cnat_DN282872_c0_g1_i4.p1
OG0015738,Cnat_DN282869_c0_g1_i4.p1
OG0043716,0
OG0043717,0
OG0043714,0
OG0043715,0
OG0040063,0
OG0043885,0
OG0016181,Cnat_DN292448_c0_g3_i3.p1
OG0016180,Cnat_DN292445_c2_g8_i1.p1
OG0016183,Cnat_DN292469_c1_g1_i2.p1
OG0016182,Cnat_DN292463_c0_g2_i2.p2
OG0016185,Cnat_DN292524_c1_g1_i1.p1
OG0016184,Cnat_DN292503_c1_g3_i5.p1
OG0016187,Cnat_DN292572_c0_g11_i1.p1
OG0016187,Cnat_DN294732_c0_g4_i1.p1
OG0016186,Cnat_DN292564_c0_g1_i4.p1
OG0016189,Cnat_DN292592_c0_g1_i5.p1
OG0016188,Cnat_DN292577_c1_g1_i14.p2
OG0023057,Cnat_DN255488_c0_g1_i2.p1
OG0023056,Cnat_DN255483_c6_g3_i2.p1
OG0023055,Cnat_DN255433_c1_g6_i1.p1
OG0023054,Cnat_DN255405_c1_g1_i4.p1
OG0023053,Cnat_DN255401_c0_g1_i1.p1
OG0023052,Cnat_DN255396_c1_g1_i1.p1
OG0023051,Cnat_DN255390_c0_g2_i1.p2
OG0023050,Cnat_DN255383_c0_g2_i4.p1
OG0036802,0
OG0036803,0
OG0036800,0
OG0036801,0
OG0028089,Cnat_DN8908_c0_g1_i1.p1
OG0028088,Cnat_DN89047_c0_g1_i1.p1
OG0023059,Cnat_DN255526_c0_g1_i1.p1
OG0023058,Cnat_DN255521_c0_g1_i1.p1
OG0008878,Cnat_DN265077_c0_g1_i8.p1
OG0008878,Cnat_DN497434_c0_g1_i1.p1
OG0008879,Cnat_DN265087_c2_g4_i1.p1
OG0008876,Cnat_DN264986_c0_g1_i2.p1
OG0008877,Cnat_DN265070_c0_g1_i4.p1
OG0008877,Cnat_DN294533_c0_g1_i3.p1
OG0008877,Cnat_DN312402_c1_g2_i4.p1
OG0008874,Cnat_DN264983_c0_g1_i2.p1
OG0008875,Cnat_DN264984_c0_g1_i8.p1
