Orthogroup,Ofav_contig
OG0000000,
OG0000001,
OG0000002,"XP_020606553.1, XP_020607294.1, XP_020610720.1, XP_020613766.1, XP_020613767.1, XP_020615111.1, XP_020620485.1, XP_020620942.1, XP_020621734.1, XP_020624187.1, XP_020627074.1, XP_020628246.1"
OG0000003,"XP_020603082.1, XP_020628220.1"
OG0000004,"XP_020605042.1, XP_020606146.1, XP_020607676.1, XP_020608992.1, XP_020610511.1, XP_020610513.1, XP_020611958.1, XP_020614399.1, XP_020614450.1, XP_020614451.1, XP_020614453.1, XP_020614485.1, XP_020615571.1, XP_020619584.1, XP_020621918.1, XP_020621919.1, XP_020622305.1, XP_020622382.1, XP_020622383.1, XP_020622652.1, XP_020622678.1, XP_020622696.1, XP_020622707.1, XP_020628971.1, XP_020629811.1, XP_020629815.1, XP_020629856.1, XP_020629861.1, XP_020629870.1, XP_020630372.1"
OG0000005,
OG0000006,
OG0000007,"XP_020602983.1, XP_020605821.1, XP_020605822.1, XP_020605935.1, XP_020605938.1, XP_020606870.1, XP_020606871.1, XP_020608128.1, XP_020608130.1, XP_020608243.1, XP_020608311.1, XP_020609678.1, XP_020610632.1, XP_020610633.1, XP_020613055.1, XP_020613057.1, XP_020614338.1, XP_020614339.1, XP_020614434.1, XP_020614465.1, XP_020614486.1, XP_020617310.1, XP_020617312.1, XP_020617313.1, XP_020617317.1, XP_020617322.1, XP_020617991.1, XP_020619932.1, XP_020619936.1, XP_020619944.1, XP_020620828.1, XP_020620843.1, XP_020623380.1, XP_020623536.1, XP_020623683.1"
OG0000008,"XP_020600787.1, XP_020604937.1, XP_020614054.1, XP_020615925.1, XP_020621168.1, XP_020624102.1"
OG0000009,
OG0000010,
OG0000011,
OG0000012,"XP_020607856.1, XP_020607878.1, XP_020607879.1, XP_020609582.1, XP_020609583.1, XP_020614402.1, XP_020617222.1, XP_020617223.1, XP_020623442.1, XP_020623472.1, XP_020623473.1, XP_020623488.1, XP_020623490.1, XP_020624679.1, XP_020625308.1"
OG0000013,
OG0000014,"XP_020600970.1, XP_020603239.1, XP_020607853.1, XP_020607868.1, XP_020607873.1, XP_020607887.1, XP_020609722.1, XP_020613998.1, XP_020617049.1, XP_020621042.1, XP_020621051.1, XP_020622737.1, XP_020622757.1, XP_020623900.1, XP_020623992.1, XP_020623994.1, XP_020628450.1, XP_020628457.1, XP_020628792.1, XP_020631056.1, XP_020631094.1, XP_020631162.1, XP_020631163.1"
OG0000015,"XP_020609845.1, XP_020615626.1, XP_020617550.1, XP_020625151.1, XP_020627920.1"
OG0000016,"XP_020601812.1, XP_020601820.1, XP_020601821.1, XP_020602931.1, XP_020606721.1, XP_020607942.1, XP_020609978.1, XP_020613594.1, XP_020616937.1, XP_020616938.1, XP_020617993.1, XP_020619700.1, XP_020621155.1, XP_020621157.1, XP_020621158.1, XP_020622693.1, XP_020622720.1, XP_020630610.1, XP_020630611.1, XP_020630612.1, XP_020630624.1, XP_020630721.1, XP_020630723.1, XP_020632631.1"
OG0000017,
OG0000018,"XP_020601404.1, XP_020602665.1, XP_020602666.1, XP_020614667.1, XP_020614733.1, XP_020614744.1, XP_020614775.1, XP_020614795.1, XP_020614876.1, XP_020619682.1, XP_020630023.1"
OG0000019,"XP_020603400.1, XP_020603601.1, XP_020606753.1, XP_020608557.1, XP_020610534.1, XP_020612741.1, XP_020613048.1, XP_020624578.1, XP_020632839.1"
OG0000020,"XP_020602241.1, XP_020618699.1, XP_020628218.1, XP_020630036.1, XP_020632969.1"
OG0000021,"XP_020600915.1, XP_020615115.1, XP_020615316.1, XP_020617309.1, XP_020619162.1, XP_020619420.1, XP_020620269.1, XP_020620891.1, XP_020628455.1, XP_020629758.1, XP_020629948.1, XP_020630390.1, XP_020631074.1"
OG0000022,"XP_020602630.1, XP_020605113.1, XP_020607693.1, XP_020607694.1, XP_020607695.1, XP_020607848.1, XP_020608410.1, XP_020608422.1, XP_020608572.1, XP_020609126.1, XP_020609127.1, XP_020610230.1, XP_020614202.1, XP_020614230.1, XP_020618459.1, XP_020618726.1, XP_020618745.1, XP_020618752.1, XP_020618753.1, XP_020618755.1, XP_020618757.1, XP_020618851.1, XP_020619060.1, XP_020619331.1, XP_020619630.1, XP_020619631.1, XP_020624448.1, XP_020625546.1, XP_020625592.1, XP_020625647.1, XP_020626409.1, XP_020626784.1, XP_020626864.1, XP_020626984.1, XP_020627857.1, XP_020629041.1, XP_020629043.1, XP_020632738.1, XP_020632860.1"
OG0000023,
OG0000024,"XP_020605694.1, XP_020605696.1, XP_020613183.1, XP_020614506.1, XP_020615317.1, XP_020625287.1, XP_020625288.1, XP_020625289.1, XP_020627814.1, XP_020629140.1, XP_020632857.1"
OG0000025,XP_020606605.1
OG0000026,"XP_020606105.1, XP_020606443.1, XP_020609977.1, XP_020611899.1, XP_020613012.1, XP_020615755.1, XP_020618615.1, XP_020624937.1, XP_020629497.1, XP_020629498.1"
OG0000027,"XP_020610237.1, XP_020614201.1, XP_020624227.1"
OG0000028,"XP_020620848.1, XP_020628375.1"
OG0000029,"XP_020606521.1, XP_020627253.1"
OG0000030,"XP_020601021.1, XP_020601022.1, XP_020601027.1, XP_020601030.1, XP_020601342.1, XP_020601558.1, XP_020612886.1, XP_020615341.1"
OG0000031,"XP_020600942.1, XP_020601432.1, XP_020609704.1, XP_020614968.1, XP_020617184.1, XP_020621358.1, XP_020624603.1, XP_020629772.1"
OG0000032,XP_020623853.1
OG0000033,
OG0000034,XP_020627573.1
OG0000035,
OG0000036,"XP_020607567.1, XP_020615070.1, XP_020617512.1, XP_020624860.1, XP_020631449.1, XP_020631744.1, XP_020632046.1"
OG0000037,
OG0000038,"XP_020600582.1, XP_020602842.1, XP_020604194.1, XP_020609523.1, XP_020618218.1, XP_020621562.1, XP_020623421.1, XP_020623437.1, XP_020623443.1, XP_020623480.1, XP_020623483.1, XP_020623487.1, XP_020623491.1, XP_020623493.1, XP_020623541.1, XP_020623642.1, XP_020626154.1, XP_020627741.1, XP_020627746.1, XP_020627762.1, XP_020627763.1, XP_020627776.1, XP_020627780.1, XP_020627783.1, XP_020627819.1"
OG0000039,"XP_020600743.1, XP_020600756.1, XP_020600757.1, XP_020600780.1, XP_020600791.1, XP_020600792.1, XP_020617249.1, XP_020621467.1, XP_020622758.1, XP_020623475.1, XP_020623486.1, XP_020623497.1, XP_020623600.1, XP_020625098.1, XP_020625170.1, XP_020625265.1, XP_020625674.1, XP_020631187.1, XP_020631244.1"
OG0000040,
OG0000041,"XP_020605029.1, XP_020609585.1, XP_020625488.1"
OG0000042,
OG0000043,"XP_020603111.1, XP_020603114.1, XP_020605017.1, XP_020605514.1, XP_020605515.1, XP_020606159.1, XP_020609958.1, XP_020611141.1, XP_020611415.1, XP_020611434.1, XP_020611456.1, XP_020611465.1, XP_020611475.1, XP_020611566.1, XP_020612077.1, XP_020615456.1, XP_020616434.1, XP_020616435.1, XP_020617610.1, XP_020617891.1, XP_020617892.1, XP_020619188.1, XP_020620877.1, XP_020620892.1, XP_020620993.1, XP_020620996.1, XP_020621026.1, XP_020622535.1, XP_020622537.1, XP_020622538.1, XP_020622541.1, XP_020622542.1, XP_020622543.1, XP_020622544.1, XP_020625076.1, XP_020628079.1, XP_020628315.1"
OG0000044,"XP_020600952.1, XP_020606567.1, XP_020608354.1, XP_020613930.1, XP_020621320.1, XP_020621321.1, XP_020621404.1, XP_020631909.1, XP_020631916.1, XP_020631918.1, XP_020631919.1, XP_020631928.1, XP_020631940.1, XP_020631941.1, XP_020631970.1"
OG0000045,"XP_020605727.1, XP_020605729.1, XP_020608359.1, XP_020608361.1, XP_020608369.1, XP_020608371.1, XP_020608372.1, XP_020608420.1, XP_020619491.1, XP_020627088.1, XP_020627089.1, XP_020627090.1, XP_020627094.1, XP_020631033.1"
OG0000046,"XP_020600918.1, XP_020600919.1, XP_020602485.1, XP_020605235.1, XP_020605262.1, XP_020610071.1, XP_020614811.1, XP_020614818.1, XP_020614889.1, XP_020622122.1, XP_020629444.1"
OG0000047,XP_020632769.1
OG0000048,XP_020625532.1
OG0000049,"XP_020611040.1, XP_020625409.1"
OG0000050,"XP_020603703.1, XP_020609371.1, XP_020615725.1, XP_020620856.1, XP_020621317.1"
OG0000051,"XP_020600399.1, XP_020600401.1, XP_020607832.1, XP_020609422.1, XP_020609664.1, XP_020610839.1, XP_020610970.1, XP_020610977.1, XP_020613559.1, XP_020613795.1, XP_020613812.1, XP_020613845.1, XP_020613902.1, XP_020615321.1, XP_020616666.1, XP_020621595.1, XP_020621599.1, XP_020625277.1, XP_020627835.1, XP_020627892.1"
OG0000052,"XP_020601424.1, XP_020605414.1, XP_020608799.1, XP_020611970.1, XP_020615618.1, XP_020620893.1, XP_020621942.1"
OG0000053,"XP_020601388.1, XP_020605274.1, XP_020625738.1, XP_020625897.1, XP_020625920.1"
OG0000054,"XP_020601190.1, XP_020614282.1, XP_020617657.1, XP_020617660.1, XP_020619965.1, XP_020619967.1, XP_020621135.1, XP_020621319.1, XP_020621344.1, XP_020621646.1, XP_020622285.1, XP_020624810.1"
OG0000055,"XP_020600599.1, XP_020601923.1, XP_020601924.1, XP_020601926.1, XP_020605160.1, XP_020606562.1, XP_020606606.1, XP_020617430.1, XP_020617452.1, XP_020617475.1, XP_020617520.1, XP_020622124.1, XP_020631138.1, XP_020631159.1"
OG0000056,"XP_020603549.1, XP_020617161.1, XP_020626232.1, XP_020629574.1, XP_020629649.1"
OG0000057,
OG0000058,
OG0000059,
OG0000060,"XP_020609316.1, XP_020622510.1, XP_020627716.1, XP_020627766.1, XP_020627767.1, XP_020627791.1, XP_020627793.1, XP_020627827.1, XP_020627829.1, XP_020627830.1, XP_020627832.1, XP_020631906.1, XP_020631907.1, XP_020631910.1, XP_020631911.1, XP_020631921.1, XP_020631922.1, XP_020631923.1, XP_020631924.1"
OG0000061,"XP_020602920.1, XP_020608013.1, XP_020614165.1"
OG0000062,"XP_020607032.1, XP_020616787.1"
OG0000063,"XP_020604991.1, XP_020606387.1, XP_020608552.1, XP_020608630.1, XP_020608690.1, XP_020615514.1, XP_020615535.1, XP_020628695.1"
OG0000064,"XP_020605358.1, XP_020607653.1, XP_020616141.1, XP_020622585.1, XP_020622586.1, XP_020622587.1, XP_020622588.1, XP_020622603.1, XP_020622609.1, XP_020622877.1"
OG0000065,"XP_020600803.1, XP_020601077.1, XP_020612729.1, XP_020616556.1, XP_020616573.1, XP_020619238.1"
OG0000066,
OG0000067,"XP_020600947.1, XP_020600957.1, XP_020600965.1, XP_020616083.1, XP_020621068.1, XP_020622982.1, XP_020628791.1, XP_020631095.1"
OG0000068,"XP_020609626.1, XP_020628000.1, XP_020629956.1"
OG0000069,"XP_020612104.1, XP_020612111.1, XP_020612121.1, XP_020612147.1, XP_020612148.1, XP_020612163.1, XP_020612175.1, XP_020612176.1, XP_020612177.1, XP_020612182.1, XP_020612183.1, XP_020612191.1, XP_020618487.1, XP_020628386.1"
OG0000070,"XP_020608917.1, XP_020628532.1"
OG0000071,
OG0000072,"XP_020615056.1, XP_020617742.1, XP_020617745.1, XP_020622496.1, XP_020625925.1"
OG0000073,"XP_020617814.1, XP_020621732.1, XP_020623988.1"
OG0000074,"XP_020601036.1, XP_020601172.1, XP_020601175.1, XP_020601346.1, XP_020602248.1, XP_020607897.1, XP_020612736.1, XP_020612737.1, XP_020616781.1, XP_020618591.1, XP_020619325.1, XP_020619838.1, XP_020620374.1, XP_020625662.1, XP_020629535.1, XP_020629943.1, XP_020629951.1"
OG0000075,"XP_020611052.1, XP_020624829.1, XP_020630867.1"
OG0000076,"XP_020608550.1, XP_020619456.1, XP_020619459.1, XP_020619460.1, XP_020619461.1, XP_020619466.1, XP_020619489.1"
OG0000077,"XP_020602884.1, XP_020603836.1, XP_020606661.1, XP_020608982.1, XP_020609113.1, XP_020609847.1, XP_020610333.1, XP_020610334.1, XP_020614718.1, XP_020618287.1, XP_020629863.1, XP_020629889.1, XP_020629910.1, XP_020632041.1, XP_020632239.1, XP_020632409.1"
OG0000078,"XP_020605498.1, XP_020614977.1, XP_020614981.1, XP_020617385.1, XP_020617389.1, XP_020626685.1, XP_020627919.1, XP_020627921.1, XP_020627923.1, XP_020627981.1"
OG0000079,"XP_020604654.1, XP_020616832.1, XP_020618493.1, XP_020618778.1"
OG0000080,XP_020624913.1
OG0000081,XP_020614709.1
OG0000082,"XP_020612564.1, XP_020619295.1, XP_020621386.1, XP_020629158.1"
OG0000083,"XP_020605257.1, XP_020607139.1"
OG0000084,"XP_020606189.1, XP_020608346.1, XP_020608471.1, XP_020610793.1, XP_020610794.1, XP_020611394.1, XP_020613209.1, XP_020613210.1, XP_020613241.1, XP_020613242.1, XP_020615961.1, XP_020618435.1, XP_020622697.1, XP_020626545.1, XP_020626590.1, XP_020626644.1, XP_020626654.1, XP_020632897.1"
OG0000085,"XP_020602885.1, XP_020614716.1, XP_020614717.1"
OG0000086,
OG0000087,XP_020631890.1
OG0000088,"XP_020601572.1, XP_020601573.1, XP_020609877.1, XP_020609882.1, XP_020611664.1, XP_020631633.1"
OG0000089,"XP_020602552.1, XP_020603818.1, XP_020603869.1, XP_020604201.1, XP_020604967.1, XP_020604971.1, XP_020604972.1, XP_020604973.1, XP_020604975.1, XP_020604977.1, XP_020604980.1, XP_020604981.1, XP_020616059.1, XP_020616202.1, XP_020616223.1, XP_020616245.1, XP_020616477.1, XP_020616478.1, XP_020623233.1, XP_020623244.1"
OG0000090,"XP_020602555.1, XP_020604332.1, XP_020617150.1, XP_020622636.1, XP_020625453.1, XP_020631593.1"
OG0000091,"XP_020607313.1, XP_020615930.1, XP_020616780.1"
OG0000092,XP_020621061.1
OG0000093,
OG0000094,"XP_020620617.1, XP_020620801.1"
OG0000095,"XP_020605787.1, XP_020611904.1"
OG0000096,XP_020621163.1
OG0000097,"XP_020617759.1, XP_020617793.1, XP_020617806.1, XP_020617820.1, XP_020617821.1, XP_020620849.1, XP_020620850.1, XP_020620851.1, XP_020630978.1, XP_020630988.1"
OG0000098,"XP_020601365.1, XP_020608347.1, XP_020613013.1, XP_020614049.1, XP_020620290.1, XP_020624356.1"
OG0000099,XP_020614924.1
OG0000100,"XP_020600400.1, XP_020600431.1, XP_020600517.1, XP_020609684.1, XP_020613521.1, XP_020613561.1"
OG0000101,
OG0000102,"XP_020609142.1, XP_020623690.1"
OG0000103,"XP_020631216.1, XP_020631217.1, XP_020631218.1, XP_020631220.1, XP_020631221.1, XP_020631226.1, XP_020632121.1, XP_020632264.1"
OG0000104,"XP_020609173.1, XP_020609175.1"
