Orthogroup,Contig
OG0029688,Ofav_DN230455_c0_g1_i2.p1
OG0029689,Ofav_DN118585_c0_g1_i5.p1
OG0029680,Ofav_DN38375_c5_g1_i1.p1
OG0029681,Ofav_DN4625_c0_g1_i1.p2
OG0029682,Ofav_DN84694_c0_g2_i2.p1
OG0029683,0
OG0029684,Ofav_DN32009_c0_g1_i12.p1
OG0029685,Ofav_DN30581_c0_g1_i11.p1
OG0029686,Ofav_DN57945_c0_g1_i1.p1
OG0029686,Ofav_DN57945_c0_g2_i12.p1
OG0029687,Ofav_DN23456_c1_g2_i1.p1
OG0013478,0
OG0013479,Ofav_DN38511_c0_g1_i2.p1
OG0013476,Ofav_DN14772_c0_g1_i4.p1
OG0013477,Ofav_DN328242_c0_g1_i1.p1
OG0013474,Ofav_DN148971_c0_g1_i1.p1
OG0013475,0
OG0013472,Ofav_DN89734_c0_g1_i1.p1
OG0013473,Ofav_DN9450_c0_g1_i11.p1
OG0013470,Ofav_DN276609_c0_g1_i1.p1
OG0013471,Ofav_DN39919_c0_g1_i2.p1
OG0010921,Ofav_DN2140_c0_g1_i3.p1
OG0010920,0
OG0010923,Ofav_DN2285_c0_g1_i6.p1
OG0010922,0
OG0010925,Ofav_DN10269_c0_g1_i2.p1
OG0010924,0
OG0010927,Ofav_DN19030_c0_g1_i2.p2
OG0010926,Ofav_DN1882_c1_g1_i7.p1
OG0010929,Ofav_DN38179_c0_g1_i18.p1
OG0010928,Ofav_DN19715_c0_g1_i20.p1
OG0015739,Ofav_DN31964_c0_g2_i2.p1
OG0015738,Ofav_DN2949_c2_g1_i2.p2
OG0043716,Ofav_DN24709_c0_g1_i2.p1
OG0043717,Ofav_DN5721_c1_g1_i1.p1
OG0043714,Ofav_DN113717_c0_g1_i1.p1
OG0043715,Ofav_DN89701_c3_g2_i1.p1
OG0040063,Ofav_DN268604_c0_g1_i1.p1
OG0043885,Ofav_DN18376_c0_g4_i1.p1
OG0016181,Ofav_DN5755_c8_g1_i1.p1
OG0016180,Ofav_DN31628_c0_g1_i4.p1
OG0016183,Ofav_DN106057_c0_g1_i2.p2
OG0016182,Ofav_DN76598_c0_g3_i2.p1
OG0016185,0
OG0016184,Ofav_DN9980_c0_g1_i2.p1
OG0016187,Ofav_DN27005_c0_g1_i15.p4
OG0016187,Ofav_DN84749_c0_g1_i1.p1
OG0016186,Ofav_DN31728_c0_g1_i7.p1
OG0016189,Ofav_DN67522_c0_g1_i1.p1
OG0016188,Ofav_DN455528_c0_g1_i1.p1
OG0023057,Ofav_DN111397_c0_g1_i1.p1
OG0023056,Ofav_DN5302_c0_g1_i2.p1
OG0023055,Ofav_DN16439_c0_g2_i1.p1
OG0023054,Ofav_DN276483_c0_g1_i1.p1
OG0023053,Ofav_DN2022_c0_g2_i1.p1
OG0023052,0
OG0023051,Ofav_DN2360_c0_g2_i1.p1
OG0023050,Ofav_DN15726_c0_g3_i1.p1
OG0036802,Ofav_DN224_c0_g1_i10.p1
OG0036803,Ofav_DN143789_c0_g1_i2.p1
OG0036800,Ofav_DN73094_c0_g1_i4.p1
OG0036801,Ofav_DN2688_c1_g3_i1.p1
OG0028089,Ofav_DN64032_c0_g2_i2.p1
OG0028088,Ofav_DN206274_c0_g1_i5.p1
OG0023059,Ofav_DN212966_c0_g1_i1.p1
OG0023058,Ofav_DN1479_c3_g2_i2.p1
OG0008878,Ofav_DN12974_c1_g1_i1.p1
OG0008878,Ofav_DN4594_c1_g1_i1.p2
OG0008879,Ofav_DN15693_c0_g2_i2.p1
OG0008879,Ofav_DN1884_c7_g1_i1.p2
OG0008876,Ofav_DN44259_c0_g1_i1.p1
OG0008877,0
OG0008874,0
OG0008875,Ofav_DN128249_c0_g1_i6.p2
OG0008872,Ofav_DN1044_c0_g2_i1.p1
OG0008872,Ofav_DN137537_c0_g1_i1.p1
OG0008872,Ofav_DN350681_c0_g1_i1.p1
OG0008873,Ofav_DN15180_c0_g1_i1.p1
OG0008870,Ofav_DN3923_c0_g2_i2.p1
OG0008871,Ofav_DN45473_c0_g3_i3.p1
OG0013298,Ofav_DN21016_c0_g1_i1.p1
OG0013299,Ofav_DN187635_c0_g1_i1.p1
OG0013299,Ofav_DN327219_c0_g1_i1.p1
OG0013292,Ofav_DN76099_c0_g2_i1.p1
OG0013293,0
OG0013290,Ofav_DN36439_c0_g1_i3.p1
OG0013291,Ofav_DN4577_c0_g3_i1.p1
OG0013296,0
OG0013297,Ofav_DN128117_c0_g1_i5.p1
OG0013294,Ofav_DN18635_c0_g1_i2.p2
OG0013294,Ofav_DN187228_c0_g1_i1.p1
OG0013295,0
OG0041620,Ofav_DN6474_c1_g1_i24.p2
OG0041621,Ofav_DN6474_c1_g1_i24.p1
OG0041622,Ofav_DN5862_c0_g1_i12.p1
OG0041623,Ofav_DN54176_c0_g1_i1.p1
OG0041624,Ofav_DN6035_c0_g1_i11.p1
OG0041625,Ofav_DN77975_c0_g1_i3.p2
OG0041626,Ofav_DN70715_c0_g2_i1.p1
OG0041627,Ofav_DN125786_c1_g2_i15.p1
OG0041628,Ofav_DN429581_c0_g1_i1.p1
OG0041629,Ofav_DN31751_c0_g1_i4.p1
OG0045710,Ofav_DN22435_c1_g1_i1.p1
OG0045711,Ofav_DN46014_c0_g1_i2.p1
