ssid_fast_orthogroups,Ssid_longest_proteome
OG0000000,"Ssid_121607_c0_seq1.p1, Ssid_159057_c0_seq2.p1, Ssid_180260_c0_seq4.p1, Ssid_225769_c0_seq3.p1, Ssid_231446_c0_seq1.p1, Ssid_245347_c2_seq11.p1"
OG0000001,"Ssid_190047_c0_seq5.p1, Ssid_29940_c0_seq2.p1"
OG0000002,"Ssid_233890_c0_seq1.p1, Ssid_236235_c0_seq4.p3, Ssid_244558_c0_seq31.p3"
OG0000003,
OG0000004,"Ssid_249281_c0_seq1.p1, Ssid_255730_c0_seq7.p2, Ssid_256861_c0_seq1.p1, Ssid_261189_c0_seq4.p1, Ssid_261807_c0_seq3.p1, Ssid_262149_c1_seq5.p1, Ssid_263258_c1_seq3.p1"
OG0000005,"Ssid_123027_c0_seq3.p2, Ssid_253356_c1_seq3.p2, Ssid_310268_c0_seq1.p1"
OG0000006,
OG0000007,"Ssid_238836_c0_seq7.p1, Ssid_244293_c0_seq2.p1, Ssid_249852_c0_seq2.p1, Ssid_250787_c0_seq1.p2, Ssid_256730_c0_seq11.p1, Ssid_262264_c0_seq8.p1"
OG0000008,"Ssid_215937_c0_seq1.p1, Ssid_241657_c0_seq1.p1, Ssid_243046_c0_seq1.p1, Ssid_244996_c0_seq6.p1, Ssid_246719_c0_seq1.p1, Ssid_248768_c0_seq1.p1, Ssid_249129_c0_seq3.p2, Ssid_253162_c0_seq1.p1, Ssid_254977_c0_seq1.p1, Ssid_255157_c0_seq1.p1, Ssid_259590_c0_seq1.p1, Ssid_260257_c0_seq1.p1, Ssid_260801_c1_seq12.p1, Ssid_260920_c0_seq6.p1, Ssid_261150_c0_seq1.p1, Ssid_261264_c0_seq1.p1, Ssid_261627_c0_seq6.p1, Ssid_261906_c0_seq10.p1, Ssid_261951_c0_seq6.p1, Ssid_263024_c0_seq4.p1, Ssid_263164_c0_seq2.p1, Ssid_263212_c0_seq2.p1, Ssid_263302_c0_seq2.p1, Ssid_263415_c0_seq1.p1, Ssid_263418_c0_seq1.p1, Ssid_263418_c0_seq1.p2, Ssid_263531_c0_seq3.p1, Ssid_263531_c0_seq3.p2, Ssid_263643_c0_seq2.p1, Ssid_263657_c0_seq2.p1, Ssid_263758_c0_seq2.p1, Ssid_263768_c0_seq2.p1, Ssid_263791_c0_seq1.p2"
OG0000009,
OG0000010,"Ssid_125071_c0_seq1.p1, Ssid_232305_c0_seq1.p1"
OG0000011,Ssid_295563_c0_seq1.p1
OG0000012,"Ssid_217949_c0_seq4.p1, Ssid_400009_c0_seq1.p1"
OG0000013,"Ssid_122826_c0_seq1.p1, Ssid_249977_c0_seq13.p1, Ssid_31576_c0_seq1.p1, Ssid_364445_c0_seq1.p1"
OG0000014,Ssid_226618_c0_seq12.p1
OG0000015,"Ssid_253248_c0_seq2.p2, Ssid_254947_c1_seq3.p1, Ssid_256406_c0_seq4.p2, Ssid_257263_c0_seq5.p1, Ssid_259154_c1_seq26.p1, Ssid_261440_c1_seq5.p2, Ssid_262929_c7_seq1.p1"
OG0000016,
OG0000017,"Ssid_112971_c0_seq1.p1, Ssid_186594_c0_seq1.p1"
OG0000018,"Ssid_241845_c0_seq1.p1, Ssid_250909_c0_seq1.p1, Ssid_262469_c0_seq1.p1, Ssid_262709_c0_seq1.p1, Ssid_263598_c0_seq1.p1, Ssid_263774_c1_seq1.p1, Ssid_263830_c0_seq1.p1"
