Orthogroup,Mcav_No_isos
OG0000000,
OG0000001,
OG0000002,"Mcav_10542_c37_g1_i1.p1, Mcav_10913_c4_g1_i1.p1, Mcav_11113_c0_g1_i1.p1, Mcav_11327_c0_g1_i1.p1, Mcav_12143_c7_g1_i1.p1, Mcav_12327_c0_g1_i1.p1, Mcav_12381_c14_g1_i1.p1, Mcav_13125_c2_g1_i1.p2, Mcav_13125_c2_g1_i3.p3, Mcav_13332_c14_g1_i1.p1, Mcav_1355_c0_g1_i1.p1, Mcav_14024_c36_g1_i1.p2, Mcav_15305_c1_g1_i1.p1, Mcav_16191_c5_g1_i1.p2, Mcav_16702_c17_g1_i1.p1, Mcav_17348_c0_g1_i1.p1, Mcav_1802_c0_g1_i1.p1, Mcav_2060_c15_g1_i1.p1, Mcav_21774_c0_g1_i1.p1, Mcav_21774_c0_g1_i1.p2, Mcav_21777_c15_g1_i1.p4, Mcav_22120_c6_g1_i1.p1, Mcav_22131_c16_g2_i1.p1, Mcav_22131_c16_g2_i1.p3, Mcav_22376_c10_g1_i1.p2, Mcav_22533_c0_g1_i1.p1, Mcav_23039_c2_g1_i1.p1, Mcav_23589_c3_g1_i1.p1, Mcav_24019_c8_g1_i1.p1, Mcav_25059_c5_g1_i1.p1, Mcav_25916_c1_g1_i1.p1, Mcav_26364_c13_g1_i1.p1, Mcav_26508_c2_g2_i1.p2, Mcav_27655_c78_g1_i1.p1, Mcav_27898_c2_g1_i1.p1, Mcav_28664_c0_g1_i1.p2, Mcav_3042_c162_g1_i1.p2, Mcav_31108_c0_g1_i1.p1, Mcav_31957_c22_g1_i1.p1, Mcav_33335_c6_g1_i1.p1, Mcav_34728_c8_g1_i1.p1, Mcav_35005_c54_g1_i1.p1, Mcav_35005_c54_g1_i1.p3, Mcav_35033_c39_g1_i1.p1, Mcav_35033_c39_g1_i1.p2, Mcav_35499_c0_g1_i1.p1, Mcav_36117_c0_g1_i1.p1, Mcav_36863_c19_g1_i1.p1, Mcav_37098_c1_g1_i1.p1, Mcav_38149_c0_g1_i1.p1, Mcav_38920_c13_g1_i1.p1, Mcav_39060_c13_g1_i1.p1, Mcav_41779_c2_g1_i1.p1, Mcav_42030_c24_g1_i1.p2, Mcav_42030_c24_g1_i2.p2, Mcav_42030_c24_g1_i3.p2, Mcav_42229_c0_g1_i1.p1, Mcav_4466_c4_g1_i1.p1, Mcav_4466_c6_g1_i1.p1, Mcav_45542_c1_g1_i1.p1, Mcav_4557_c0_g1_i1.p1, Mcav_47552_c1_g1_i1.p1, Mcav_4804_c22_g1_i1.p1, Mcav_48161_c1_g1_i1.p1, Mcav_49745_c6_g1_i1.p2, Mcav_50191_c0_g1_i1.p1, Mcav_50666_c8_g3_i1.p2, Mcav_50667_c16_g1_i1.p1, Mcav_51591_c16_g1_i1.p1, Mcav_51601_c1_g1_i1.p1, Mcav_5344_c14_g2_i1.p1, Mcav_5443_c46_g1_i1.p1, Mcav_547_c41_g1_i1.p2, Mcav_55520_c1_g1_i1.p1, Mcav_55521_c2_g1_i1.p1, Mcav_55675_c0_g1_i1.p1, Mcav_56378_c0_g1_i1.p2, Mcav_5693_c20_g1_i1.p1, Mcav_58260_c0_g1_i1.p1, Mcav_59540_c41_g1_i1.p1, Mcav_59925_c1_g1_i1.p1, Mcav_6336_c11_g1_i1.p1, Mcav_7753_c10_g1_i1.p1, Mcav_9183_c2_g2_i1.p1, Mcav_9232_c21_g1_i1.p2"
OG0000003,"Mcav_12582_c0_g1_i1.p1, Mcav_12600_c0_g1_i1.p1, Mcav_12600_c1_g1_i1.p1, Mcav_13143_c0_g1_i1.p1, Mcav_14000_c0_g1_i1.p1, Mcav_14332_c26_g1_i1.p1, Mcav_1500_c3_g1_i1.p1, Mcav_1500_c6_g1_i1.p1, Mcav_15267_c0_g1_i1.p1, Mcav_16972_c0_g1_i1.p1, Mcav_16972_c1_g1_i1.p1, Mcav_17325_c0_g1_i1.p1, Mcav_17567_c24_g1_i1.p1, Mcav_17760_c2_g1_i1.p1, Mcav_18241_c0_g1_i1.p1, Mcav_18452_c52_g1_i1.p1, Mcav_19254_c42_g1_i1.p1, Mcav_19254_c4_g1_i1.p1, Mcav_19559_c0_g1_i1.p1, Mcav_19684_c0_g1_i1.p1, Mcav_19855_c1_g1_i1.p1, Mcav_19989_c0_g1_i1.p1, Mcav_2133_c1_g1_i1.p1, Mcav_21785_c4_g1_i1.p1, Mcav_21785_c5_g1_i1.p1, Mcav_22158_c0_g1_i1.p1, Mcav_22262_c0_g1_i1.p1, Mcav_22281_c0_g1_i1.p1, Mcav_22899_c1_g1_i1.p2, Mcav_22903_c0_g1_i1.p1, Mcav_23166_c0_g1_i1.p1, Mcav_24006_c30_g1_i1.p1, Mcav_25080_c0_g1_i1.p1, Mcav_25391_c0_g1_i2.p1, Mcav_25834_c0_g1_i1.p1, Mcav_26291_c0_g1_i1.p1, Mcav_28028_c3_g1_i1.p1, Mcav_28326_c3_g1_i1.p1, Mcav_28326_c5_g1_i1.p1, Mcav_30493_c0_g1_i1.p1, Mcav_30508_c0_g1_i1.p1, Mcav_30516_c29_g1_i1.p1, Mcav_31618_c82_g1_i1.p1, Mcav_3188_c0_g1_i1.p1, Mcav_3191_c0_g1_i1.p1, Mcav_31944_c0_g1_i1.p1, Mcav_3202_c0_g1_i1.p1, Mcav_32040_c0_g1_i1.p1, Mcav_32064_c0_g1_i1.p1, Mcav_3207_c0_g1_i1.p1, Mcav_33214_c0_g1_i1.p1, Mcav_33300_c0_g1_i1.p1, Mcav_33951_c46_g1_i1.p1, Mcav_35005_c60_g1_i1.p1, Mcav_35905_c0_g1_i1.p1, Mcav_35_c0_g1_i1.p1, Mcav_36430_c27_g1_i1.p1, Mcav_37361_c0_g1_i1.p1, Mcav_37387_c0_g1_i1.p2, Mcav_37413_c0_g1_i1.p1, Mcav_37569_c2_g1_i1.p1, Mcav_37790_c0_g1_i1.p1, Mcav_39969_c0_g1_i1.p1, Mcav_39989_c0_g1_i1.p1, Mcav_40450_c0_g1_i1.p1, Mcav_41684_c0_g1_i1.p1, Mcav_41732_c6_g1_i1.p1, Mcav_41784_c9_g1_i1.p5, Mcav_41784_c9_g1_i1.p7, Mcav_41784_c9_g1_i1.p8, Mcav_41920_c0_g1_i1.p1, Mcav_41959_c1_g1_i1.p1, Mcav_42106_c2_g1_i1.p1, Mcav_43814_c0_g1_i1.p1, Mcav_44030_c0_g1_i1.p1, Mcav_44031_c1_g1_i1.p1, Mcav_44212_c0_g1_i1.p1, Mcav_44886_c0_g1_i1.p1, Mcav_45313_c0_g1_i1.p1, Mcav_45313_c1_g1_i1.p1, Mcav_46797_c0_g1_i1.p2, Mcav_46797_c2_g1_i1.p1, Mcav_471_c1_g1_i1.p1, Mcav_47636_c0_g1_i1.p2, Mcav_4854_c0_g1_i1.p1, Mcav_4916_c0_g1_i1.p3, Mcav_4916_c1_g1_i1.p1, Mcav_50081_c0_g1_i1.p1, Mcav_50464_c2_g1_i1.p1, Mcav_51953_c0_g1_i1.p1, Mcav_51959_c0_g1_i1.p1, Mcav_52948_c0_g1_i1.p1, Mcav_53061_c0_g1_i1.p1, Mcav_53064_c0_g1_i1.p1, Mcav_53190_c0_g1_i1.p1, Mcav_53192_c1_g1_i1.p1, Mcav_53940_c0_g1_i1.p1, Mcav_54347_c0_g1_i1.p1, Mcav_54833_c9_g1_i1.p2, Mcav_55781_c0_g1_i1.p1, Mcav_55919_c5_g1_i1.p1, Mcav_5645_c1_g1_i2.p2, Mcav_5645_c1_g1_i2.p3, Mcav_56502_c0_g1_i1.p1, Mcav_568_c2_g1_i1.p1, Mcav_5722_c0_g2_i1.p1, Mcav_57835_c0_g1_i1.p1, Mcav_57840_c0_g1_i1.p1, Mcav_58194_c0_g1_i1.p1, Mcav_6005_c0_g1_i1.p1, Mcav_60679_c0_g1_i1.p1, Mcav_61147_c0_g1_i1.p1, Mcav_9232_c18_g1_i1.p1"
OG0000004,"Mcav_1109_c0_g1_i1.p1, Mcav_12797_c0_g1_i1.p1, Mcav_12800_c3_g1_i1.p1, Mcav_12804_c2_g1_i1.p1, Mcav_12805_c12_g1_i3.p1, Mcav_12805_c12_g1_i7.p1, Mcav_12805_c12_g1_i8.p1, Mcav_17230_c0_g1_i1.p1, Mcav_21894_c0_g1_i1.p1, Mcav_22466_c1_g1_i1.p1, Mcav_22471_c0_g1_i1.p1, Mcav_23610_c1_g1_i1.p1, Mcav_26688_c1_g1_i1.p1, Mcav_26920_c0_g1_i2.p1, Mcav_28071_c2_g2_i1.p1, Mcav_28074_c0_g1_i1.p1, Mcav_2874_c0_g1_i1.p1, Mcav_36178_c0_g1_i1.p1, Mcav_36292_c16_g1_i1.p1, Mcav_36627_c0_g1_i1.p1, Mcav_37884_c48_g1_i1.p1, Mcav_38817_c122_g1_i1.p1, Mcav_38817_c135_g1_i1.p1, Mcav_38817_c135_g1_i2.p1, Mcav_38817_c159_g1_i1.p1, Mcav_38817_c159_g1_i2.p1, Mcav_38817_c179_g1_i1.p1, Mcav_38817_c185_g1_i1.p1, Mcav_39003_c9_g1_i1.p1, Mcav_39416_c91_g1_i1.p1, Mcav_4134_c0_g1_i1.p1, Mcav_4135_c0_g1_i1.p1, Mcav_44205_c11_g1_i1.p1, Mcav_45648_c7_g1_i2.p1, Mcav_45648_c7_g1_i3.p1, Mcav_45650_c1_g1_i1.p1, Mcav_46076_c0_g1_i1.p1, Mcav_46076_c1_g1_i1.p1, Mcav_51289_c0_g1_i1.p1, Mcav_51296_c5_g1_i1.p1, Mcav_51296_c6_g1_i2.p1, Mcav_58722_c0_g1_i1.p1, Mcav_59174_c0_g1_i1.p1, Mcav_59637_c0_g1_i1.p1, Mcav_59651_c0_g1_i1.p1"
OG0000005,
OG0000006,
OG0000007,"Mcav_10718_c11_g1_i1.p1, Mcav_10835_c0_g1_i1.p1, Mcav_13860_c0_g1_i1.p1, Mcav_17045_c9_g1_i1.p1, Mcav_19847_c2_g1_i1.p1, Mcav_20963_c1_g1_i1.p1, Mcav_21848_c0_g1_i1.p1, Mcav_2380_c0_g1_i1.p1, Mcav_25258_c9_g1_i1.p1, Mcav_26113_c1_g1_i1.p1, Mcav_26113_c1_g1_i2.p1, Mcav_29211_c0_g1_i1.p1, Mcav_30546_c0_g1_i2.p1, Mcav_33388_c21_g1_i2.p1, Mcav_33407_c0_g1_i1.p1, Mcav_33537_c1_g1_i1.p1, Mcav_35631_c0_g1_i1.p1, Mcav_35638_c0_g1_i1.p1, Mcav_39073_c73_g1_i1.p1, Mcav_39073_c73_g1_i2.p1, Mcav_41170_c0_g1_i1.p1, Mcav_42895_c1_g1_i7.p1, Mcav_43635_c0_g1_i1.p1, Mcav_43826_c1_g1_i1.p1, Mcav_43844_c0_g1_i1.p1, Mcav_43846_c15_g1_i1.p1, Mcav_43853_c0_g1_i1.p1, Mcav_43855_c0_g1_i1.p2, Mcav_47677_c0_g1_i1.p1, Mcav_5030_c1_g1_i2.p1, Mcav_52466_c0_g1_i1.p1, Mcav_53021_c1_g1_i1.p1, Mcav_5443_c20_g1_i2.p1, Mcav_6869_c0_g1_i1.p1"
OG0000008,"Mcav_11046_c0_g1_i1.p1, Mcav_12681_c0_g1_i1.p1, Mcav_12682_c0_g1_i1.p1, Mcav_14332_c37_g1_i1.p1, Mcav_19722_c2_g1_i1.p1, Mcav_23360_c0_g1_i1.p1, Mcav_23685_c0_g1_i1.p1, Mcav_28636_c8_g1_i1.p1, Mcav_33643_c0_g1_i1.p1, Mcav_36984_c4_g1_i1.p1, Mcav_42603_c0_g1_i1.p1, Mcav_43553_c0_g1_i1.p1, Mcav_45050_c2_g2_i5.p1, Mcav_47708_c1_g1_i1.p1, Mcav_53943_c7_g1_i1.p1, Mcav_54719_c3_g1_i1.p1, Mcav_56061_c3_g1_i1.p1, Mcav_60893_c19_g1_i1.p5, Mcav_61504_c0_g1_i1.p1, Mcav_62210_c0_g1_i1.p1, Mcav_630_c42_g1_i1.p1"
OG0000009,
OG0000010,
OG0000011,
OG0000012,"Mcav_11350_c15_g1_i1.p1, Mcav_11350_c50_g1_i1.p1, Mcav_11350_c53_g1_i1.p1, Mcav_11350_c60_g1_i1.p1, Mcav_11350_c60_g1_i3.p1, Mcav_11350_c68_g1_i1.p1, Mcav_11350_c70_g1_i1.p1, Mcav_12030_c0_g1_i2.p1, Mcav_16661_c2_g1_i1.p1, Mcav_17257_c15_g1_i1.p1, Mcav_190_c0_g1_i1.p1, Mcav_19866_c2_g1_i2.p1, Mcav_20951_c1_g1_i2.p1, Mcav_2320_c21_g1_i1.p1, Mcav_23385_c4_g1_i2.p1, Mcav_28924_c0_g1_i1.p1, Mcav_28934_c1_g1_i1.p1, Mcav_31392_c0_g1_i1.p1, Mcav_31392_c1_g1_i1.p1, Mcav_31399_c0_g1_i1.p1, Mcav_36848_c46_g1_i1.p1, Mcav_41448_c0_g1_i1.p1, Mcav_44472_c1_g1_i1.p1, Mcav_44472_c1_g1_i2.p1, Mcav_47967_c54_g1_i1.p1, Mcav_47967_c80_g1_i1.p1, Mcav_48663_c0_g1_i1.p1, Mcav_59963_c4_g1_i2.p1, Mcav_6179_c5_g1_i1.p1, Mcav_6218_c23_g2_i1.p1, Mcav_8507_c1_g1_i1.p1"
OG0000013,
OG0000014,"Mcav_1191_c12_g1_i1.p1, Mcav_17120_c9_g1_i2.p1, Mcav_17257_c8_g1_i1.p1, Mcav_20475_c0_g1_i1.p1, Mcav_22743_c0_g1_i1.p1, Mcav_23190_c27_g1_i1.p1, Mcav_30060_c0_g1_i1.p1, Mcav_32125_c19_g1_i1.p1, Mcav_32125_c5_g1_i1.p1, Mcav_34669_c39_g2_i2.p1, Mcav_34669_c39_g2_i3.p1, Mcav_41344_c0_g1_i1.p1, Mcav_42290_c28_g1_i1.p1, Mcav_42290_c28_g1_i11.p1, Mcav_42290_c28_g1_i12.p1, Mcav_42290_c29_g2_i1.p1, Mcav_42290_c29_g3_i1.p1, Mcav_42310_c0_g1_i1.p1, Mcav_42310_c2_g1_i1.p1, Mcav_50225_c1_g1_i1.p1, Mcav_50242_c3_g1_i1.p1, Mcav_59119_c13_g1_i1.p2, Mcav_6707_c4_g1_i2.p1, Mcav_6715_c15_g2_i3.p1"
