Contig,Orthogroup
Past_DN137682_c0_seq1,OG0029688
Past_DN26286_c0_seq1,OG0029689
0,OG0029680
Past_DN88748_c0_seq1,OG0029681
Past_DN132740_c0_seq1,OG0029682
Past_DN64671_c1_seq1,OG0029683
Past_DN92119_c0_seq1,OG0029684
Past_DN89423_c0_seq1,OG0029685
0,OG0029686
Past_DN133508_c0_seq1,OG0029687
0,OG0013478
0,OG0013479
Past_DN109896_c0_seq1,OG0013476
Past_DN93208_c0_seq1,OG0013477
Past_DN30642_c1_seq1,OG0013474
Past_DN56800_c0_seq1,OG0013475
0,OG0013472
Past_DN125887_c0_seq1,OG0013473
0,OG0013470
Past_DN8125_c0_seq1,OG0013471
Past_DN74534_c0_seq2,OG0010921
Past_DN76980_c4_seq7,OG0010920
Past_DN77610_c0_seq4,OG0010923
Past_DN76156_c0_seq1,OG0010922
Past_DN72665_c0_seq1,OG0010925
Past_DN71280_c0_seq2,OG0010924
Past_DN73953_c2_seq2,OG0010927
Past_DN77071_c1_seq1,OG0010926
Past_DN78283_c0_seq1,OG0010929
Past_DN72545_c0_seq2,OG0010928
Past_DN23359_c0_seq1,OG0015739
Past_DN68204_c0_seq1,OG0015738
0,OG0043716
0,OG0043717
0,OG0043714
0,OG0043715
0,OG0040063
0,OG0043885
Past_DN70905_c2_seq2,OG0016181
Past_DN71213_c0_seq1,OG0016180
Past_DN69985_c0_seq1,OG0016183
Past_DN11189_c0_seq1,OG0016182
Past_DN47092_c0_seq1,OG0016185
Past_DN42755_c0_seq2,OG0016184
0,OG0016187
Past_DN57961_c1_seq1,OG0016186
0,OG0016189
0,OG0016188
0,OG0023057
0,OG0023056
0,OG0023055
0,OG0023054
0,OG0023053
0,OG0023052
0,OG0023051
0,OG0023050
0,OG0036802
0,OG0036803
0,OG0036800
0,OG0036801
0,OG0028089
0,OG0028088
0,OG0023059
0,OG0023058
0,OG0008878
Past_DN67779_c0_seq3,OG0008879
Past_DN74394_c0_seq2,OG0008876
0,OG0008877
Past_DN71302_c0_seq2,OG0008874
Past_DN75013_c1_seq1,OG0008874
Past_DN20691_c0_seq1,OG0008875
0,OG0008872
Past_DN23085_c0_seq1,OG0008873
Past_DN74052_c0_seq5,OG0008870
0,OG0008871
0,OG0013298
0,OG0013299
0,OG0013292
Past_DN68320_c0_seq1,OG0013293
Past_DN90709_c0_seq1,OG0013290
0,OG0013291
Past_DN77536_c0_seq8,OG0013296
0,OG0013297
Past_DN73929_c0_seq18,OG0013294
Past_DN70258_c0_seq2,OG0013295
0,OG0041620
0,OG0041621
0,OG0041622
0,OG0041623
0,OG0041624
0,OG0041625
0,OG0041626
0,OG0041627
0,OG0041628
0,OG0041629
0,OG0045710
0,OG0045711
0,OG0039625
0,OG0045713
0,OG0045714
0,OG0045715
0,OG0045716
0,OG0045717
0,OG0045718
0,OG0045719
Past_DN76822_c1_seq1,OG0047026
0,OG0039624
Past_DN94089_c0_seq1,OG0014129
Past_DN101540_c0_seq1,OG0014128
Past_DN94776_c0_seq1,OG0014125
Past_DN111151_c0_seq1,OG0014124
0,OG0014127
0,OG0014126
Past_DN113244_c0_seq1,OG0014121
0,OG0014120
0,OG0014123
Past_DN40177_c0_seq1,OG0014122
Past_DN76578_c1_seq1,OG0047019
0,OG0027832
Past_DN76532_c0_seq29,OG0047018
0,OG0028716
0,OG0022018
0,OG0022019
0,OG0025048
Past_DN92584_c0_seq1,OG0025049
0,OG0022014
0,OG0022015
0,OG0022016
0,OG0022017
0,OG0022010
0,OG0022011
0,OG0022012
0,OG0022013
0,OG0024311
Past_DN62230_c0_seq1,OG0024310
Past_DN53711_c0_seq2,OG0024313
Past_DN96859_c0_seq1,OG0024312
0,OG0024315
0,OG0024314
0,OG0024317
0,OG0024316
0,OG0024319
0,OG0024318
0,OG0044393
0,OG0044392
0,OG0044391
