Orthogroup,Contig
OG0029688,0
OG0029689,0
OG0029680,0
OG0029681,0
OG0029682,0
OG0029683,0
OG0029684,0
OG0029685,0
OG0029686,0
OG0029687,0
OG0013478,0
OG0013479,0
OG0013476,0
OG0013477,0
OG0013474,0
OG0013475,0
OG0013472,0
OG0013473,0
OG0013470,0
OG0013471,0
OG0010921,Ssid_DN257881_c1_seq1.p1
OG0010920,Ssid_DN229435_c0_seq2.p1
OG0010923,Ssid_DN242070_c0_seq1.p1
OG0010922,Ssid_DN236663_c0_seq2.p1
OG0010922,Ssid_DN243123_c0_seq1.p1
OG0010925,Ssid_DN246575_c1_seq4.p1
OG0010924,Ssid_DN263325_c0_seq1.p1
OG0010927,Ssid_DN262690_c0_seq2.p1
OG0010926,Ssid_DN247236_c0_seq2.p1
OG0010929,Ssid_DN255162_c0_seq4.p1
OG0010928,Ssid_DN257867_c0_seq2.p1
OG0015739,0
OG0015738,0
OG0043716,0
OG0043717,0
OG0043714,0
OG0043715,0
OG0040063,0
OG0043885,0
OG0016181,0
OG0016180,0
OG0016183,Ssid_DN247810_c0_seq1.p1
OG0016182,0
OG0016185,Ssid_DN249192_c2_seq1.p1
OG0016184,0
OG0016187,0
OG0016186,Ssid_DN248133_c0_seq1.p1
OG0016189,Ssid_DN229124_c0_seq1.p1
OG0016188,Ssid_DN255989_c0_seq1.p1
OG0023057,0
OG0023056,0
OG0023055,0
OG0023054,0
OG0023053,0
OG0023052,Ssid_DN260064_c0_seq1.p1
OG0023052,Ssid_DN260424_c0_seq1.p1
OG0023051,0
OG0023050,0
OG0036802,0
OG0036803,0
OG0036800,0
OG0036801,0
OG0028089,0
OG0028088,0
OG0023059,0
OG0023058,0
OG0008878,0
OG0008879,0
OG0008876,Ssid_DN245100_c0_seq1.p1
OG0008877,0
OG0008874,Ssid_DN263078_c0_seq5.p3
OG0008875,Ssid_DN244902_c0_seq2.p2
OG0008872,0
OG0008873,0
OG0008870,Ssid_DN258968_c0_seq1.p1
OG0008871,0
OG0013298,0
OG0013299,0
OG0013292,Ssid_DN252878_c0_seq4.p1
OG0013293,0
OG0013290,0
OG0013291,0
OG0013296,Ssid_DN256371_c0_seq1.p1
OG0013297,0
OG0013294,0
OG0013295,Ssid_DN255739_c0_seq1.p1
OG0041620,0
OG0041621,0
OG0041622,0
OG0041623,0
OG0041624,0
OG0041625,0
OG0041626,0
OG0041627,0
OG0041628,0
OG0041629,0
OG0045710,0
OG0045711,0
OG0039625,0
OG0045713,0
OG0045714,0
OG0045715,0
OG0045716,0
OG0045717,0
OG0045718,0
OG0045719,0
OG0047026,Ssid_DN238153_c0_seq5.p1
OG0039624,0
OG0014129,0
OG0014128,0
OG0014125,0
OG0014124,0
OG0014127,0
OG0014126,0
OG0014121,0
OG0014120,0
OG0014123,Ssid_DN45836_c0_seq1.p1
OG0014122,0
OG0047019,Ssid_DN258167_c0_seq1.p1
OG0027832,0
OG0047018,Ssid_DN251660_c0_seq1.p1
OG0028716,0
OG0022018,0
OG0022019,0
OG0025048,0
OG0025049,0
OG0022014,0
OG0022015,0
OG0022016,0
OG0022017,0
OG0022010,0
OG0022011,0
OG0022012,0
OG0022013,0
OG0024311,0
OG0024310,Ssid_DN247814_c0_seq2.p1
OG0024313,Ssid_DN260224_c0_seq1.p1
OG0024312,0
OG0024315,0
OG0024314,0
OG0024317,0
OG0024316,0
OG0024319,0
OG0024318,0
OG0044393,0
OG0044392,0
OG0044391,0
OG0044390,0
OG0044397,0
OG0044396,0
OG0044395,0
OG0044394,0
OG0044399,0
OG0044398,0
OG0047013,Ssid_DN233925_c0_seq1.p1
OG0027834,0
OG0047012,Ssid_DN243511_c0_seq2.p1
OG0047138,Ssid_DN260440_c0_seq10.p4
OG0047015,Ssid_DN259688_c1_seq3.p1
OG0047139,0
OG0047014,0
