OG,Ssid_longest_proteome
OG0000000,"Ssid_DN121607_c0_seq1.p1, Ssid_DN159057_c0_seq2.p1, Ssid_DN180260_c0_seq4.p1, Ssid_DN19037_c0_seq1.p1, Ssid_DN225769_c0_seq3.p1, Ssid_DN231446_c0_seq1.p1, Ssid_DN245347_c2_seq11.p1, Ssid_DN249977_c0_seq13.p1, Ssid_DN364445_c0_seq1.p1"
OG0000001,"Ssid_DN128548_c0_seq1.p1, Ssid_DN130722_c0_seq1.p3, Ssid_DN188014_c0_seq1.p1, Ssid_DN189149_c0_seq1.p1, Ssid_DN205827_c0_seq1.p1, Ssid_DN207258_c0_seq1.p1, Ssid_DN213884_c0_seq1.p1, Ssid_DN218979_c0_seq3.p1, Ssid_DN230218_c0_seq1.p1, Ssid_DN242978_c0_seq1.p1, Ssid_DN248541_c0_seq1.p1, Ssid_DN249614_c0_seq1.p2, Ssid_DN259720_c0_seq2.p1, Ssid_DN259814_c0_seq13.p1, Ssid_DN260468_c1_seq1.p1, Ssid_DN261223_c0_seq1.p1, Ssid_DN261399_c0_seq1.p1, Ssid_DN261756_c1_seq6.p1, Ssid_DN262096_c0_seq1.p1, Ssid_DN262096_c0_seq1.p2, Ssid_DN262116_c0_seq1.p1, Ssid_DN262275_c0_seq8.p2, Ssid_DN262580_c0_seq4.p4, Ssid_DN262891_c0_seq1.p1, Ssid_DN263186_c1_seq5.p1, Ssid_DN263279_c0_seq1.p1, Ssid_DN263391_c0_seq1.p1, Ssid_DN263551_c0_seq1.p1, Ssid_DN263562_c0_seq1.p1, Ssid_DN263733_c0_seq3.p1, Ssid_DN263799_c0_seq1.p1, Ssid_DN263801_c0_seq1.p2, Ssid_DN384961_c0_seq1.p1, Ssid_DN406672_c0_seq1.p1, Ssid_DN421277_c0_seq1.p1, Ssid_DN434184_c0_seq1.p1, Ssid_DN83011_c0_seq1.p1, Ssid_DN97598_c0_seq1.p1"
OG0000002,Ssid_DN232305_c0_seq1.p1
OG0000003,"Ssid_DN246719_c0_seq1.p1, Ssid_DN248768_c0_seq1.p1, Ssid_DN254977_c0_seq1.p1, Ssid_DN255157_c0_seq1.p1, Ssid_DN259590_c0_seq1.p1, Ssid_DN259636_c0_seq1.p1, Ssid_DN259646_c0_seq3.p1, Ssid_DN260257_c0_seq1.p1, Ssid_DN260801_c1_seq12.p1, Ssid_DN261150_c0_seq1.p1, Ssid_DN261906_c0_seq10.p1, Ssid_DN261951_c0_seq6.p1, Ssid_DN263024_c0_seq4.p1, Ssid_DN263531_c0_seq3.p1, Ssid_DN263657_c0_seq2.p1, Ssid_DN263758_c0_seq2.p1, Ssid_DN263768_c0_seq2.p1, Ssid_DN263791_c0_seq1.p2, Ssid_DN58161_c0_seq1.p1"
OG0000004,"Ssid_DN246632_c1_seq4.p1, Ssid_DN248788_c0_seq1.p1, Ssid_DN257886_c1_seq1.p4, Ssid_DN259382_c0_seq2.p1, Ssid_DN260418_c0_seq1.p2, Ssid_DN6403_c0_seq1.p1"
OG0000005,
OG0000006,"Ssid_DN239593_c0_seq2.p1, Ssid_DN246565_c1_seq4.p1, Ssid_DN247311_c0_seq23.p1, Ssid_DN250309_c0_seq3.p1, Ssid_DN253762_c1_seq12.p1, Ssid_DN255376_c2_seq1.p1, Ssid_DN261269_c0_seq1.p2"
OG0000007,"Ssid_DN14629_c0_seq1.p1, Ssid_DN187633_c0_seq1.p1, Ssid_DN200039_c0_seq1.p1, Ssid_DN211330_c0_seq1.p1, Ssid_DN253443_c1_seq21.p1"
OG0000008,"Ssid_DN233100_c0_seq1.p1, Ssid_DN242586_c0_seq79.p1"
OG0000009,"Ssid_DN211249_c0_seq1.p1, Ssid_DN212554_c0_seq1.p1, Ssid_DN235473_c0_seq1.p1, Ssid_DN240632_c0_seq1.p1, Ssid_DN244180_c0_seq1.p1, Ssid_DN248934_c0_seq1.p1, Ssid_DN252767_c0_seq1.p1, Ssid_DN257617_c0_seq1.p1, Ssid_DN259776_c0_seq3.p1, Ssid_DN260446_c0_seq1.p1, Ssid_DN260446_c0_seq1.p2, Ssid_DN263242_c0_seq9.p1, Ssid_DN263268_c0_seq2.p1"
OG0000010,"Ssid_DN205586_c0_seq1.p1, Ssid_DN208876_c0_seq2.p1, Ssid_DN232372_c0_seq7.p1, Ssid_DN245623_c0_seq1.p1, Ssid_DN247738_c0_seq1.p1, Ssid_DN257837_c0_seq1.p1, Ssid_DN260259_c0_seq1.p2, Ssid_DN419264_c0_seq1.p1, Ssid_DN436202_c0_seq1.p1"
OG0000011,"Ssid_DN122826_c0_seq1.p1, Ssid_DN31576_c0_seq1.p1"
OG0000012,"Ssid_DN233890_c0_seq1.p1, Ssid_DN236235_c0_seq4.p3, Ssid_DN244558_c0_seq31.p3"
OG0000013,"Ssid_DN200922_c0_seq3.p1, Ssid_DN201013_c0_seq4.p1, Ssid_DN237782_c0_seq1.p1, Ssid_DN248632_c0_seq1.p2, Ssid_DN250002_c1_seq8.p1, Ssid_DN252147_c1_seq1.p1, Ssid_DN253140_c0_seq2.p1, Ssid_DN253632_c0_seq10.p4, Ssid_DN254484_c0_seq24.p3, Ssid_DN255932_c0_seq1.p1, Ssid_DN256256_c0_seq40.p1, Ssid_DN256278_c0_seq1.p1, Ssid_DN256278_c0_seq1.p2, Ssid_DN260166_c0_seq12.p2, Ssid_DN260703_c1_seq16.p2, Ssid_DN262788_c0_seq3.p1, Ssid_DN262884_c1_seq1.p3, Ssid_DN263042_c0_seq25.p2, Ssid_DN263479_c1_seq3.p3, Ssid_DN9621_c0_seq1.p1"
OG0000014,"Ssid_DN203626_c0_seq1.p1, Ssid_DN226618_c0_seq12.p1, Ssid_DN263003_c0_seq1.p1, Ssid_DN341839_c0_seq1.p1, Ssid_DN432766_c0_seq1.p1"
OG0000015,
OG0000016,"Ssid_DN125774_c0_seq1.p1, Ssid_DN179869_c0_seq1.p1, Ssid_DN202284_c0_seq1.p1, Ssid_DN229135_c0_seq1.p1, Ssid_DN232416_c0_seq5.p1, Ssid_DN247054_c0_seq2.p1, Ssid_DN247613_c0_seq3.p1, Ssid_DN248067_c0_seq5.p2, Ssid_DN254171_c0_seq3.p2, Ssid_DN255636_c0_seq2.p1, Ssid_DN257258_c0_seq3.p1, Ssid_DN257475_c0_seq6.p1, Ssid_DN259031_c0_seq1.p1, Ssid_DN259681_c1_seq2.p1, Ssid_DN261191_c0_seq1.p1, Ssid_DN261430_c0_seq1.p1, Ssid_DN262315_c0_seq4.p1, Ssid_DN262318_c0_seq7.p1, Ssid_DN262688_c0_seq1.p1, Ssid_DN263518_c1_seq1.p1, Ssid_DN263729_c0_seq2.p1, Ssid_DN263729_c0_seq2.p2, Ssid_DN263753_c0_seq1.p1"
OG0000017,"Ssid_DN129546_c0_seq2.p1, Ssid_DN241657_c0_seq1.p1, Ssid_DN243046_c0_seq1.p1, Ssid_DN249129_c0_seq3.p2, Ssid_DN253162_c0_seq1.p1, Ssid_DN260920_c0_seq6.p1, Ssid_DN261264_c0_seq1.p1, Ssid_DN261627_c0_seq6.p1, Ssid_DN262073_c0_seq3.p1, Ssid_DN262073_c0_seq3.p2, Ssid_DN263164_c0_seq2.p1, Ssid_DN263302_c0_seq2.p1, Ssid_DN263415_c0_seq1.p1, Ssid_DN263418_c0_seq1.p1, Ssid_DN263418_c0_seq1.p2, Ssid_DN263643_c0_seq2.p1"
OG0000018,"Ssid_DN249281_c0_seq1.p1, Ssid_DN256861_c0_seq1.p1, Ssid_DN261189_c0_seq4.p1, Ssid_DN261807_c0_seq3.p1, Ssid_DN262149_c1_seq5.p1, Ssid_DN263258_c1_seq3.p1"
OG0000019,"Ssid_DN246591_c2_seq1.p1, Ssid_DN249654_c1_seq1.p1, Ssid_DN253970_c1_seq5.p1, Ssid_DN254525_c0_seq1.p2, Ssid_DN256306_c0_seq1.p1, Ssid_DN257948_c0_seq2.p1, Ssid_DN258788_c0_seq2.p2, Ssid_DN259483_c2_seq2.p1, Ssid_DN260345_c0_seq2.p1, Ssid_DN263035_c0_seq1.p2, Ssid_DN263827_c0_seq7.p1"
OG0000020,
OG0000021,"Ssid_DN239700_c0_seq1.p1, Ssid_DN247871_c2_seq2.p2, Ssid_DN250301_c0_seq1.p1, Ssid_DN250690_c0_seq1.p1, Ssid_DN251755_c0_seq5.p1, Ssid_DN259300_c0_seq3.p1, Ssid_DN263381_c0_seq6.p1"
OG0000022,
OG0000023,"Ssid_DN105395_c0_seq1.p1, Ssid_DN106474_c0_seq1.p1, Ssid_DN112312_c0_seq1.p2, Ssid_DN125633_c0_seq2.p1, Ssid_DN143513_c0_seq2.p1, Ssid_DN150826_c0_seq1.p1, Ssid_DN152307_c0_seq1.p2, Ssid_DN161201_c0_seq2.p2, Ssid_DN161534_c0_seq1.p1, Ssid_DN167982_c0_seq3.p1, Ssid_DN183870_c0_seq2.p1, Ssid_DN226908_c0_seq2.p2, Ssid_DN226908_c1_seq4.p2, Ssid_DN233591_c0_seq1.p1, Ssid_DN236644_c0_seq1.p1, Ssid_DN246124_c0_seq1.p1, Ssid_DN252221_c1_seq1.p1, Ssid_DN256113_c0_seq8.p1, Ssid_DN369529_c0_seq1.p1"
